instance_count,machine_type,slots,memory,data_size_MB,line_length,lines,gross_runtime
6,c4.2xlarge,48,94739.0,13482,100,140000000,229.0
8,m4.2xlarge,64,267204.0,17334,100,180000000,263.0
2,c4.2xlarge,16,44762.0,15408,100,160000000,619.0
6,c4.2xlarge,48,74188.0,13482,100,140000000,221.0
2,c4.2xlarge,16,47946.0,11556,100,120000000,437.0
8,m4.2xlarge,64,254813.0,15408,100,160000000,213.0
8,r4.2xlarge,64,513811.0,13482,100,140000000,129.0
6,r4.2xlarge,48,356546.0,19260,100,200000000,189.0
8,c4.2xlarge,64,116929.0,19260,100,200000000,238.0
6,c4.2xlarge,48,85577.0,11556,100,120000000,158.0
6,c4.2xlarge,48,96975.0,17334,100,180000000,257.0
10,m4.2xlarge,80,328515.0,13482,100,140000000,197.0
4,m4.2xlarge,32,110093.0,13482,100,140000000,156.0
2,r4.2xlarge,16,126729.0,19260,100,200000000,410.0
4,c4.2xlarge,32,51705.0,9530,1000,10000000,183.0
12,c4.2xlarge,96,179193.0,9530,1000,10000000,136.0
10,c4.2xlarge,80,167232.0,9530,1000,10000000,142.0
2,r4.2xlarge,16,134696.0,17334,100,180000000,321.0
10,m4.2xlarge,80,339239.0,17334,100,180000000,242.0
4,m4.2xlarge,32,131866.0,19260,100,200000000,367.0
2,r4.2xlarge,16,111086.0,19260,100,200000000,429.0
4,m4.2xlarge,32,125817.0,17334,100,180000000,339.0
4,m4.2xlarge,32,131749.0,13482,100,140000000,308.0
6,r4.2xlarge,48,369908.0,17334,100,180000000,173.0
12,m4.2xlarge,96,397572.0,9530,1000,10000000,134.0
4,m4.2xlarge,32,103735.0,15408,100,160000000,310.0
10,m4.2xlarge,80,326039.0,9630,100,100000000,159.0
4,r4.2xlarge,32,262042.0,19260,100,200000000,222.0
8,c4.2xlarge,64,132247.0,13482,100,140000000,183.0
10,r4.2xlarge,80,625528.0,11556,100,120000000,106.0
10,c4.2xlarge,80,152043.0,9630,100,100000000,141.0
12,c4.2xlarge,96,200772.0,17334,100,180000000,237.0
6,c4.2xlarge,48,74243.0,13482,100,140000000,217.0
10,c4.2xlarge,80,163556.0,13482,100,140000000,188.0
10,m4.2xlarge,80,330059.0,9530,1000,10000000,174.0
10,c4.2xlarge,80,135793.0,15408,100,160000000,205.0
4,m4.2xlarge,32,125462.0,15408,100,160000000,229.0
6,r4.2xlarge,48,359899.0,15408,100,160000000,213.0
4,m4.2xlarge,32,129152.0,19260,100,200000000,366.0
10,m4.2xlarge,80,334252.0,15408,100,160000000,215.0
