	instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	p_occurrence	gross_runtime
0	7	c4.2xlarge	84	217066	15189	100	155990563	0.59	52
1	8	c4.2xlarge	35	60000	11958	100	107565741	0.77	340
2	11	m4.2xlarge	17	61455	12776	100	134334103	0.3	47
3	12	c4.2xlarge	75	155920	15440	100	107565824	0.73	137
4	12	r4.2xlarge	46	349597	13530	100	194037517	0.9	173
5	10	m4.2xlarge	51	192772	15129	100	181955826	0.51	120
6	12	m4.2xlarge	60	222658	10864	100	107565734	0.83	243
7	2	m4.2xlarge	80	60000	20200	100	107565734	1.0	215
8	2	m4.2xlarge	96	73433	10864	100	154093099	1.0	314
9	8	m4.2xlarge	96	151154	11333	100	107565734	0.6	274
10	11	m4.2xlarge	96	106721	11876	100	125776267	0.72	130
11	12	m4.2xlarge	73	164690	10864	100	200000000	0.76	138
12	12	r4.2xlarge	96	103758	19402	100	107566485	1.0	137
13	12	m4.2xlarge	53	60000	12762	100	186676170	0.58	244
14	12	c4.2xlarge	56	314577	14869	100	196636922	0.93	258
15	12	m4.2xlarge	21	412516	12921	100	190718592	0.82	241
16	12	r4.2xlarge	17	183412	16537	100	107565746	0.92	106
17	4	r4.2xlarge	88	60000	10864	100	162546567	0.05	246
18	4	m4.2xlarge	24	192528	17091	100	200000000	0.99	188
19	12	m4.2xlarge	17	120932	11039	100	107565764	0.05	345
20	12	m4.2xlarge	96	207296	10864	100	107566056	0.98	271
21	12	m4.2xlarge	22	201607	14489	100	120628756	0.0	133
22	12	r4.2xlarge	17	206475	20200	100	200000000	0.73	314
23	7	m4.2xlarge	17	62090	13447	100	190989143	0.0	308
24	12	m4.2xlarge	92	119528	14732	100	107565833	0.86	131
25	3	m4.2xlarge	20	732000	15019	100	155733854	0.0	108
26	9	r4.2xlarge	38	173353	10864	100	200000000	0.55	120
27	3	m4.2xlarge	26	253248	12434	100	107565919	0.65	280
28	2	m4.2xlarge	19	176013	11024	100	166294739	0.36	71
29	9	r4.2xlarge	17	270163	12131	100	194109502	0.0	299
30	12	m4.2xlarge	17	139851	10864	100	175742827	0.0	130
31	2	m4.2xlarge	71	156865	10864	100	199999966	1.0	60
32	12	m4.2xlarge	96	252658	17418	100	161091002	0.94	127
33	8	m4.2xlarge	30	226456	11310	100	147099726	1.0	254
34	12	m4.2xlarge	96	202235	18172	100	190763304	0.83	245
35	2	m4.2xlarge	19	171398	14825	100	200000000	0.96	98
36	10	m4.2xlarge	22	241541	12665	100	186045546	0.88	279
37	11	m4.2xlarge	30	202902	16417	100	107565736	0.89	325
38	6	m4.2xlarge	47	72529	11039	100	156253918	1.0	152
39	10	m4.2xlarge	17	173658	12378	100	107565822	0.0	105
40	7	m4.2xlarge	44	163826	10864	100	139035817	0.46	149
41	12	m4.2xlarge	17	328839	14223	100	177011117	0.65	288
42	11	m4.2xlarge	17	212217	11826	100	107565737	0.39	70
43	2	m4.2xlarge	83	60004	11733	100	186705990	1.0	310
44	2	c4.2xlarge	85	111275	15685	100	178323679	0.7	95
45	3	m4.2xlarge	17	153973	16426	100	133025350	0.83	168
46	5	m4.2xlarge	28	115188	11523	100	134417932	0.95	46
47	5	c4.2xlarge	42	61667	12339	100	107568980	0.83	295
48	3	m4.2xlarge	17	170680	15938	100	123524240	0.0	127
49	3	m4.2xlarge	96	195434	13399	100	148037086	1.0	67
50	2	c4.2xlarge	43	188811	17453	100	185346920	0.93	48
51	2	c4.2xlarge	75	172186	10864	100	170942314	0.93	127
52	12	m4.2xlarge	75	229469	11817	100	166532143	0.62	131
53	2	m4.2xlarge	72	175304	10864	100	147622742	0.88	177
54	5	r4.2xlarge	43	178131	11111	100	200000000	0.95	169
55	9	m4.2xlarge	79	465651	10864	100	164558929	0.73	140
56	2	m4.2xlarge	95	60000	19161	100	124024194	0.45	60
57	11	m4.2xlarge	29	209112	15193	100	167964528	0.16	195
58	12	r4.2xlarge	96	171843	12507	100	200000000	0.93	102
59	2	m4.2xlarge	96	206338	12135	100	152486893	0.44	58
60	10	m4.2xlarge	81	167767	13542	100	107566051	0.86	249
61	2	m4.2xlarge	60	165979	14686	100	133395975	0.62	153
62	2	m4.2xlarge	42	60001	13113	100	176190652	0.0	244
63	7	m4.2xlarge	17	297610	10864	100	137837304	0.0	135
64	2	r4.2xlarge	96	184931	11645	100	107565734	0.72	305
65	2	m4.2xlarge	47	158230	10864	100	113786439	0.8	142
66	2	m4.2xlarge	82	222301	12020	100	147016587	0.96	49
67	12	m4.2xlarge	28	60981	19373	100	107565734	0.61	112
68	11	m4.2xlarge	47	166732	11033	100	200000000	0.95	305
69	2	c4.2xlarge	29	109156	18941	100	107565746	0.57	148
70	12	m4.2xlarge	92	60000	11401	100	130149770	1.0	175
71	2	m4.2xlarge	96	120309	14132	100	159125544	0.73	198
72	9	m4.2xlarge	17	166560	11675	100	129327878	0.16	183
73	6	m4.2xlarge	87	157778	10864	100	107565734	0.99	58
74	3	m4.2xlarge	37	181107	11589	100	138552668	0.18	209
75	12	m4.2xlarge	79	208289	17898	100	186367890	0.53	97
76	2	m4.2xlarge	42	183653	11441	100	129144074	0.45	134
77	12	r4.2xlarge	96	98764	10864	100	187149638	0.79	214
78	12	r4.2xlarge	41	122369	11298	100	148104405	0.35	347
79	2	m4.2xlarge	96	63031	17179	100	107565741	0.89	87
80	12	m4.2xlarge	67	60000	17566	100	107565738	1.0	245
81	3	m4.2xlarge	56	194614	15124	100	160105500	0.3	64
82	5	m4.2xlarge	17	155892	11142	100	199999815	0.89	274
83	12	m4.2xlarge	89	144305	11671	100	107565734	0.94	90
84	4	r4.2xlarge	96	377899	15303	100	200000000	0.26	140
85	6	m4.2xlarge	17	208050	13531	100	107565739	0.96	136
86	10	m4.2xlarge	61	297729	11384	100	135559383	0.95	202
87	7	c4.2xlarge	96	108355	10995	100	107565781	0.79	197
88	2	c4.2xlarge	53	164580	11881	100	120678541	0.8	164
89	12	m4.2xlarge	91	189007	13948	100	107567594	1.0	163
90	12	m4.2xlarge	96	60000	11087	100	107566170	0.85	206
91	2	m4.2xlarge	25	129747	16549	100	173968514	0.34	76
92	2	c4.2xlarge	75	159562	11450	100	119286721	0.85	180
93	2	m4.2xlarge	17	60000	17087	100	149649241	0.0	198
94	2	m4.2xlarge	39	60000	10864	100	107566548	0.95	67
95	8	m4.2xlarge	17	61889	17273	100	199999987	0.79	199
96	2	m4.2xlarge	96	72910	12674	100	120691043	0.6	222
97	2	m4.2xlarge	82	326636	20200	100	196060406	0.0	134
98	7	m4.2xlarge	17	235093	14075	100	107565785	0.09	255
99	4	m4.2xlarge	17	215198	13563	100	167013000	0.43	64
100	10	m4.2xlarge	96	342959	10864	100	197717399	0.87	158
101	3	r4.2xlarge	17	60000	11288	100	169625387	0.0	113
102	9	m4.2xlarge	30	156195	20200	100	107565734	0.0	105
103	2	c4.2xlarge	84	400213	16740	100	195201903	1.0	295
104	2	m4.2xlarge	17	249840	10864	100	107565924	0.81	56
105	12	r4.2xlarge	74	172364	14420	100	189685897	0.91	214
106	12	m4.2xlarge	17	233158	11362	100	153156460	0.52	141
107	6	m4.2xlarge	21	332011	12328	100	192308823	0.74	132
