	instance_count	machine_type	slots	memory	data_size_MB	features	observations	k	gross_runtime
0	4	r4.2xlarge	70	61000	15135	5	158847595	3	1528
1	11	m4.2xlarge	47	277315	14423	5	107958077	3	215
2	6	r4.xlarge	90	193578	28210	5	100000000	3	1680
3	8	r4.2xlarge	94	337035	15806	5	156630217	3	273
4	10	r4.xlarge	23	663571	8000	5	102613972	3	372
5	3	m4.2xlarge	16	630994	16099	15	156378606	6	707
6	2	m4.2xlarge	17	66226	8741	5	154444628	3	396
7	9	r4.xlarge	85	309610	14731	5	109612307	5	376
8	2	m4.2xlarge	96	111205	15101	5	100000000	3	239
9	7	r4.2xlarge	73	710879	14914	11	154930200	3	307
10	12	r4.xlarge	43	156257	16340	15	151679541	7	264
11	3	r4.2xlarge	78	61000	15683	5	106188490	3	397
12	10	r4.2xlarge	26	74623	15053	5	156013399	9	354
13	8	r4.2xlarge	22	164147	15464	5	151542786	3	368
14	4	r4.xlarge	49	383324	15537	5	106729243	3	2693
15	7	m4.2xlarge	49	309084	15166	5	150160964	9	357
16	11	m4.2xlarge	65	303870	10191	5	100000000	3	332
17	5	m4.2xlarge	46	119063	16157	5	102084356	7	633
18	2	r4.xlarge	40	310730	16305	5	151931566	3	319
19	12	m4.2xlarge	30	61000	11474	5	188658922	3	328
20	11	r4.2xlarge	94	71913	18735	5	153949357	8	227
21	5	r4.xlarge	96	343673	15289	5	107106037	3	238
22	3	r4.2xlarge	96	61000	15311	5	154607092	5	1187
23	10	m4.2xlarge	8	566323	9131	5	103604387	4	194
24	9	m4.2xlarge	31	615553	28971	5	159709027	3	264
25	9	m4.2xlarge	21	181184	16961	5	108686501	7	323
26	10	m4.2xlarge	8	61000	16293	5	185983609	3	293
27	11	r4.xlarge	60	110286	15545	5	158553942	3	94
28	9	r4.2xlarge	14	598058	16168	5	100000000	3	431
29	7	m4.2xlarge	75	308304	18095	5	182980844	3	153
30	12	r4.2xlarge	82	353267	15063	5	102238126	3	249
31	2	r4.2xlarge	14	437492	14427	5	156835679	3	180
32	4	m4.2xlarge	96	117419	16071	5	156159758	3	305
33	12	r4.xlarge	94	98759	15134	5	151256874	7	94
34	2	r4.2xlarge	67	683981	16630	5	102173309	7	312
35	8	r4.2xlarge	96	319542	16258	5	102045157	3	256
36	3	r4.2xlarge	96	330123	16807	5	103081000	3	742
37	2	m4.2xlarge	15	61098	15509	5	107905683	3	210
38	2	r4.2xlarge	14	121609	14985	5	103878737	5	564
39	11	m4.2xlarge	24	465473	19301	5	105730300	3	1056
40	4	r4.2xlarge	38	68012	9537	5	104148754	3	196
41	8	r4.2xlarge	96	618010	15121	5	103679901	5	275
42	2	r4.2xlarge	25	535634	15575	15	106629413	3	326
43	2	r4.2xlarge	24	600415	15032	5	156190048	3	709
44	4	r4.xlarge	96	422597	20315	5	145754717	3	94
45	11	m4.2xlarge	96	573746	15035	5	157162426	3	236
46	5	r4.2xlarge	30	186279	14860	5	152370270	3	297
47	4	r4.xlarge	36	209629	12125	15	103430631	3	269
48	8	r4.2xlarge	73	651477	14548	5	154371439	3	229
49	3	r4.2xlarge	64	61000	12565	5	108657719	3	361
50	4	r4.2xlarge	96	553918	28206	5	153649586	3	295
51	8	m4.2xlarge	23	372230	15572	5	154139198	3	185
52	3	r4.2xlarge	92	78086	15532	15	102091177	3	1239
53	4	m4.2xlarge	77	715049	15700	5	103077182	3	1114
54	4	r4.2xlarge	50	182103	14676	5	101698994	3	947
55	3	m4.2xlarge	9	472130	15468	5	101429129	5	315
56	2	r4.xlarge	96	152933	15436	5	101758839	5	611
57	12	r4.2xlarge	93	61000	15618	6	102044501	3	606
58	8	r4.2xlarge	24	372807	14975	5	146876484	3	310
59	11	r4.xlarge	31	546611	14983	5	105957318	3	895
60	6	r4.2xlarge	27	353180	15400	5	108669060	3	134
61	4	r4.xlarge	44	315647	10549	6	103657453	3	311
62	6	r4.2xlarge	25	451802	15897	5	152627655	3	140
63	6	m4.2xlarge	25	392917	9728	5	102493835	6	113
64	2	r4.2xlarge	96	575409	15672	5	102268788	3	133
65	3	m4.2xlarge	26	300271	9656	5	107646955	3	324
66	12	r4.2xlarge	96	351649	10939	5	100000000	3	272
67	2	m4.2xlarge	65	61000	16217	15	105802327	5	370
68	12	r4.2xlarge	35	204634	10023	5	158101119	3	291
69	2	m4.2xlarge	26	301787	16187	5	100000000	9	545
70	8	m4.2xlarge	18	62068	15427	5	107681584	3	321
71	2	r4.2xlarge	45	333517	15675	5	103235320	7	387
72	2	r4.xlarge	20	61000	15582	5	101465948	3	94
73	2	r4.2xlarge	21	132985	14492	5	105841590	3	387
74	6	r4.2xlarge	26	313824	15890	5	150800976	3	262
75	9	m4.2xlarge	16	61000	14933	5	174995258	3	244
76	2	r4.2xlarge	19	72517	26562	5	103424026	3	551
77	12	r4.xlarge	17	369607	14390	5	105558794	9	379
78	12	r4.2xlarge	33	217526	16279	5	100000000	3	343
79	12	r4.2xlarge	64	76438	17061	5	103797975	9	307
80	2	r4.2xlarge	14	445532	15033	5	107145611	7	733
81	2	r4.2xlarge	49	61000	15446	5	100000000	5	330
82	3	r4.2xlarge	27	407850	14733	5	106220289	5	284
83	2	r4.xlarge	37	87738	8000	5	152022438	3	369
84	6	r4.2xlarge	84	215560	14462	5	147089391	3	381
85	4	m4.2xlarge	14	607542	15716	5	107457365	3	389
86	7	r4.2xlarge	96	492319	14889	5	104150759	3	379
87	4	r4.xlarge	74	61000	15676	5	100011886	7	97
88	9	r4.2xlarge	26	193525	15253	5	104893983	3	422
89	10	r4.2xlarge	26	119460	15410	5	156514360	6	375
90	2	r4.2xlarge	22	591796	15508	5	105318516	3	341
91	8	m4.2xlarge	96	351240	15509	5	156209323	3	284
92	8	m4.2xlarge	30	365237	28758	5	106883759	3	263
93	4	m4.2xlarge	30	730451	16015	5	153358541	3	320
94	11	r4.2xlarge	16	440898	8440	5	152763991	3	331
95	2	r4.xlarge	25	333398	15018	5	156500818	9	314
96	8	r4.2xlarge	96	102300	20093	5	105329549	3	1426
97	5	r4.2xlarge	78	338008	14924	6	127664842	3	185
98	8	r4.2xlarge	83	299028	15558	15	152294712	3	388
99	10	r4.2xlarge	22	195805	15123	5	103812199	3	283
100	9	m4.2xlarge	31	656861	16673	5	106978057	3	267
101	5	m4.2xlarge	35	310096	11212	5	103856030	3	410
102	3	m4.2xlarge	30	225795	11925	5	158450047	3	257
103	12	r4.2xlarge	21	255909	15761	5	150132629	5	326
104	12	r4.2xlarge	27	320617	30500	5	150970589	3	233
105	11	r4.2xlarge	74	305678	15263	5	104718284	3	299
106	6	m4.2xlarge	40	373296	16026	5	154784204	3	981
107	2	m4.2xlarge	59	348794	15608	11	102347562	3	201
108	4	r4.2xlarge	35	61000	15811	5	127435842	7	577
109	3	r4.2xlarge	12	199109	9636	6	102736277	3	341
110	8	r4.2xlarge	64	61000	20880	5	100000000	7	154
111	5	m4.2xlarge	8	297804	16103	5	100000000	3	266
112	8	r4.2xlarge	14	378148	15763	5	147756513	3	371
113	5	m4.2xlarge	94	587410	15127	5	105674150	3	238
114	10	r4.xlarge	19	308046	15178	5	189505330	3	4556
115	8	r4.2xlarge	68	558753	16797	5	104725008	7	430
116	10	r4.xlarge	28	220393	15626	5	128356481	7	94
117	6	r4.2xlarge	49	488386	15851	5	100819442	3	241
118	12	m4.2xlarge	32	116502	15928	5	155978400	3	280
119	2	r4.2xlarge	13	293867	16142	5	153095453	3	744
120	12	r4.2xlarge	12	329438	15668	5	101770311	9	217
121	2	r4.2xlarge	13	453233	30500	5	104171648	3	315
122	12	r4.2xlarge	21	580932	14935	5	103769530	7	94
123	2	r4.xlarge	70	561954	16736	5	154578807	5	329
124	11	m4.2xlarge	84	181168	15309	6	108401038	3	321
125	3	r4.xlarge	42	69575	15153	5	154920655	3	362
126	2	r4.2xlarge	23	314661	15972	5	101197744	3	1345
127	5	r4.xlarge	96	61000	10995	5	134971571	7	562
128	12	r4.2xlarge	48	141072	16089	5	180398699	3	269
129	4	r4.2xlarge	35	732000	14773	11	152440348	3	2483
130	12	r4.xlarge	23	175656	16296	6	154739762	5	271
131	6	r4.2xlarge	19	352720	15499	5	104846273	3	205
132	12	r4.xlarge	18	61000	27770	6	100000000	3	325
133	9	r4.xlarge	96	66051	19009	5	154914300	3	195
134	7	r4.2xlarge	26	341931	15778	5	100000000	3	300
135	10	r4.2xlarge	10	317279	30500	5	155444006	3	225
136	8	m4.2xlarge	16	168824	15275	5	200000000	5	181
137	11	m4.2xlarge	87	244930	15260	5	103871680	3	609
138	5	r4.2xlarge	13	434850	15237	5	147757274	3	941
139	9	r4.2xlarge	27	344812	28902	5	154918919	3	235
140	2	m4.2xlarge	33	226013	14834	5	157850154	3	473
141	6	m4.2xlarge	90	130096	16075	5	153088685	3	322
142	2	r4.2xlarge	45	312099	15907	6	106291875	5	190
143	5	m4.2xlarge	17	461888	11411	5	104757768	9	369
144	9	m4.2xlarge	96	696821	28027	5	107302791	7	127
