	instance_count	machine_type	slots	memory	data_size_MB	features	observations	k	gross_runtime
0	3	r4.2xlarge	22	151223	17003	6	125000000	3	402
1	8	r4.xlarge	9	630859	24884	6	125000000	3	189
2	12	m4.2xlarge	26	119143	12627	6	125000000	3	466
3	9	r4.2xlarge	9	217055	10897	6	125000000	4	147
4	8	m4.2xlarge	33	83097	24262	6	125000000	3	185
5	11	r4.xlarge	9	230927	14080	6	125000000	3	240
6	11	r4.xlarge	64	81642	16093	6	200000000	3	333
7	10	m4.2xlarge	10	212327	13778	6	200000000	3	117
8	9	r4.2xlarge	49	105762	11235	6	149449566	3	847
9	11	m4.2xlarge	31	107872	12643	6	125000000	3	195
10	11	r4.2xlarge	65	77774	15013	6	176412114	9	298
11	10	r4.2xlarge	66	77358	11864	6	125000000	3	361
12	3	r4.2xlarge	19	97831	10500	6	125000000	3	192
13	6	r4.2xlarge	12	244239	11957	6	136453332	3	259
14	8	m4.2xlarge	79	178716	26039	6	131252579	7	1160
15	7	r4.2xlarge	80	207179	10500	6	125000000	3	208
16	2	r4.2xlarge	27	686410	15371	6	133925543	3	421
17	3	r4.2xlarge	44	494543	13783	6	177953036	4	129
18	5	m4.2xlarge	18	69985	14426	6	125000000	3	123
19	9	r4.2xlarge	24	105405	14091	6	125000000	3	153
20	12	r4.2xlarge	12	283695	23139	6	200000000	3	129
21	6	m4.2xlarge	40	66343	26036	6	125000000	3	245
22	12	r4.2xlarge	39	731995	11469	6	125000000	3	370
23	12	r4.2xlarge	10	75922	11453	6	162551817	5	289
24	4	r4.xlarge	43	438194	13966	6	200000000	3	248
25	12	r4.2xlarge	11	602311	17049	6	196169670	3	1596
26	2	r4.xlarge	11	259408	14467	6	125000000	3	256
27	2	m4.2xlarge	19	682871	11045	6	197641951	3	120
28	5	r4.2xlarge	15	408562	11188	6	172635475	3	780
29	10	r4.xlarge	68	640421	11540	6	125000000	3	141
30	5	r4.2xlarge	72	175904	11430	6	125000000	3	122
31	8	r4.2xlarge	49	172647	10500	6	125000000	7	293
32	2	r4.xlarge	92	72357	14497	6	125000000	3	277
33	12	m4.2xlarge	74	142752	17470	6	169270101	3	261
34	2	r4.2xlarge	60	155453	14522	6	173691231	5	1978
35	10	r4.2xlarge	68	188378	15341	6	125000000	3	262
36	12	r4.2xlarge	25	69566	13308	6	200000000	6	136
37	6	r4.2xlarge	11	66032	14392	6	178110544	3	108
38	11	r4.2xlarge	38	135623	11039	15	157870026	3	3925
39	9	r4.xlarge	75	732000	14059	6	200000000	4	196
40	8	r4.2xlarge	56	609265	14275	6	184403346	3	2845
41	8	m4.2xlarge	9	108676	25552	6	125000000	3	1013
42	11	r4.2xlarge	29	186323	22153	6	125000000	9	653
43	7	r4.2xlarge	74	228048	15980	6	125000000	3	295
44	3	m4.2xlarge	11	732000	25674	6	125000000	3	175
45	7	r4.2xlarge	14	90787	14752	6	125000000	6	270
46	12	r4.2xlarge	14	224251	11229	15	187770048	3	380
47	7	m4.2xlarge	25	436091	15824	6	164863546	3	180
48	5	r4.2xlarge	80	175126	16330	15	125000000	3	364
49	6	r4.2xlarge	96	732000	11269	6	125000000	3	1780
50	9	r4.2xlarge	9	337115	13624	6	136939629	3	300
51	2	r4.xlarge	9	732000	15977	6	125000000	3	192
52	9	r4.2xlarge	40	187433	10500	6	125000000	3	865
53	12	r4.2xlarge	14	76558	10500	6	131118343	3	1611
54	9	r4.2xlarge	42	194151	21085	6	125000000	3	4034
55	2	r4.2xlarge	32	330153	10500	6	125000000	3	430
56	6	r4.2xlarge	24	72249	13763	6	133169809	4	352
57	2	r4.2xlarge	31	89252	10500	6	125000000	3	249
58	11	r4.2xlarge	62	83363	11205	6	125000000	9	691
59	9	m4.2xlarge	15	81646	13075	15	125000000	3	257
60	7	r4.2xlarge	10	83078	11185	6	125000000	3	180
61	10	m4.2xlarge	48	174437	29765	6	157381340	7	253
62	5	r4.2xlarge	10	469737	25137	6	125000000	3	209
63	2	r4.xlarge	96	631952	17788	6	125000000	4	1123
64	7	r4.2xlarge	14	731999	15002	6	200000000	3	113
65	5	r4.xlarge	25	124911	11266	6	169614852	3	200
66	3	r4.2xlarge	87	501189	16387	6	125000000	9	365
67	7	r4.2xlarge	26	324851	12150	6	125000000	9	120
68	8	r4.2xlarge	16	480945	22121	6	125000000	3	295
69	12	r4.xlarge	82	241954	16511	6	200000000	9	336
70	10	r4.xlarge	17	549234	12108	6	177821709	3	167
71	8	r4.2xlarge	81	81342	27202	6	181175978	3	166
72	11	m4.2xlarge	16	628973	16528	6	169242853	3	1192
73	2	r4.2xlarge	66	72048	21545	6	125000000	3	197
74	11	r4.2xlarge	33	201591	10500	6	125000000	3	455
75	8	r4.2xlarge	18	732000	13361	6	167191954	3	113
76	7	r4.2xlarge	37	91136	16021	6	125000000	9	1082
77	3	r4.2xlarge	16	63775	13870	6	132796230	3	111
78	3	r4.2xlarge	9	67401	11426	6	125000000	3	1748
79	3	r4.2xlarge	41	68022	12424	6	200000000	5	241
80	4	r4.2xlarge	17	68783	11912	6	195791545	3	127
81	9	r4.2xlarge	96	703886	20446	6	160292110	3	220
82	8	r4.2xlarge	96	118517	14886	6	125000000	3	182
83	7	m4.2xlarge	25	68051	18591	6	193576884	4	214
84	3	r4.2xlarge	16	732000	16927	6	125000000	9	124
85	10	r4.2xlarge	52	732000	16125	6	200000000	3	281
