	instance_count	machine_type	slots	memory	data_size_MB	features	observations	k	gross_runtime
0	11	r4.2xlarge	84	664434	12226	8	126282344	7	206
1	6	r4.2xlarge	60	455998	30500	6	199749080	8	1091
2	8	m4.2xlarge	70	547445	21011	6	158661080	5	413
3	4	r4.2xlarge	20	190658	11754	6	129241511	4	205
4	7	r4.2xlarge	17	123686	11113	6	151764834	8	217
5	8	r4.2xlarge	57	425621	12911	6	167117090	5	212
6	4	r4.2xlarge	30	213602	21384	8	167131221	6	2142
7	12	r4.2xlarge	93	701398	13402	14	125171965	6	113
8	4	r4.xlarge	23	160550	27864	6	178510968	9	1223
9	4	r4.2xlarge	29	196932	10813	6	144358586	3	339
10	5	r4.2xlarge	63	559573	14646	9	132774458	8	1423
11	7	r4.2xlarge	48	383584	23605	15	136227194	3	360
12	10	r4.xlarge	69	587318	30500	15	162470943	5	558
13	3	r4.2xlarge	9	101393	11354	15	125113100	9	1548
14	10	r4.xlarge	52	428606	10832	6	156788821	3	143
15	3	r4.2xlarge	16	109602	30464	6	150083303	9	772
16	7	r4.2xlarge	50	329571	10691	6	125078346	4	124
17	2	r4.2xlarge	29	218728	23574	15	146006674	4	2702
18	4	r4.2xlarge	28	217035	11090	6	129192017	4	941
19	12	r4.xlarge	94	721759	13420	6	135702908	3	99
20	12	r4.2xlarge	96	725395	11503	6	125685469	5	94
21	7	r4.2xlarge	50	324933	10621	6	127901262	3	230
22	2	r4.2xlarge	9	66864	10511	6	125301055	5	522
23	11	r4.2xlarge	88	702664	13391	13	125191533	3	172
24	10	r4.2xlarge	68	500060	25587	6	157821896	8	199
25	5	r4.2xlarge	26	261663	18543	15	125113413	7	226
26	4	r4.2xlarge	11	84872	11337	6	200000000	4	350
27	9	r4.xlarge	66	541760	15388	6	200000000	7	420
28	11	r4.2xlarge	76	538352	15027	6	135252941	4	182
29	11	r4.2xlarge	92	683395	19816	6	184914803	9	111
30	4	r4.2xlarge	22	190105	10833	6	175675912	8	1246
31	5	r4.2xlarge	31	174249	11470	8	125149343	7	275
32	10	r4.2xlarge	69	564262	11278	6	125674260	7	101
33	8	r4.2xlarge	73	637002	12827	8	126445891	8	519
34	7	r4.2xlarge	48	362676	13698	6	155249996	6	265
35	10	r4.2xlarge	85	613289	10769	7	125423836	4	134
36	2	m4.2xlarge	12	82352	10526	6	135426401	5	1144
37	3	r4.2xlarge	15	100538	11472	7	133149525	4	531
38	9	r4.2xlarge	39	322525	19461	13	146342333	6	230
39	12	r4.2xlarge	96	728812	17702	14	125701280	8	264
40	4	r4.2xlarge	14	130199	11705	7	125501771	7	353
41	9	r4.2xlarge	44	216426	14232	6	157957120	4	300
42	10	r4.2xlarge	78	589075	19749	6	195885115	8	193
43	9	r4.2xlarge	70	484309	17317	6	161917782	5	232
44	12	r4.2xlarge	96	728086	12185	6	131924238	5	537
45	4	m4.2xlarge	34	257373	16364	6	161704436	5	1291
46	6	r4.2xlarge	31	281619	17509	6	184853424	8	148
47	5	r4.2xlarge	36	218739	20278	6	179579975	8	1207
48	12	r4.2xlarge	96	731488	10695	6	125915075	9	95
49	8	r4.xlarge	80	657111	15036	8	126011388	7	242
50	6	r4.2xlarge	74	533346	17882	6	174167001	6	957
51	8	r4.2xlarge	19	160412	21671	15	125000021	4	94
52	5	r4.xlarge	28	258458	12190	6	152749181	5	1076
53	5	r4.2xlarge	44	364940	22692	6	196614438	4	1401
54	11	r4.2xlarge	84	680762	20343	6	192462219	8	165
55	12	r4.2xlarge	91	695234	12858	6	161000389	8	96
56	2	r4.2xlarge	10	68490	10925	14	126752162	5	1567
57	11	r4.2xlarge	73	584856	12906	9	133298953	7	103
58	3	r4.2xlarge	21	225694	21676	9	168651994	8	862
59	9	r4.2xlarge	62	486802	13042	6	190209862	9	338
60	12	r4.xlarge	91	689775	12785	6	187797252	8	155
61	4	r4.2xlarge	19	128727	17995	6	181917818	6	566
62	4	r4.2xlarge	39	290955	10516	6	127972892	4	488
63	8	m4.2xlarge	47	262084	11434	10	126440616	7	121
64	4	r4.2xlarge	27	261982	26584	6	164270612	7	634
65	3	r4.2xlarge	22	217456	11095	9	125022739	4	547
66	10	r4.xlarge	81	612617	10612	6	175120032	5	597
67	6	r4.2xlarge	31	234665	12270	6	154976174	4	201
68	6	m4.2xlarge	42	323298	30500	15	125742681	6	331
69	12	r4.xlarge	96	731940	22948	14	152339263	5	152
70	9	m4.2xlarge	78	552400	10806	6	140251305	3	134
71	4	r4.2xlarge	21	199365	19017	6	166219534	4	1028
72	7	r4.2xlarge	43	444199	29428	14	128154526	5	319
73	9	r4.2xlarge	58	523732	14466	6	136409222	4	198
74	11	r4.2xlarge	83	644265	13257	6	128806496	5	103
75	6	r4.2xlarge	43	347033	10759	6	148540841	3	358
76	5	r4.2xlarge	59	406124	11871	6	128320038	8	420
77	6	r4.2xlarge	41	283606	30500	15	147052503	9	595
78	6	r4.2xlarge	23	190704	13119	6	127561058	9	253
79	10	r4.2xlarge	92	701742	12063	6	130197385	9	403
80	8	m4.2xlarge	47	317316	14256	8	133733921	6	441
81	10	r4.2xlarge	80	599039	10644	6	142829475	5	288
82	12	r4.2xlarge	94	702530	29056	15	154243302	6	100
83	6	r4.xlarge	23	204565	13388	6	156909628	4	244
84	12	m4.2xlarge	87	585861	11712	6	174659666	3	95
85	8	r4.2xlarge	51	408286	10554	6	131328937	5	193
86	11	r4.2xlarge	75	512984	13869	15	125196702	9	179
87	12	m4.2xlarge	93	697181	13130	6	147151930	3	99
