	instance_count	machine_type	slots	memory	data_size_MB	features	observations	k	gross_runtime
0	10	r4.2xlarge	79	578813	23495	10	122343853	4	94
1	5	r4.2xlarge	39	335481	13717	5	133180576	9	414
2	7	r4.2xlarge	64	516161	14920	5	142629596	9	114
3	6	r4.2xlarge	41	349234	20947	7	160447474	3	1488
4	6	r4.2xlarge	49	297993	12380	5	125217056	3	1572
5	8	r4.2xlarge	62	479694	15566	5	167111201	5	647
6	2	r4.2xlarge	23	108708	18562	8	126803583	9	427
7	12	r4.2xlarge	96	732000	27362	13	116500517	5	94
8	2	r4.2xlarge	23	190767	14776	7	103105329	6	1232
9	6	r4.2xlarge	42	326433	16885	5	200000000	3	1042
10	5	r4.2xlarge	35	278552	22321	9	122750846	5	94
11	7	r4.2xlarge	52	397034	30500	12	170204512	7	1083
12	6	r4.2xlarge	62	507227	28685	11	149154559	9	673
13	2	r4.2xlarge	8	61000	25960	13	100000000	3	1186
14	10	r4.2xlarge	74	496454	23429	5	200000000	3	891
15	2	r4.2xlarge	21	215531	16863	9	100000000	8	1782
16	8	r4.2xlarge	64	489855	23200	9	146867284	3	714
17	2	r4.2xlarge	8	61000	27573	10	162517824	8	544
18	4	r4.2xlarge	32	207278	23883	7	189814214	3	640
19	12	r4.2xlarge	96	732000	25670	7	199612542	5	94
20	12	r4.2xlarge	96	732000	21578	10	122847097	5	94
21	8	r4.2xlarge	59	422821	21533	6	198886185	3	558
22	2	r4.xlarge	13	61000	17028	6	152555959	3	1952
23	11	r4.2xlarge	88	659168	30500	11	169605717	6	94
24	8	r4.2xlarge	70	557291	16110	8	102881948	8	615
25	6	r4.2xlarge	45	373580	28883	14	100000000	5	1333
26	5	r4.2xlarge	34	207716	8000	5	188784429	5	2105
27	8	r4.2xlarge	58	428403	13664	5	166111695	5	369
28	10	r4.2xlarge	83	578913	22842	8	169127964	6	283
29	12	r4.2xlarge	86	707438	13238	7	100000000	8	94
30	3	r4.2xlarge	21	147495	9661	5	163053372	3	569
31	6	r4.2xlarge	48	321766	21920	11	103353730	4	927
32	11	r4.2xlarge	84	630088	22558	10	124518904	3	430
33	7	r4.2xlarge	57	444252	21552	10	100002389	5	94
34	7	r4.2xlarge	53	413756	17434	6	142985992	5	782
35	11	r4.2xlarge	80	592695	25663	10	162243767	4	94
36	2	r4.xlarge	12	61000	12336	5	149854155	4	1002
37	4	r4.2xlarge	24	155363	22353	8	156428369	5	1549
38	7	r4.2xlarge	60	417950	23133	10	128290328	6	1208
39	12	r4.2xlarge	96	732000	25268	12	100000000	7	94
40	4	r4.2xlarge	32	230788	23156	10	116723845	3	1496
41	7	r4.2xlarge	59	394571	17794	6	170880310	5	1092
42	9	r4.2xlarge	75	593329	10059	5	137960759	7	325
43	8	r4.2xlarge	68	539264	14918	5	151193137	7	434
44	11	r4.2xlarge	88	640462	22081	8	149779259	7	94
45	4	r4.2xlarge	32	225974	15398	5	147701000	8	455
46	7	r4.2xlarge	51	432859	13070	5	117314580	6	1536
47	3	r4.2xlarge	33	271221	8000	5	126302220	7	583
48	12	r4.2xlarge	96	732000	14869	7	100000000	3	94
49	8	r4.2xlarge	62	562121	26923	11	144963207	3	94
50	6	r4.2xlarge	45	368284	15303	6	136140360	8	94
51	9	r4.2xlarge	77	622119	30500	15	105278110	5	2779
52	4	r4.2xlarge	31	216538	17917	5	170951226	3	597
53	4	r4.2xlarge	32	265595	18082	5	200000000	8	598
54	10	r4.2xlarge	82	671082	12212	5	147536380	6	94
55	12	r4.2xlarge	96	732000	11411	5	125752890	5	94
56	2	r4.2xlarge	8	61000	23478	11	125732741	5	1444
57	11	r4.2xlarge	88	634915	20965	9	114397354	5	479
58	3	r4.2xlarge	19	198969	18274	8	107932306	7	1192
59	7	r4.2xlarge	62	468321	8000	5	134559713	5	213
60	11	r4.2xlarge	91	682554	11505	5	160752217	3	94
61	4	r4.2xlarge	30	219064	15871	6	137837074	7	1624
62	6	r4.2xlarge	40	272755	20686	6	180296287	3	292
63	9	r4.2xlarge	68	458561	20343	10	100828409	5	947
64	4	r4.2xlarge	29	299328	19023	8	125391696	8	1267
65	4	r4.2xlarge	30	242570	29412	11	158466002	3	846
66	9	r4.2xlarge	66	419298	15991	5	194997135	3	94
67	7	r4.2xlarge	51	382652	19819	5	180693620	4	1373
68	6	r4.2xlarge	50	411607	27757	15	100000000	9	1062
69	12	r4.2xlarge	96	732000	26956	10	157389540	7	94
70	11	m4.2xlarge	77	548476	21317	6	179133558	7	99
71	3	r4.2xlarge	25	214347	20713	5	182412677	7	1221
72	6	r4.2xlarge	54	461580	26742	12	114917458	8	957
73	8	r4.2xlarge	68	533240	23976	7	189556862	5	629
74	12	r4.2xlarge	96	707205	22257	9	138280253	5	174
75	7	r4.2xlarge	50	344588	20898	5	198175236	4	585
76	6	r4.2xlarge	46	374558	19031	9	117270277	4	146
77	5	r4.2xlarge	38	289418	26745	15	100000000	9	1175
