	instance_count	machine_type	slots	memory	data_size_MB	features	observations	k	gross_runtime
0	8	r4.2xlarge	48	376047	16245	5	150025796	3	223
1	4	r4.2xlarge	32	253893	16196	5	149898848	5	465
2	10	r4.2xlarge	80	609320	20618	10	100064311	3	127
3	6	r4.2xlarge	48	249746	21000	5	149996586	3	167
4	6	r4.2xlarge	48	364316	20774	5	174747095	9	286
5	4	r4.2xlarge	32	247362	13068	5	125031294	9	183
6	4	r4.2xlarge	32	245426	20968	5	100226539	9	555
7	8	r4.2xlarge	64	488601	15952	5	149881235	3	238
8	2	r4.2xlarge	16	123403	20626	15	100000000	3	171
9	12	r4.2xlarge	96	732000	18753	5	174496591	9	167
10	6	r4.2xlarge	49	371502	20731	5	149801050	3	236
11	10	r4.2xlarge	80	605411	18682	5	174577060	9	234
12	10	r4.2xlarge	80	611461	16009	5	100180551	3	94
13	2	r4.2xlarge	16	125309	16401	5	150049144	3	239
14	4	r4.2xlarge	32	247013	20978	5	100079114	9	249
15	12	r4.2xlarge	96	730042	20613	10	100088889	9	138
16	8	r4.2xlarge	64	365337	16343	5	149810135	3	144
17	6	r4.2xlarge	48	364378	20764	5	100121121	3	150
18	6	r4.2xlarge	48	366702	13019	5	125269664	9	195
19	6	r4.2xlarge	48	361357	20674	5	100032925	9	337
20	8	r4.2xlarge	64	489915	10293	10	100000000	3	188
21	8	r4.2xlarge	64	484397	20217	10	100070716	9	248
22	2	r4.2xlarge	16	123633	20947	5	100041183	3	349
23	8	r4.2xlarge	64	367142	21232	5	100067625	7	217
24	8	r4.2xlarge	48	365035	16203	5	149981724	3	208
25	10	r4.2xlarge	80	610311	9849	5	124934300	9	174
26	8	r4.2xlarge	64	485170	11223	5	100259685	3	217
27	8	r4.2xlarge	64	488864	18884	5	174940795	3	299
28	10	r4.2xlarge	80	610390	20268	10	100124924	3	171
29	10	r4.2xlarge	80	604923	21027	5	100124103	3	159
30	10	r4.2xlarge	80	610956	9998	5	100128635	7	252
31	8	r4.2xlarge	48	244537	13145	5	100158495	9	185
32	4	r4.2xlarge	32	239017	20431	10	100096251	9	249
33	8	r4.2xlarge	64	487199	21073	10	100124181	5	242
34	2	r4.2xlarge	16	118856	16330	5	150058945	3	220
35	8	r4.2xlarge	64	485771	20935	5	100049679	9	241
36	4	r4.2xlarge	32	241202	10769	5	100063472	5	173
37	4	r4.2xlarge	32	244678	20302	10	100012438	3	259
38	2	m4.2xlarge	16	119548	15862	5	149875413	3	764
39	4	r4.2xlarge	32	247618	10860	5	100088585	3	236
40	8	r4.2xlarge	64	490486	15956	5	149863849	3	121
41	8	r4.2xlarge	64	364842	21104	5	174775184	5	182
42	8	r4.2xlarge	64	489558	21148	5	199290341	9	227
43	6	r4.2xlarge	48	366619	20726	5	100000000	3	254
44	10	r4.2xlarge	80	611222	16126	5	150059145	7	177
45	10	r4.2xlarge	80	604153	12943	5	124763469	3	206
46	8	r4.2xlarge	64	487795	20652	10	100040739	5	94
47	10	r4.2xlarge	80	608218	11076	5	100067902	9	145
