	instance_count	machine_type	slots	memory	data_size_MB	pages	links	convergence_criterion	gross_runtime
0	11	r4.2xlarge	34	438326	144	1117263	30000000	0.0027	501
1	9	m4.2xlarge	18	168375	299	2143245	25512462	0.0019	344
2	3	r4.2xlarge	96	183449	146	1117263	20394533	0.01	664
3	4	r4.2xlarge	51	627543	143	3000000	11171379	0.0001	360
4	10	m4.2xlarge	75	572629	249	1960967	23442380	0.001	364
5	5	r4.xlarge	12	491002	260	1731723	20794382	0.0022	469
6	2	r4.2xlarge	25	691735	142	1117263	11171379	0.0003	671
7	4	r4.xlarge	10	271852	259	2194682	23581154	0.0019	442
8	6	r4.2xlarge	48	489415	227	1117263	19326426	0.0046	345
9	2	r4.2xlarge	78	732000	142	3000000	30000000	0.0001	466
10	11	m4.2xlarge	20	466860	259	1900944	24330166	0.003	672
11	2	r4.2xlarge	23	521889	422	2381235	20962791	0.01	266
12	10	m4.2xlarge	17	532640	286	2022280	24823666	0.0001	564
13	7	r4.2xlarge	48	578835	420	1117263	11171379	0.01	277
14	10	r4.2xlarge	70	732000	150	1117263	11171379	0.0001	168
15	9	r4.2xlarge	71	586806	274	1117263	22837590	0.01	426
16	12	r4.2xlarge	96	483519	142	1899979	21391695	0.0006	395
17	8	r4.2xlarge	23	564095	248	3000000	30000000	0.0034	519
18	2	r4.2xlarge	74	535554	355	1794230	16624457	0.01	378
19	4	m4.2xlarge	83	425609	301	2172076	23337342	0.0013	870
20	2	r4.2xlarge	75	493356	142	1117263	20868908	0.01	302
21	6	r4.2xlarge	37	732000	390	1117263	22825021	0.0015	283
22	2	r4.2xlarge	84	590256	143	1117263	18356550	0.0001	465
23	2	m4.2xlarge	34	477971	234	1733317	24527645	0.0028	460
24	7	r4.2xlarge	46	135218	142	1117263	18480918	0.0001	257
25	8	r4.2xlarge	34	649779	251	2111363	11171379	0.01	208
26	6	m4.2xlarge	18	181714	289	1842318	24429224	0.0018	577
27	11	r4.2xlarge	13	479560	142	1117263	11171379	0.0009	330
28	9	m4.2xlarge	87	608057	236	2089531	21241172	0.0022	640
29	10	r4.2xlarge	42	240003	142	1117263	30000000	0.0001	156
30	2	r4.xlarge	19	617156	247	1867812	20152964	0.0015	423
31	8	m4.2xlarge	27	545414	298	1779334	25275094	0.0018	870
32	5	m4.2xlarge	25	348460	299	1912369	19695921	0.0033	227
33	3	m4.2xlarge	51	596576	264	1883820	20732463	0.0033	386
34	6	m4.2xlarge	14	535963	287	2183525	21817443	0.0014	662
35	4	r4.xlarge	11	170400	249	2185545	19452946	0.0014	870
36	2	m4.2xlarge	96	700728	261	1117263	21243616	0.0006	391
37	6	r4.xlarge	20	541178	268	1681970	21786408	0.001	870
38	8	m4.2xlarge	74	285560	242	1832234	24474946	0.0009	456
39	8	r4.2xlarge	72	623554	262	1903738	11171379	0.01	325
40	9	r4.2xlarge	50	518599	142	2006197	11171379	0.0043	454
41	4	r4.2xlarge	15	529256	396	3000000	30000000	0.0016	225
42	5	m4.2xlarge	35	438419	247	2324059	23888101	0.0017	870
43	10	r4.2xlarge	78	408752	431	1117263	20817958	0.0046	528
44	7	r4.2xlarge	35	672558	142	1117263	20347069	0.01	732
45	6	m4.2xlarge	33	552778	213	2490102	24089839	0.0028	332
46	2	r4.2xlarge	72	153293	390	1117263	11171379	0.01	331
47	10	m4.2xlarge	13	513561	277	1980955	22296336	0.0008	173
48	9	r4.2xlarge	73	609799	436	1117263	18715261	0.0006	249
