	instance_count	machine_type	slots	memory	data_size_MB	pages	links	convergence_criterion	gross_runtime
0	9	r4.2xlarge	76	582477	204	1082997	15215373	0.004790279124844585	179
1	7	r4.2xlarge	50	400960	201	3000000	13120165	0.0001	540
2	10	r4.2xlarge	69	468069	316	2910568	20989893	0.005421906614038718	410
3	5	r4.2xlarge	35	262332	375	1190597	27439073	0.003533935835730241	257
4	5	r4.2xlarge	44	293398	427	2203358	30000000	0.004091788412175531	307
5	8	r4.2xlarge	64	488523	375	1925534	27048868	0.00168197289796981	384
6	3	r4.2xlarge	30	183809	221	2887922	14394548	0.00512621159413856	449
7	11	r4.2xlarge	95	693058	131	1000000	10614385	0.005807680456718097	118
8	3	r4.2xlarge	25	171800	181	2822304	12740321	0.0001	438
9	6	r4.2xlarge	44	318390	436	1201329	30000000	0.0028081418547128206	405
10	5	r4.2xlarge	42	352287	179	1592468	12585170	0.0037246968218286585	347
11	6	r4.2xlarge	45	355984	131	1000000	10000000	0.0001	225
12	8	r4.2xlarge	60	424990	131	1685659	10000000	0.0001	332
13	2	r4.2xlarge	8	61000	208	1065778	14568698	0.006508404210590327	169
14	8	r4.2xlarge	72	543332	403	1000000	30000000	0.0001	341
15	3	r4.2xlarge	17	88656	194	3000000	13201507	0.002357292404110745	339
16	7	r4.2xlarge	55	401105	346	1000000	26804327	0.006734400501689955	122
17	2	r4.2xlarge	8	84395	131	1416231	10000000	0.0001	434
18	4	r4.2xlarge	33	232044	345	1000000	25996346	0.0017572722324133597	351
19	12	r4.2xlarge	96	732000	252	1000000	19381304	0.0001	237
20	12	r4.2xlarge	96	732000	247	1299164	18927752	0.00835829274145082	118
21	7	r4.2xlarge	58	413900	417	1000000	30000000	0.0024810344159703055	294
22	2	r4.2xlarge	8	61000	436	1000000	30000000	0.007717412210931456	260
23	11	r4.2xlarge	83	613983	180	1000000	13577972	0.004767901375624261	143
24	9	r4.2xlarge	68	484385	202	2907597	13703643	0.00298975965397587	298
25	4	r4.2xlarge	30	229168	131	1203745	10000000	0.004985929897384434	118
26	5	r4.2xlarge	39	270143	436	3000000	30000000	0.0010534665868587494	584
27	8	r4.2xlarge	68	569159	300	2119206	21485811	0.0001	509
28	10	r4.2xlarge	80	543711	267	1351983	19793634	0.0028392657349054105	268
29	11	r4.2xlarge	89	732000	210	3000000	14761907	0.0031017641900914564	300
30	4	r4.2xlarge	32	248074	436	2016490	30000000	0.001138349069116799	542
31	5	r4.2xlarge	38	250255	278	1554809	20944398	0.009711629208234145	122
32	9	r4.2xlarge	74	563630	273	1000000	20680455	0.0048060905207663734	118
33	7	r4.2xlarge	58	464119	201	1657826	13953113	0.006992240270785653	227
34	7	r4.2xlarge	53	418182	309	1928454	22446983	0.0022315565612596993	329
35	10	r4.2xlarge	76	594582	290	1000000	22635860	0.007204077701382826	149
36	2	r4.2xlarge	16	95956	436	2216005	30000000	0.01	403
37	3	r4.2xlarge	19	157855	344	1450540	25519404	0.005927242964956908	272
38	6	r4.2xlarge	52	384714	179	1705958	13149530	0.0003665443178945014	234
39	12	r4.2xlarge	96	732000	131	1614814	10000000	0.007335050064207985	157
40	3	r4.2xlarge	21	154575	279	1100050	20846729	0.0047860430060925226	165
41	7	r4.2xlarge	57	378664	330	1631359	24962028	0.0001	362
42	10	r4.2xlarge	82	615278	320	2997753	22053428	0.0001	457
43	10	r4.2xlarge	71	499691	325	2378398	23148751	0.0024360585356101227	382
44	12	r4.2xlarge	96	732000	202	1379262	15035916	0.0064367406314911595	319
45	5	r4.2xlarge	39	252998	342	2741644	23150381	0.005693216683993831	463
46	7	r4.2xlarge	49	406691	323	2923224	22251449	0.0020741852167103824	338
47	6	r4.2xlarge	43	246378	380	3000000	25733480	0.0036738905144032643	544
48	12	r4.2xlarge	96	732000	299	1401721	21419352	0.006683789348836542	125
49	8	r4.2xlarge	60	503622	151	1000000	12550594	0.0001	210
50	8	r4.2xlarge	56	441456	266	2766922	18297437	0.004357574583161636	455
51	6	r4.2xlarge	40	250543	131	1000000	10000000	0.00505689642134303	118
52	4	r4.2xlarge	37	265909	353	1382110	25464676	0.0001	446
53	6	r4.2xlarge	44	331189	294	2024843	20622952	0.0001	594
54	12	r4.2xlarge	89	677109	301	2558001	20485719	0.0001	448
55	12	r4.2xlarge	96	732000	351	2365242	25043551	0.0032743933710206747	289
56	2	r4.2xlarge	8	61000	296	1471845	22407778	0.008860076286711378	246
57	9	r4.2xlarge	80	612953	235	1590193	17202178	0.004086756596433263	143
58	3	r4.2xlarge	20	207395	209	2683218	13973372	0.002248890992496975	367
59	9	r4.2xlarge	71	521744	421	2941255	29048394	0.0016701448625176547	492
60	12	r4.2xlarge	96	732000	344	1889787	25152780	0.0001	440
61	4	r4.2xlarge	30	228209	308	2677519	21657359	0.0019316206090413135	398
62	5	r4.2xlarge	42	347590	431	1000000	30000000	0.005727389461116877	306
63	7	r4.2xlarge	57	416421	284	1868875	21234611	0.009676466616935098	118
64	5	r4.2xlarge	29	238021	208	2554084	14145856	0.0006997003057710905	374
65	4	r4.2xlarge	23	172238	281	1000000	21424570	0.0066464001770904935	163
66	9	r4.2xlarge	78	614348	402	1059651	29612564	0.00012326701725964102	472
67	6	r4.2xlarge	48	369467	368	1312725	27255522	0.0005338428485955936	331
68	5	r4.2xlarge	38	255347	131	2306612	10000000	0.007134892509678021	118
69	12	r4.2xlarge	96	732000	131	1048017	10000000	0.0001	284
70	10	r4.2xlarge	78	611995	377	1399729	27681611	0.00785218004897707	255
71	4	r4.2xlarge	29	199863	306	1773113	21518292	0.0001	456
72	7	r4.2xlarge	45	316772	131	1866191	10000000	0.0027204802797287262	197
73	9	r4.2xlarge	65	476261	296	1000000	21816415	0.0001	308
74	11	r4.2xlarge	89	648210	253	1284643	18662674	0.003918879384795317	163
75	7	r4.2xlarge	53	420259	408	1000000	29973383	0.0029076365764305052	360
76	6	r4.2xlarge	46	377914	276	1707708	20586856	0.00654395095906571	256
77	3	r4.2xlarge	30	265214	131	2887589	10000000	0.0037611131257666536	156
78	5	r4.2xlarge	40	264629	286	2396722	19925797	0.007950150315618233	179
79	9	r4.2xlarge	76	627712	183	1774941	13613741	0.0055173463922506515	252
80	6	r4.2xlarge	56	365360	264	2515384	18100754	0.00914027031227321	245
81	11	r4.2xlarge	81	586468	436	1554400	30000000	0.0048578270616418595	414
82	12	r4.2xlarge	96	732000	131	2279081	10000000	0.002068902235371762	156
83	6	r4.2xlarge	44	318644	355	1000000	26791722	0.0001	373
