	instance_count	machine_type	slots	memory	data_size_MB	features	observations	iterations	gross_runtime
0	4	r4.2xlarge	24	190373	19952	5	193303066	54	380
1	11	r4.2xlarge	48	287190	18863	15	201791505	27	218
2	6	r4.xlarge	74	216880	23676	5	160156497	30	284
3	9	m4.2xlarge	96	386547	19695	5	216640490	27	60
4	11	r4.xlarge	66	61000	24746	10	214487837	26	561
5	9	r4.2xlarge	16	411198	28350	14	204099928	95	400
6	9	r4.2xlarge	96	614861	18405	5	206392707	20	332
7	9	r4.xlarge	85	419347	24418	5	172062056	25	119
8	4	r4.2xlarge	96	61000	20640	5	210964153	26	86
9	6	m4.2xlarge	85	346164	9730	5	300000000	26	292
10	9	r4.xlarge	50	61000	23025	5	211491383	24	232
11	3	m4.2xlarge	83	593254	9730	15	206294947	25	329
12	9	m4.2xlarge	51	100770	20066	5	202905581	24	251
13	8	r4.2xlarge	15	235513	19922	15	264797411	31	364
14	4	r4.xlarge	54	732000	19062	5	204777489	26	290
15	5	r4.2xlarge	44	380270	20239	5	212014565	27	139
16	11	r4.2xlarge	70	274414	23112	15	145033406	54	111
17	6	r4.2xlarge	50	189155	18440	5	150996283	23	115
18	9	r4.xlarge	35	388010	18841	5	162098538	21	345
19	5	r4.2xlarge	32	182935	22591	5	100452373	26	4500
20	9	r4.2xlarge	62	74716	24203	5	244087090	100	253
21	6	r4.xlarge	96	261993	22626	9	209116168	21	766
22	8	m4.2xlarge	96	106208	24232	5	149263205	28	292
23	5	r4.2xlarge	14	95842	28579	14	161021952	30	707
24	10	r4.2xlarge	68	601818	23238	5	100000000	24	577
25	10	r4.2xlarge	26	516659	18452	15	195384998	23	398
26	10	r4.2xlarge	23	373900	14229	5	190211802	23	313
27	10	r4.xlarge	68	383286	18364	5	191542747	23	299
28	7	r4.2xlarge	64	595874	19050	5	265516984	27	421
29	8	r4.2xlarge	81	311626	19533	5	207319442	48	392
30	5	m4.2xlarge	83	389377	18698	9	192426572	53	61
31	4	m4.2xlarge	14	367303	20095	5	198392446	24	354
32	9	r4.2xlarge	63	127699	24080	5	210025519	1	913
33	6	r4.xlarge	53	70476	18976	13	107479033	19	253
34	2	m4.2xlarge	66	732000	19828	15	208627062	92	232
35	5	m4.2xlarge	96	382555	22430	14	207402791	30	59
36	9	m4.2xlarge	96	66746	19136	5	204197928	27	794
37	4	r4.2xlarge	50	85157	19920	5	196173572	22	274
38	2	r4.2xlarge	20	489693	19524	15	156702375	20	355
39	9	r4.2xlarge	60	469552	20249	15	204476613	1	1061
40	3	m4.2xlarge	51	145191	19647	5	215048297	23	228
41	8	m4.2xlarge	96	620226	23615	5	114671291	25	195
42	10	m4.2xlarge	88	632990	19113	5	209212804	28	152
43	2	m4.2xlarge	65	552977	24360	5	192418390	19	318
44	4	r4.xlarge	96	492237	19892	13	205711644	21	354
45	10	r4.2xlarge	96	619308	20244	14	201320659	19	342
46	5	m4.2xlarge	34	233980	18840	5	194056764	3	102
47	3	r4.xlarge	32	267758	9730	14	202387531	50	244
48	9	m4.2xlarge	50	615922	14764	9	189208412	52	313
49	3	r4.2xlarge	68	78178	19723	15	100000000	1	352
50	4	m4.2xlarge	96	586128	19660	9	104143041	22	422
51	9	r4.2xlarge	51	346746	18810	5	100000000	27	201
52	9	m4.2xlarge	96	165317	29593	5	203272994	24	400
53	4	r4.2xlarge	80	159453	9730	12	100000000	27	378
54	4	m4.2xlarge	50	61000	11222	5	107429475	22	64
55	7	r4.2xlarge	33	472792	19135	5	199109369	1	370
56	8	r4.2xlarge	96	127773	18930	5	245607369	19	402
57	9	m4.2xlarge	96	145999	18972	5	212338853	20	378
58	8	m4.2xlarge	22	217638	19611	5	202517821	26	88
59	10	r4.xlarge	17	654202	16126	5	211836958	27	59
60	6	m4.2xlarge	9	319168	9730	5	163873516	100	217
61	8	r4.xlarge	33	345091	19267	10	212362517	22	97
62	6	m4.2xlarge	22	466950	18646	5	206997650	25	223
63	6	r4.2xlarge	63	376581	23135	15	107503404	50	108
64	10	m4.2xlarge	96	623410	20541	5	210078632	27	302
65	4	r4.2xlarge	49	374745	20107	5	201986878	1	286
66	3	m4.2xlarge	96	275068	22790	5	214717370	30	237
67	5	r4.2xlarge	67	499666	9777	14	153751698	19	183
68	3	m4.2xlarge	38	295939	19788	5	199671795	33	188
69	5	r4.2xlarge	25	274128	19718	15	199389190	1	1044
70	8	r4.2xlarge	21	492613	19022	15	199457007	28	56
71	2	m4.2xlarge	53	388859	19370	5	201363485	25	367
72	2	r4.xlarge	27	190266	19588	5	282808088	1	303
73	6	m4.2xlarge	19	61000	19474	15	214148710	28	239
74	5	m4.2xlarge	32	374748	12607	5	195358914	30	369
75	9	r4.2xlarge	21	173571	9849	5	206586663	24	153
76	9	m4.2xlarge	17	113190	19170	5	100000000	18	328
77	12	m4.2xlarge	28	314355	12234	5	218208783	23	294
78	5	m4.2xlarge	40	257219	11947	5	209726234	100	110
79	10	r4.2xlarge	63	214616	24761	13	208577063	26	313
80	10	m4.2xlarge	49	563217	17193	13	161975982	25	129
81	9	m4.2xlarge	49	82645	18827	14	100000000	31	109
82	2	m4.2xlarge	86	372206	19574	9	189098567	24	294
83	11	r4.xlarge	63	152235	12232	5	206310540	19	266
84	6	m4.2xlarge	66	273108	24413	5	113184118	51	299
85	3	r4.2xlarge	28	614292	23441	5	154192791	27	182
86	7	m4.2xlarge	51	570131	18998	5	111704170	25	280
87	3	r4.2xlarge	52	225551	24713	15	196299559	22	212
88	7	m4.2xlarge	40	317346	24556	10	195119692	26	471
89	9	m4.2xlarge	86	228572	23921	10	100000000	52	6205
90	3	m4.2xlarge	37	632365	18308	14	209834116	32	123
91	3	r4.2xlarge	96	379141	14748	15	167087325	24	326
92	8	r4.2xlarge	38	344239	18924	5	196478489	28	188
93	4	r4.2xlarge	30	732000	19070	9	108813657	21	83
94	12	m4.2xlarge	23	510206	15752	15	202424141	26	325
95	2	r4.xlarge	26	297483	26154	5	205061064	42	661
96	7	m4.2xlarge	96	136213	18533	5	215831457	26	406
97	3	m4.2xlarge	93	346283	24673	15	202230179	24	1108
98	3	m4.2xlarge	16	368019	24614	13	165347913	1	299
99	10	m4.2xlarge	21	90417	19377	10	210135636	20	133
100	9	r4.2xlarge	37	704648	19535	14	209023698	24	874
101	3	r4.2xlarge	42	518245	19492	5	190423321	20	319
102	5	r4.2xlarge	32	190420	18544	9	200398153	27	137
103	8	m4.2xlarge	69	284004	24325	14	114803616	19	324
104	10	m4.2xlarge	24	177061	29593	10	201914597	45	300
105	12	m4.2xlarge	89	311797	19689	5	204926932	48	117
106	9	r4.2xlarge	35	336547	25925	13	109024549	17	1156
107	10	r4.2xlarge	70	374177	22851	5	300000000	22	328
108	3	r4.2xlarge	41	84155	19967	5	300000000	18	10915
109	5	m4.2xlarge	27	225989	19029	5	281023692	29	239
110	8	m4.2xlarge	61	282682	23665	5	100000000	3	322
111	6	r4.2xlarge	16	417963	24715	5	204552261	20	343
112	5	m4.2xlarge	29	348227	18959	5	215839141	23	167
113	6	r4.2xlarge	94	564555	24302	5	111788627	47	771
114	9	r4.xlarge	15	696223	18565	5	211855801	24	188
115	8	r4.xlarge	67	676317	18662	5	100000000	20	5684
116	10	r4.xlarge	24	248542	27147	5	203956832	26	226
117	6	m4.2xlarge	54	479348	19437	5	211811699	23	279
118	7	r4.2xlarge	67	91136	28170	9	192762681	100	983
119	5	r4.2xlarge	25	593015	27454	5	165106950	42	265
120	5	m4.2xlarge	13	406624	18661	14	145412072	100	376
121	10	m4.2xlarge	37	474440	24970	5	193673104	18	387
122	5	m4.2xlarge	16	588552	9730	9	199248394	26	306
123	6	r4.xlarge	70	649599	18951	5	216920692	26	228
124	9	r4.2xlarge	96	223417	27943	5	100000000	48	1042
125	6	r4.xlarge	28	137897	19508	5	273189526	23	249
126	9	m4.2xlarge	29	349718	18615	14	152502211	25	109
127	6	r4.xlarge	96	150607	24018	5	157172467	26	296
128	5	m4.2xlarge	53	94176	19351	13	300000000	45	367
129	3	m4.2xlarge	36	267871	24154	5	156112099	24	221
130	12	r4.xlarge	47	251956	14274	5	206575423	18	907
131	6	r4.2xlarge	21	394287	28671	14	188256282	24	310
132	5	r4.xlarge	65	90750	14599	5	206905165	21	255
133	10	r4.xlarge	12	155296	18832	5	115347204	26	231
134	7	m4.2xlarge	16	318929	28257	15	270350334	22	56
135	12	m4.2xlarge	27	370587	20367	15	114336517	100	300
136	5	r4.2xlarge	14	189152	9730	14	200582147	23	845
137	5	r4.2xlarge	46	232883	9730	5	193446636	21	200
138	6	m4.2xlarge	30	426339	19816	5	204518128	19	268
139	8	m4.2xlarge	65	331293	18887	10	194456522	22	334
140	8	r4.2xlarge	29	252125	20374	14	257545127	24	205
141	5	r4.2xlarge	96	113959	19552	5	200092411	23	56
142	9	m4.2xlarge	52	338132	19145	5	110020340	100	160
143	6	r4.2xlarge	76	429864	22588	5	211180857	18	201
144	9	r4.2xlarge	96	684059	20222	5	211650864	21	211
145	2	m4.2xlarge	65	400098	13702	14	110876370	27	285
146	8	m4.2xlarge	33	185073	18988	11	204708967	30	333
147	2	r4.2xlarge	93	645103	9730	5	213168560	29	140
148	5	m4.2xlarge	45	274574	20206	14	186838556	30	182
