	instance_count	machine_type	slots	memory	data_size_MB	features	observations	iterations	gross_runtime
0	10	m4.2xlarge	78	217316	18121	6	198142521	48	98
1	12	r4.xlarge	96	291341	19747	6	299899797	67	336
2	7	r4.2xlarge	96	297911	21934	6	216843678	49	120
3	12	m4.2xlarge	35	161133	19239	6	150000000	20	791
4	11	r4.2xlarge	90	90518	21051	6	150000000	15	537
5	12	r4.xlarge	11	220873	19262	6	166613666	26	360
6	12	r4.xlarge	15	97992	21196	6	150000000	15	122
7	7	r4.2xlarge	88	356607	12898	14	150000000	13	252
8	7	r4.2xlarge	46	88214	20629	9	160166476	54	134
9	12	r4.2xlarge	61	583330	19204	6	213767388	55	788
10	12	r4.2xlarge	65	181110	20369	14	175740060	50	93
11	12	m4.2xlarge	19	115737	20123	6	150000000	100	220
12	7	m4.2xlarge	40	342612	18409	6	248426812	1	141
13	12	r4.2xlarge	59	318749	19988	6	181810938	100	673
14	7	r4.2xlarge	96	485222	13574	7	150000000	13	96
15	2	m4.2xlarge	93	328017	20262	6	192280315	58	67
16	2	r4.2xlarge	96	405251	17278	6	150000000	38	586
17	8	m4.2xlarge	59	90282	12862	6	150000000	100	601
18	12	r4.2xlarge	80	680676	20193	6	218671284	23	138
19	10	m4.2xlarge	11	499184	12860	6	167037943	51	157
20	12	r4.2xlarge	63	468496	20048	6	186866683	100	133
21	7	r4.2xlarge	87	290632	20046	6	150000000	1	10915
22	12	m4.2xlarge	82	353272	18845	6	175977547	100	10915
23	12	m4.2xlarge	91	154180	29593	6	150000000	1	419
24	5	r4.2xlarge	70	98069	19446	6	150000000	31	84
25	12	m4.2xlarge	31	201421	12857	6	298760292	11	820
26	2	r4.xlarge	44	470346	21262	6	150000000	1	953
27	2	r4.2xlarge	89	391955	20489	14	159443463	1	530
28	11	m4.2xlarge	35	104997	12869	6	181411002	26	172
29	10	r4.xlarge	92	505606	29593	6	158392191	100	3138
30	12	m4.2xlarge	90	402877	22483	6	150000000	38	304
31	2	r4.2xlarge	30	516995	19009	6	299532530	28	250
32	2	r4.xlarge	40	444287	21362	6	167180442	1	150
33	7	r4.2xlarge	93	439741	22374	6	168790525	16	123
34	10	m4.2xlarge	43	360452	18500	6	165233997	15	321
35	8	m4.2xlarge	12	298543	19772	6	294299326	50	1081
36	12	m4.2xlarge	96	147552	12857	6	160538440	1	344
37	11	m4.2xlarge	43	569577	20213	6	190333291	1	222
