	instance_count	machine_type	slots	memory	data_size_MB	features	observations	iterations	gross_runtime
0	10	r4.2xlarge	80	636617	24618	11	155673759	28	80
1	8	r4.2xlarge	66	471197	28251	6	299945044	89	1734
2	6	r4.2xlarge	76	637416	24872	6	298508698	14	331
3	4	r4.2xlarge	20	177958	21249	6	263050135	5	78
4	5	r4.2xlarge	18	148068	19969	6	246748920	60	82
5	8	r4.2xlarge	60	432503	21214	6	294062647	17	124
6	3	r4.2xlarge	30	277749	28307	6	282263098	29	2332
7	12	r4.2xlarge	92	694863	27604	14	152138978	11	57
8	4	m4.2xlarge	30	170557	28554	6	287868766	99	1125
9	4	r4.2xlarge	30	198173	16858	6	288727446	2	129
10	6	r4.2xlarge	56	480603	25386	12	168124511	55	1134
11	8	m4.2xlarge	46	322859	29459	15	279639472	2	268
12	10	m4.2xlarge	77	602103	29588	15	298023997	53	580
13	3	r4.2xlarge	9	85570	26166	15	150218582	61	640
14	10	r4.xlarge	50	377806	21728	6	280915509	1	64
15	3	r4.2xlarge	20	140694	28817	8	296303996	89	650
16	6	r4.2xlarge	46	287362	19522	6	158801338	3	57
17	3	m4.2xlarge	25	146470	28868	15	272763034	14	3121
18	4	m4.2xlarge	25	183806	22066	6	192961482	3	369
19	12	m4.2xlarge	94	720518	25935	6	245766268	2	56
20	12	r4.2xlarge	96	725698	22678	7	163807893	4	56
21	6	m4.2xlarge	48	288594	18112	6	196588180	2	68
22	2	r4.2xlarge	9	67046	15151	6	166341410	5	91
23	10	r4.2xlarge	85	695209	27202	14	169552208	1	69
24	9	r4.2xlarge	75	565674	28049	6	292273078	76	146
25	5	r4.2xlarge	24	230320	28885	15	170722576	25	87
26	4	r4.2xlarge	13	112465	16216	6	300000000	20	284
27	11	m4.2xlarge	68	472413	24047	6	298058307	87	490
28	10	r4.2xlarge	78	588672	26896	6	261123430	2	80
29	12	r4.2xlarge	92	666860	25302	6	294127043	87	101
30	4	m4.2xlarge	23	172273	15510	6	259677854	74	774
31	4	r4.2xlarge	28	182203	23928	8	157320824	11	83
32	10	r4.2xlarge	66	522780	22598	8	161986200	20	56
33	8	r4.2xlarge	67	598550	23630	13	155593490	51	261
34	8	r4.2xlarge	48	340146	23495	6	277185338	35	162
35	10	r4.2xlarge	80	557940	21159	7	162256777	1	61
36	2	r4.2xlarge	11	89041	14630	6	223771754	3	588
37	3	r4.2xlarge	13	92411	23490	6	255106845	2	295
38	9	r4.2xlarge	41	323903	28839	10	263201747	41	131
39	12	r4.2xlarge	96	729045	28300	15	152314556	28	125
40	3	r4.2xlarge	13	112888	24296	10	163981265	32	101
41	7	r4.2xlarge	51	256349	25484	6	284778681	19	130
42	11	r4.2xlarge	83	623397	23892	6	299543864	86	176
43	8	r4.2xlarge	76	545553	23964	6	296111545	29	141
44	11	r4.2xlarge	95	725027	22953	6	160795914	6	359
45	3	r4.2xlarge	36	343895	24109	6	293392084	13	1138
46	8	r4.2xlarge	33	286296	24343	6	299461576	72	127
47	3	r4.2xlarge	48	350150	22169	6	298423796	86	990
48	12	r4.2xlarge	96	731071	16230	6	150510796	86	56
49	9	r4.xlarge	78	560942	25809	15	167498764	44	95
50	7	r4.2xlarge	73	533808	24245	6	290394649	40	1110
51	6	r4.2xlarge	20	171179	29557	15	171642041	1	56
52	4	m4.2xlarge	29	238672	21770	6	245221549	37	606
53	6	m4.2xlarge	50	371742	26918	6	299959546	21	1624
54	11	m4.2xlarge	88	689000	23925	6	299159208	86	130
55	12	r4.2xlarge	92	698497	19123	6	276361107	69	57
56	2	r4.2xlarge	9	66766	24647	7	161673728	4	941
57	11	r4.2xlarge	70	568325	25699	8	197321453	35	58
58	4	r4.2xlarge	20	189179	27321	10	292672828	77	1022
59	8	r4.2xlarge	68	531970	17941	6	293116389	91	228
60	12	m4.2xlarge	93	680552	19842	6	276185231	86	86
