	instance_count	machine_type	slots	memory	data_size_MB	features	observations	iterations	gross_runtime
0	11	r4.2xlarge	81	614935	14121	8	100000000	51	56
1	6	r4.2xlarge	53	398979	29593	12	196788411	77	2234
2	9	r4.2xlarge	65	462056	24254	7	217354106	12	968
3	5	r4.2xlarge	37	195786	16912	5	200212632	14	56
4	5	r4.2xlarge	30	270002	17738	5	249647761	69	56
5	8	r4.2xlarge	63	443533	22833	5	239548231	32	354
6	3	r4.2xlarge	23	259458	23363	10	147355056	23	2536
7	12	r4.2xlarge	95	732000	13631	9	100000000	32	56
8	4	r4.2xlarge	23	187249	27910	11	158379284	100	1534
9	6	r4.2xlarge	43	254256	18386	5	269210278	1	845
10	7	r4.2xlarge	55	400092	16765	10	100000000	62	2411
11	6	r4.2xlarge	49	366613	25472	14	100000000	1	56
12	8	r4.2xlarge	61	464626	29593	15	100000000	53	420
13	2	r4.2xlarge	8	61000	9730	7	100000000	72	892
14	9	r4.xlarge	67	505379	22557	5	234668170	1	56
15	2	r4.2xlarge	14	75570	25530	10	159652351	77	362
16	8	r4.2xlarge	57	369438	9730	5	147655674	13	56
17	2	r4.2xlarge	21	112488	23764	13	100000000	19	3227
18	5	r4.2xlarge	34	243390	16035	5	160121034	8	1574
19	12	r4.2xlarge	96	732000	22956	9	159854140	6	56
20	12	r4.2xlarge	96	732000	13194	5	130258795	16	56
21	8	r4.2xlarge	57	387348	14574	5	203858560	2	288
22	2	r4.2xlarge	8	61000	9730	5	230649992	21	180
23	12	r4.2xlarge	89	646934	15413	9	100000000	1	56
24	8	r4.2xlarge	64	480576	25390	10	169194979	68	56
25	4	r4.2xlarge	35	231198	15257	10	100000000	40	56
26	3	r4.2xlarge	22	177882	27733	5	300000000	28	880
27	8	r4.2xlarge	70	543719	29593	9	231506713	95	1519
28	10	r4.2xlarge	71	565928	21449	8	167475931	1	56
29	10	r4.2xlarge	95	695331	25327	9	181512778	86	56
30	5	r4.2xlarge	32	221447	19042	5	265381927	82	2783
31	5	r4.2xlarge	34	268451	9738	5	117696443	24	56
32	10	r4.2xlarge	76	541979	13188	5	131063559	48	56
33	8	r4.2xlarge	68	497975	12807	8	100000000	61	925
34	7	r4.2xlarge	54	387196	21312	6	194495330	48	210
35	10	r4.2xlarge	83	592232	11258	5	121413226	1	56
36	2	r4.2xlarge	10	78737	9979	5	259609057	1	1829
37	2	r4.2xlarge	19	133383	16009	5	178058468	1	217
38	6	r4.2xlarge	47	395745	23802	10	133499389	52	56
39	12	r4.2xlarge	96	732000	15300	12	100000000	41	280
40	3	r4.2xlarge	22	142714	12599	5	122583022	52	56
41	7	r4.2xlarge	46	378176	23809	6	219274293	36	144
42	10	r4.2xlarge	78	580348	29264	7	255064904	85	525
43	9	r4.2xlarge	67	475035	24307	6	224763072	37	362
44	12	r4.2xlarge	96	732000	15429	8	100000000	16	1993
45	5	r4.2xlarge	34	273145	21935	6	210616498	10	2128
46	5	r4.2xlarge	48	328559	25657	6	239833474	68	56
47	6	r4.2xlarge	34	246471	24988	5	260747420	73	2301
48	12	r4.2xlarge	96	732000	9986	5	136647877	100	56
49	10	r4.2xlarge	79	483816	17594	11	100000000	69	278
50	7	r4.2xlarge	62	450322	23171	8	178027334	38	2213
51	5	r4.2xlarge	36	211990	14114	11	100000000	1	56
52	6	r4.2xlarge	37	269529	20522	6	195449376	54	2057
53	6	r4.2xlarge	46	320690	29593	10	225471753	28	2843
54	11	r4.2xlarge	89	634346	29584	8	238150464	89	553
55	12	r4.2xlarge	96	732000	21228	5	234623449	77	56
56	2	r4.2xlarge	8	61000	10393	5	117045208	3	1124
57	10	r4.2xlarge	77	606991	17864	7	141107202	54	56
58	2	r4.2xlarge	29	179662	24007	10	149806671	69	1091
59	9	r4.2xlarge	66	490752	23836	5	278687678	96	1304
60	12	r4.2xlarge	96	732000	25384	6	237974486	100	798
61	3	r4.2xlarge	25	201337	25643	7	220781092	41	540
62	6	r4.2xlarge	48	326856	10306	5	185236729	3	1169
63	6	r4.2xlarge	50	419717	12171	5	144752391	21	56
64	4	r4.2xlarge	35	200381	26665	10	163938314	56	766
65	4	r4.2xlarge	31	167423	9730	5	100000000	1	250
66	10	r4.2xlarge	79	634789	19265	5	217760776	45	2286
67	6	r4.2xlarge	46	313704	22170	5	226360350	15	56
68	5	r4.2xlarge	39	286918	19908	13	100000000	18	56
69	12	r4.2xlarge	96	732000	26163	15	100000000	49	656
70	9	r4.2xlarge	78	586196	16180	5	203934858	1	56
71	4	r4.2xlarge	29	179897	26388	8	202617928	13	1646
72	6	r4.2xlarge	48	324224	23127	13	100000000	29	56
73	9	r4.2xlarge	67	448002	22638	8	178361529	11	56
74	11	r4.2xlarge	86	644872	18059	7	147416596	29	56
75	7	r4.2xlarge	54	391067	18106	5	216910041	1	843
76	7	r4.2xlarge	55	372292	13540	5	131864047	50	654
77	3	r4.2xlarge	33	320916	25397	15	100000000	68	56
78	5	r4.2xlarge	32	275208	13967	5	151843829	72	56
79	11	r4.2xlarge	89	668384	13168	8	100000000	100	1179
80	6	r4.2xlarge	44	419447	16682	6	149709298	13	56
81	11	r4.2xlarge	80	568014	15646	5	249566148	29	1418
82	12	r4.2xlarge	96	732000	27235	14	100000000	40	56
83	6	r4.xlarge	41	261267	25275	7	226688604	50	56
84	11	r4.2xlarge	91	732000	22478	5	258524686	1	56
85	7	r4.2xlarge	61	475322	13023	5	162500632	29	56
86	9	r4.2xlarge	64	554929	11944	9	100000000	65	56
87	12	r4.2xlarge	96	732000	21126	5	209262419	1	56
88	9	r4.2xlarge	76	614948	23435	7	203122086	68	56
89	6	r4.xlarge	45	362588	28237	11	172656019	50	2432
90	12	r4.2xlarge	95	661891	17011	5	177200206	83	56
91	8	r4.2xlarge	66	542580	29307	10	198493027	73	56
92	5	r4.2xlarge	34	220040	22191	5	223233193	24	1894
93	12	r4.2xlarge	96	732000	26911	10	169005291	87	111
94	9	r4.2xlarge	73	629897	29593	7	300000000	30	1781
95	12	r4.2xlarge	96	732000	18347	7	140255589	33	56
96	6	r4.2xlarge	49	334913	23303	5	300000000	57	2631
97	7	r4.2xlarge	53	333627	21497	5	296617549	49	227
98	12	r4.2xlarge	96	732000	16596	8	111422615	71	56
99	9	r4.2xlarge	76	500010	25376	15	100000000	73	2132
100	11	r4.2xlarge	90	713120	18237	5	182845220	88	178
101	7	r4.2xlarge	52	410966	25735	13	106303188	54	56
102	6	r4.2xlarge	36	234666	15824	5	300000000	28	651
103	7	r4.2xlarge	56	429692	24347	11	136359426	22	481
104	6	r4.2xlarge	49	367273	29593	11	216277028	68	1631
105	4	r4.2xlarge	26	213673	28166	13	128946656	1	1159
106	2	r4.2xlarge	8	87915	21658	8	156913576	1	100
107	6	r4.2xlarge	49	398837	26580	8	217281326	17	1418
108	9	r4.2xlarge	82	520574	20507	5	211325372	75	781
109	3	r4.2xlarge	29	239463	26717	9	198374732	34	802
110	7	r4.2xlarge	54	449691	21565	9	149608733	6	56
111	9	r4.2xlarge	65	530001	16964	8	117185699	41	56
112	12	r4.2xlarge	92	708681	12623	5	266506428	47	183
113	7	r4.2xlarge	53	410491	13428	8	100000000	83	56
114	2	r4.2xlarge	8	61000	23485	10	143861633	21	1695
115	7	r4.2xlarge	61	429732	19920	8	153419965	66	56
116	5	r4.2xlarge	46	331429	27644	5	300000000	67	1211
117	12	r4.2xlarge	96	732000	19120	6	166239507	48	219
118	11	r4.2xlarge	96	727642	18310	5	202661232	57	429
119	12	r4.2xlarge	95	732000	20922	9	137475534	45	56
120	11	r4.2xlarge	82	663422	22909	5	244124153	86	1660
121	8	r4.2xlarge	64	568311	10891	11	100000000	11	56
122	11	r4.2xlarge	78	611751	29593	14	153027322	85	905
123	9	r4.2xlarge	70	461456	26585	5	274825217	1	290
124	7	r4.2xlarge	61	417153	17906	5	196132705	73	953
125	4	r4.2xlarge	28	209598	27417	9	190486433	100	3844
126	5	r4.2xlarge	46	316940	16949	11	100000000	67	56
127	6	r4.2xlarge	43	341842	23324	5	239507280	13	3185
128	5	r4.2xlarge	42	319076	16220	5	194449714	75	1534
129	3	r4.2xlarge	16	143094	29593	15	152854765	58	633
130	10	r4.2xlarge	77	600629	19912	6	184879397	31	56
131	8	r4.2xlarge	65	503439	18599	13	100000000	51	766
132	7	r4.2xlarge	60	425501	15079	6	134681275	100	542
133	7	r4.2xlarge	51	311263	10418	5	151698919	34	56
134	9	r4.2xlarge	82	601204	9730	5	100000000	1	56
135	9	r4.2xlarge	66	574262	27133	12	144926716	1	56
136	3	r4.2xlarge	21	229120	9730	5	134976702	52	1149
137	12	r4.2xlarge	96	732000	16590	5	184226234	35	56
138	12	r4.2xlarge	96	732000	21629	9	134000941	100	1227
139	8	r4.2xlarge	64	481628	26645	14	100000000	25	56
140	9	r4.2xlarge	70	540777	17827	5	221952408	44	56
141	10	r4.2xlarge	75	566213	20486	10	103856166	19	56
142	10	r4.2xlarge	81	602242	27264	7	242953971	100	531
143	8	r4.2xlarge	72	533771	18804	6	170986027	71	888
144	7	r4.2xlarge	56	386687	22485	10	122637513	49	461
145	10	r4.2xlarge	78	595177	23358	9	159435797	48	56
146	6	r4.2xlarge	44	318790	20733	7	172069804	80	56
147	3	r4.2xlarge	32	271435	22121	7	182308694	1	2940
148	7	r4.2xlarge	63	468415	19307	6	177562901	1	56
149	4	r4.2xlarge	32	228218	29593	6	300000000	18	1690
150	8	r4.2xlarge	65	518227	19709	5	201072012	62	316
151	7	r4.2xlarge	53	412547	27848	12	142220896	7	56
152	3	r4.2xlarge	8	61000	29593	9	244013476	34	1125
153	3	r4.xlarge	10	61000	15877	5	228302250	1	937
154	11	r4.2xlarge	96	732000	13523	5	172907547	37	819
155	9	r4.2xlarge	73	488137	28162	7	259918606	1	521
156	7	r4.2xlarge	49	372875	26518	7	228373759	20	444
157	11	r4.2xlarge	92	732000	13854	5	153435372	100	56
158	9	r4.2xlarge	72	538984	20019	8	138624789	11	1937
159	8	r4.2xlarge	61	373039	27305	11	158593864	23	56
160	12	r4.2xlarge	96	685142	22497	7	185123530	10	442
161	4	r4.2xlarge	34	229401	20340	6	196286228	40	700
162	5	r4.2xlarge	33	299552	26491	5	264642161	1	56
163	6	r4.2xlarge	58	504946	21217	8	148200446	1	56
164	2	r4.2xlarge	20	137474	21901	8	165578193	83	1601
165	12	r4.2xlarge	95	668463	29593	9	229299112	69	1325
166	6	m4.2xlarge	45	314899	12438	9	100000000	1	56
167	2	r4.2xlarge	14	152354	22171	10	117684376	1	56
168	3	r4.2xlarge	23	218599	22022	5	289762861	12	420
169	10	r4.2xlarge	75	565644	14624	5	174990501	1	56
170	10	r4.2xlarge	74	577234	18849	8	141861139	17	740
171	12	r4.2xlarge	96	732000	28913	11	170203824	28	56
172	4	r4.2xlarge	23	162464	14596	5	217266417	31	56
173	8	r4.2xlarge	59	393551	19561	5	300000000	12	56
174	7	r4.2xlarge	56	442357	13167	6	114163103	52	511
175	8	r4.2xlarge	52	418548	9730	5	198038916	2	904
176	2	r4.2xlarge	27	184036	27820	11	169722566	1	56
177	2	r4.2xlarge	8	61000	27289	8	224108676	58	1423
178	10	r4.2xlarge	79	650944	12427	5	202517779	20	1794
179	5	r4.2xlarge	33	240693	13552	5	215511036	57	2095
180	8	r4.2xlarge	59	493889	25170	10	154211722	53	889
181	10	r4.2xlarge	77	659232	27783	8	230445880	73	56
182	10	r4.2xlarge	79	598136	20940	8	149521625	91	595
183	5	r4.2xlarge	36	289038	15788	5	215274868	47	56
184	6	r4.2xlarge	39	236367	25361	6	239632090	1	3985
185	9	r4.2xlarge	74	532825	20468	6	190477580	91	56
186	4	r4.2xlarge	34	264717	20059	5	262826147	41	1650
187	12	r4.2xlarge	96	732000	9730	5	124011116	31	56
188	12	r4.2xlarge	96	732000	10627	5	196245184	31	56
189	10	r4.2xlarge	74	531518	26976	6	256690405	25	169
190	3	r4.2xlarge	20	95781	26676	10	168285031	25	1867
191	8	r4.2xlarge	61	441143	9730	5	133504963	12	608
192	2	r4.2xlarge	15	153034	21209	5	282805661	1	2243
193	8	r4.2xlarge	56	357946	23163	7	198390684	5	606
194	4	r4.2xlarge	20	131200	28507	6	278149646	39	765
195	12	r4.2xlarge	96	732000	22761	11	102478967	17	56
196	7	r4.2xlarge	45	349135	13223	5	151278261	58	423
197	11	r4.2xlarge	77	570469	24813	10	163654675	5	192
198	7	r4.2xlarge	58	421346	20825	6	188639181	29	781
199	6	m4.2xlarge	50	272587	17871	6	162481619	1	56
