	instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	gross_runtime
0	12	c4.2xlarge	80	265004	13740	105	108916188	100
1	2	m4.2xlarge	88	532531	17860	105	199999668	230
2	7	c4.2xlarge	96	99238	19239	105	90368124	162
3	12	m4.2xlarge	96	674610	9530	105	169857889	97
4	12	m4.2xlarge	19	94257	9530	105	200000000	154
5	2	m4.2xlarge	96	43411	9646	105	143741728	97
6	2	m4.2xlarge	19	34121	12681	105	200000000	402
7	12	r4.2xlarge	17	518055	19149	105	175369678	122
8	12	m4.2xlarge	57	54238	18955	105	199999103	104
9	11	m4.2xlarge	63	466572	9530	105	184868499	114
10	11	c4.2xlarge	91	520646	9690	1000	193107384	240
11	11	c4.2xlarge	17	390627	13126	105	161382796	95
12	6	c4.2xlarge	18	213706	9530	105	93388858	170
13	10	m4.2xlarge	17	94535	14240	105	200000000	155
14	6	m4.2xlarge	48	30000	19021	1000	143028051	331
15	2	m4.2xlarge	95	115055	9530	105	185613588	186
16	10	r4.2xlarge	17	547455	9530	105	177880503	661
17	3	c4.2xlarge	17	242289	10284	105	10843454	125
18	2	m4.2xlarge	23	322711	9712	105	163419611	83
19	11	m4.2xlarge	27	276190	9530	105	195556348	113
20	2	m4.2xlarge	17	502658	9944	105	195247237	310
21	2	c4.2xlarge	93	541998	9530	105	189495804	98
22	2	m4.2xlarge	61	606432	9530	105	200000000	181
23	11	m4.2xlarge	77	181419	10824	105	40682670	337
24	9	r4.2xlarge	94	263730	19105	105	151065784	454
25	2	m4.2xlarge	82	435056	9814	105	199999995	93
26	5	m4.2xlarge	76	152827	18672	105	200000000	274
27	3	c4.2xlarge	89	588797	9530	105	188513396	80
28	7	c4.2xlarge	86	687720	12464	105	88786173	90
29	7	r4.2xlarge	17	30043	9530	105	140310314	196
30	11	m4.2xlarge	75	249996	9530	105	170595227	307
31	12	m4.2xlarge	55	686293	9530	105	47583413	225
32	8	c4.2xlarge	17	417536	9530	105	200000000	110
33	9	c4.2xlarge	31	679820	17282	105	11775477	111
34	7	r4.2xlarge	95	631258	10738	105	199999999	163
35	5	m4.2xlarge	96	230912	9530	105	192810671	99
36	2	c4.2xlarge	86	268148	9530	105	200000000	125
37	11	c4.2xlarge	17	149341	9530	105	156831737	132
38	9	c4.2xlarge	17	349940	9530	105	60253602	83
39	4	r4.2xlarge	17	140165	15284	105	190471489	103
40	10	m4.2xlarge	79	448714	19152	105	174480569	269
41	4	c4.2xlarge	87	296060	9530	105	10606743	145
42	8	r4.2xlarge	96	612096	10026	105	194278749	309
43	9	r4.2xlarge	17	407449	13491	105	117391327	94
44	2	m4.2xlarge	93	307280	10648	105	11461556	344
45	12	m4.2xlarge	17	106344	18315	105	80537884	72
46	12	m4.2xlarge	96	560727	16305	105	199999989	390
47	9	r4.2xlarge	89	615653	19260	105	192049921	95
48	2	m4.2xlarge	93	538431	18163	105	78164399	174
49	3	r4.2xlarge	17	676154	14896	105	186653395	101
50	7	r4.2xlarge	94	424601	18405	105	10846371	132
51	4	c4.2xlarge	96	643836	19260	105	175579477	134
52	6	c4.2xlarge	17	668529	9530	105	200000000	115
53	6	c4.2xlarge	91	580269	19067	105	200000000	105
54	12	m4.2xlarge	22	210208	19260	105	199999996	88
55	9	m4.2xlarge	84	294032	10110	105	200000000	122
56	12	r4.2xlarge	95	667681	9530	105	54976046	117
57	12	m4.2xlarge	91	604513	19260	105	200000000	90
58	10	m4.2xlarge	96	453453	14459	105	68316620	160
59	10	m4.2xlarge	84	358203	9530	105	145050649	200
60	11	m4.2xlarge	17	636796	9530	105	99537120	178
61	12	m4.2xlarge	89	712190	16211	105	137216375	94
62	11	m4.2xlarge	96	446440	18868	105	199996979	106
63	11	m4.2xlarge	96	627632	19045	105	139372122	270
64	2	r4.2xlarge	91	646214	18958	105	84299163	135
65	12	m4.2xlarge	47	154221	13426	105	147942537	122
66	12	m4.2xlarge	96	30000	9530	105	18955960	270
67	11	m4.2xlarge	39	488536	9530	105	200000000	165
68	9	m4.2xlarge	92	62236	9530	105	167172613	186
69	11	m4.2xlarge	92	358822	9530	105	156673711	91
70	11	m4.2xlarge	17	30622	12134	105	195484457	74
71	4	m4.2xlarge	96	50661	15892	105	186797145	85
72	10	m4.2xlarge	59	660902	18551	105	70120524	78
73	9	r4.2xlarge	75	548475	9530	105	176179039	176
74	11	m4.2xlarge	71	706200	19260	105	187999181	258
75	12	c4.2xlarge	82	527614	17839	105	10664621	104
76	11	m4.2xlarge	86	732000	9530	105	69331258	200
77	2	c4.2xlarge	96	383551	19051	105	172919012	77
78	12	m4.2xlarge	88	113803	19260	105	200000000	119
79	9	c4.2xlarge	96	626146	9530	105	147055450	99
80	4	c4.2xlarge	96	265486	9530	105	10605670	88
81	12	m4.2xlarge	24	153974	9530	105	10601679	250
82	6	c4.2xlarge	19	136213	9530	105	71301334	90
83	2	m4.2xlarge	96	589956	9863	105	194413788	108
84	3	c4.2xlarge	17	630103	19008	105	68325312	78
85	7	c4.2xlarge	17	693880	12435	105	102620159	163
86	11	m4.2xlarge	17	281627	9530	105	183877349	134
87	12	r4.2xlarge	96	732000	18969	105	85803712	173
88	2	r4.2xlarge	65	727324	17911	105	150672974	238
89	5	m4.2xlarge	17	267065	9530	105	148560452	102
90	10	c4.2xlarge	96	732000	19260	105	122991191	127
91	12	r4.2xlarge	96	213112	13789	105	179628657	286
92	2	m4.2xlarge	69	68288	18410	105	160908404	86
93	7	c4.2xlarge	85	479873	9615	105	176760098	157
94	12	m4.2xlarge	17	732000	18432	105	12781398	76
95	12	r4.2xlarge	30	732000	19260	105	199999974	97
96	9	r4.2xlarge	17	599194	18951	105	93924048	316
97	9	m4.2xlarge	96	672997	18551	105	12603074	120
98	11	m4.2xlarge	72	732000	9530	105	10625896	112
99	2	m4.2xlarge	17	248469	16211	105	200000000	138
100	2	m4.2xlarge	96	110425	9530	105	200000000	105
101	8	c4.2xlarge	22	371970	9530	105	200000000	80
102	12	c4.2xlarge	91	484779	9530	105	200000000	87
103	8	r4.2xlarge	93	660717	19260	105	12864336	215
104	8	r4.2xlarge	95	584978	10590	105	199999998	135
105	7	r4.2xlarge	19	171242	9530	105	42851297	127
106	3	c4.2xlarge	17	323155	9530	105	174367289	81
