	instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	gross_runtime
0	11	m4.2xlarge	91	585184	13241	105	159869209	137
1	7	m4.2xlarge	53	192405	16663	105	196312431	378
2	9	m4.2xlarge	72	185141	10906	105	100450499	136
3	11	r4.2xlarge	92	709711	9897	1000	115078997	77
4	10	c4.2xlarge	83	108044	9602	1000	104634066	159
5	5	m4.2xlarge	36	90550	9564	1000	95851994	253
6	6	c4.2xlarge	46	123048	14944	105	170603490	234
7	3	r4.2xlarge	25	181561	13863	105	157422605	478
8	3	m4.2xlarge	22	40903	15177	105	161127954	372
9	3	r4.2xlarge	22	265993	17448	105	193159483	215
10	12	m4.2xlarge	95	345360	11472	105	109231782	103
11	8	r4.2xlarge	63	249119	9920	1000	135241178	162
12	5	r4.2xlarge	43	141726	13360	105	118645361	254
13	10	m4.2xlarge	78	404154	18783	105	181572147	259
14	12	m4.2xlarge	93	554331	11889	105	102871356	155
15	8	r4.2xlarge	63	276776	9712	105	48594471	327
16	12	m4.2xlarge	96	502016	19217	105	197056415	173
17	8	c4.2xlarge	65	135418	17962	105	199019972	230
18	11	c4.2xlarge	89	126081	12425	105	181441693	233
19	12	r4.2xlarge	93	683978	17547	105	188237908	108
20	8	r4.2xlarge	66	637976	9552	1000	51516647	111
21	9	m4.2xlarge	70	296040	16767	105	150469318	128
22	4	m4.2xlarge	30	460773	12758	105	183572858	242
23	4	c4.2xlarge	36	116185	12917	105	174919369	301
24	2	m4.2xlarge	20	31300	15883	105	174062081	346
25	12	r4.2xlarge	95	732000	9753	105	80404851	73
26	3	r4.2xlarge	21	55101	13893	105	168894226	318
27	8	r4.2xlarge	64	331425	12298	105	163374192	122
28	6	r4.2xlarge	49	485601	13317	105	166880281	139
29	8	r4.2xlarge	66	571988	15832	105	139374279	94
30	6	r4.2xlarge	45	466700	15787	105	172962425	235
31	11	m4.2xlarge	86	523939	19074	105	198995514	198
32	8	c4.2xlarge	60	112787	14956	105	194952086	278
33	11	c4.2xlarge	87	531451	11027	1000	166313092	104
34	10	c4.2xlarge	82	192096	10140	1000	121760236	192
35	3	c4.2xlarge	23	40341	10312	1000	135446937	344
36	11	c4.2xlarge	91	375246	12161	105	174199724	127
37	4	m4.2xlarge	29	176221	13561	105	156123865	194
