	instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	gross_runtime
0	10	r4.2xlarge	80	123653	9720	100	113534707	151
1	6	r4.2xlarge	48	253581	11702	100	112029285	145
2	2	r4.2xlarge	16	96096	19175	100	198446902	299
3	6	r4.2xlarge	48	138252	19189	101	190777957	140
4	6	m4.2xlarge	48	78079	19041	101	193049674	220
5	8	m4.2xlarge	64	157827	13451	100	137025485	161
6	6	c4.2xlarge	48	82526	13573	101	160129015	120
7	4	r4.2xlarge	32	110539	9583	101	106240951	178
8	6	c4.2xlarge	48	98757	19018	101	182220500	133
9	6	r4.2xlarge	48	185773	11637	100	98617081	170
10	8	r4.2xlarge	64	177137	19043	100	175263718	205
11	8	m4.2xlarge	64	247187	13448	100	118854579	146
12	8	r4.2xlarge	64	160467	11592	100	151150928	182
13	6	c4.2xlarge	48	137823	15573	100	188802862	132
14	6	r4.2xlarge	48	131184	9627	100	110729359	112
15	8	m4.2xlarge	48	102078	17292	100	193223338	196
16	6	m4.2xlarge	48	141170	19260	100	172620985	189
17	6	m4.2xlarge	48	79544	9558	100	128628958	180
18	4	m4.2xlarge	32	103720	13436	100	148878513	260
19	6	r4.2xlarge	48	37722	11570	100	105972072	141
20	4	m4.2xlarge	32	118814	13496	100	119591556	133
21	4	m4.2xlarge	32	30000	13304	101	136377748	227
22	8	m4.2xlarge	64	143195	9647	100	129977500	216
23	6	m4.2xlarge	48	155722	19260	100	189045429	238
24	8	m4.2xlarge	64	72352	15436	100	186474912	187
25	10	r4.2xlarge	80	371898	9530	101	95589888	145
26	8	m4.2xlarge	64	42250	13634	100	156321342	119
27	8	r4.2xlarge	64	155674	15478	100	192759253	122
28	10	r4.2xlarge	80	139649	11464	101	151390812	147
29	8	m4.2xlarge	64	30000	15447	100	138309953	189
30	4	m4.2xlarge	32	154043	15343	100	145774719	319
31	4	r4.2xlarge	32	64939	9579	100	105509008	189
32	12	r4.2xlarge	96	381104	11492	100	150490175	121
33	6	r4.2xlarge	48	110006	9727	101	120870048	88
34	8	m4.2xlarge	64	47045	15533	100	193122743	146
35	6	c4.2xlarge	48	62457	19260	100	193513417	200
36	4	m4.2xlarge	32	30000	13563	100	135342941	168
37	4	c4.2xlarge	32	89347	15341	100	136169730	265
38	12	r4.2xlarge	96	549753	9581	100	101637710	147
39	8	r4.2xlarge	64	116735	9671	101	104188343	97
40	12	r4.2xlarge	80	202143	19069	100	186663723	143
41	8	m4.2xlarge	64	94594	15420	100	179397580	115
42	6	m4.2xlarge	48	162193	13557	100	131551071	76
43	6	c4.2xlarge	48	104726	19151	101	181078313	317
44	6	c4.2xlarge	48	144248	17369	100	195795541	193
45	6	m4.2xlarge	48	30000	17234	100	164984642	90
46	8	m4.2xlarge	64	141438	13469	100	141240742	148
47	6	r4.2xlarge	48	86449	13578	100	145446185	201
48	10	r4.2xlarge	80	43876	9599	101	104913193	80
49	6	m4.2xlarge	48	106163	15510	100	173330288	124
50	8	c4.2xlarge	64	128474	19214	101	200000000	230
51	10	r4.2xlarge	80	293226	9610	101	94611848	108
52	8	m4.2xlarge	64	131982	13489	100	107769919	212
53	8	m4.2xlarge	64	73583	15358	101	109082368	218
54	4	r4.2xlarge	48	142562	9530	102	107226346	166
55	8	r4.2xlarge	64	197422	17272	100	184831973	155
56	10	m4.2xlarge	80	319034	19260	100	188865959	163
57	8	m4.2xlarge	64	87114	15362	100	174520343	138
58	6	m4.2xlarge	48	86123	13469	100	145672866	172
59	4	c4.2xlarge	32	81486	13501	101	152319596	181
60	6	r4.2xlarge	48	265790	9718	100	97983527	117
61	6	c4.2xlarge	48	64744	18967	101	200000000	255
62	12	r4.2xlarge	96	225225	19199	100	188401577	256
63	6	r4.2xlarge	48	153404	17230	100	181538959	162
64	8	m4.2xlarge	48	30000	19130	101	195435633	222
65	8	r4.2xlarge	64	66739	9688	100	99538736	127
66	2	c4.2xlarge	32	70582	17199	100	190287914	417
67	4	r4.2xlarge	48	112867	9629	100	108154353	165
68	6	r4.2xlarge	48	141976	9551	100	113798895	135
69	6	m4.2xlarge	48	85682	9617	101	132415925	136
70	4	m4.2xlarge	32	83492	13474	100	134017124	198
71	4	r4.2xlarge	32	116747	9558	100	95462386	151
72	6	r4.2xlarge	48	53857	9571	101	114840305	174
73	4	m4.2xlarge	32	140431	13513	100	132433044	135
74	6	r4.2xlarge	48	97779	9664	100	100766349	170
75	4	m4.2xlarge	32	136494	15412	100	149590322	260
76	6	m4.2xlarge	48	139431	9530	999	10433649	178
77	8	c4.2xlarge	64	152787	18972	100	200000000	283
78	6	m4.2xlarge	64	97012	19260	100	200000000	199
79	6	c4.2xlarge	48	186265	13509	100	136731151	131
80	8	m4.2xlarge	64	136932	17351	100	177940643	314
81	6	c4.2xlarge	48	71341	13553	100	125183911	104
82	6	r4.2xlarge	48	172429	9577	100	111810991	142
83	4	c4.2xlarge	32	80388	15452	101	126730243	225
84	4	r4.2xlarge	32	96574	11602	100	131617686	139
85	6	r4.2xlarge	48	132224	11616	101	123433351	128
86	6	r4.2xlarge	48	74738	13441	100	148292326	125
87	8	r4.2xlarge	64	71544	9572	100	117445105	131
88	6	r4.2xlarge	48	180974	19083	100	175050588	137
89	6	r4.2xlarge	48	99527	13535	100	129416967	152
90	6	m4.2xlarge	48	49530	9569	100	164441543	126
91	4	r4.2xlarge	32	93747	9530	995	10000000	148
92	12	r4.2xlarge	96	563050	9530	101	108242129	145
93	6	r4.2xlarge	48	98557	19170	101	200000000	182
94	8	m4.2xlarge	64	407637	13636	100	129526088	120
95	8	m4.2xlarge	64	37626	13577	100	142050403	164
96	6	r4.2xlarge	48	66304	18970	101	200000000	311
97	8	r4.2xlarge	64	113054	9659	100	96068532	160
98	4	r4.2xlarge	32	70229	19011	100	140369815	357
99	6	r4.2xlarge	48	97097	9772	100	106959316	143
100	8	c4.2xlarge	64	77326	17268	100	200000000	220
101	2	m4.2xlarge	32	58956	17199	100	152877164	365
102	6	r4.2xlarge	48	88250	9594	996	10000000	132
103	6	m4.2xlarge	48	93772	17385	100	195593271	255
104	8	r4.2xlarge	64	212172	9530	100	110452351	167
105	4	m4.2xlarge	32	144158	18979	100	200000000	279
106	8	r4.2xlarge	64	48495	13512	100	125818034	154
107	4	r4.2xlarge	16	106572	9530	996	11782965	166
108	12	r4.2xlarge	96	732000	15343	100	172931735	140
109	8	r4.2xlarge	64	146033	11681	100	145958537	139
110	6	m4.2xlarge	48	185593	9650	101	151695670	161
111	8	m4.2xlarge	48	165128	17193	101	200000000	226
112	10	r4.2xlarge	96	62045	19237	100	190788376	176
113	12	r4.2xlarge	96	556217	9563	100	95939253	124
114	6	r4.2xlarge	48	137057	9530	995	10000000	144
