instance_count,machine_type,slots,memory,data_size_MB,features,observations,k,gross_runtime
6,r4.2xlarge,48,391280.0,16000,5,150000000,3,297.0
10,r4.2xlarge,80,623229.0,16000,5,150000000,3,207.0
8,m4.2xlarge,64,242860.0,16000,5,150000000,7,157.0
2,r4.xlarge,16,69687.0,8000,5,150000000,3,1155.0
4,r4.2xlarge,32,245903.0,13200,5,125000000,5,455.0
10,r4.2xlarge,80,611386.0,16000,5,150000000,5,150.0
8,r4.2xlarge,64,489896.0,13200,5,125000000,5,297.0
4,r4.2xlarge,32,238926.0,21300,5,200000000,7,536.0
2,r4.2xlarge,16,110540.0,21300,5,200000000,9,4291.0
4,r4.2xlarge,32,248322.0,30500,15,100000000,3,518.0
