instance_count,machine_type,slots,memory,data_size_MB,features,observations,k,gross_runtime
6,r4.2xlarge,96,391280.0,16000,5,100000000,7,751.0
8,r4.2xlarge,24,421929.0,18600,5,100000000,7,723.0
8,r4.2xlarge,32,544810.0,13200,5,175000000,7,1160.0
6,r4.2xlarge,16,606487.0,18600,5,175000000,7,261.0
6,r4.2xlarge,40,547853.0,10500,5,100000000,3,136.0
8,r4.xlarge,16,175236.0,18600,5,100000000,7,663.0
6,r4.2xlarge,32,556996.0,13200,5,100000000,5,189.0
8,r4.2xlarge,16,104726.0,18600,5,100000000,7,306.0
8,r4.2xlarge,16,244740.0,18600,5,175000000,5,1025.0
4,r4.xlarge,16,416072.0,18600,5,175000000,7,1024.0
8,r4.2xlarge,16,192117.0,16000,5,100000000,7,241.0
6,r4.2xlarge,16,413432.0,16000,5,175000000,5,575.0
8,r4.2xlarge,16,338856.0,18600,5,175000000,7,119.0
8,r4.2xlarge,8,388307.0,18600,5,175000000,3,653.0
2,r4.2xlarge,8,350146.0,18600,5,100000000,7,1164.0
2,r4.2xlarge,16,102954.0,18600,5,175000000,5,675.0
2,r4.2xlarge,24,427022.0,16000,5,175000000,3,932.0
8,r4.2xlarge,64,664322.0,18600,5,100000000,7,599.0
8,r4.2xlarge,24,423683.0,18600,5,175000000,5,604.0
8,r4.2xlarge,96,326118.0,16000,15,100000000,7,636.0
8,r4.2xlarge,8,641755.0,18600,5,175000000,5,315.0
8,r4.2xlarge,16,387436.0,18600,5,100000000,7,254.0
6,r4.2xlarge,16,460206.0,18600,5,100000000,7,1644.0
8,r4.xlarge,32,419448.0,18600,5,175000000,3,1106.0
2,r4.2xlarge,96,613640.0,18600,5,100000000,7,3787.0
8,r4.2xlarge,16,601179.0,16000,5,100000000,7,315.0
2,r4.2xlarge,16,176216.0,18600,5,100000000,3,136.0
8,r4.2xlarge,8,182145.0,18600,5,175000000,7,3615.0
6,r4.xlarge,96,561332.0,16000,5,175000000,7,717.0
6,r4.2xlarge,16,630230.0,18600,5,175000000,7,952.0
2,r4.2xlarge,32,412504.0,18600,5,100000000,5,708.0
8,r4.2xlarge,96,459081.0,18600,5,100000000,7,129.0
6,r4.xlarge,8,103290.0,16000,5,100000000,3,1134.0
8,r4.xlarge,16,255759.0,16000,5,100000000,5,300.0
2,r4.2xlarge,96,180059.0,13200,5,100000000,7,666.0
8,r4.2xlarge,96,396971.0,18600,5,100000000,5,621.0
8,r4.2xlarge,96,252896.0,18600,5,175000000,5,306.0
8,r4.2xlarge,32,107931.0,16000,5,175000000,5,1112.0
8,r4.2xlarge,96,323524.0,13200,5,175000000,7,1524.0
8,r4.2xlarge,16,418917.0,10500,5,100000000,7,3578.0
4,r4.2xlarge,40,396538.0,18600,5,175000000,3,273.0
6,r4.2xlarge,8,345960.0,16000,5,100000000,7,145.0
8,r4.2xlarge,16,626908.0,16000,5,100000000,3,1436.0
2,r4.2xlarge,64,304033.0,10500,5,175000000,3,212.0
8,r4.2xlarge,16,239661.0,13200,5,100000000,3,304.0
8,r4.2xlarge,96,425704.0,18600,15,100000000,7,692.0
2,r4.2xlarge,64,402910.0,16000,5,100000000,7,1127.0
2,r4.2xlarge,16,381990.0,18600,5,175000000,7,234.0
4,r4.2xlarge,96,169656.0,13200,5,100000000,5,205.0
4,r4.xlarge,8,428961.0,16000,5,100000000,5,257.0
8,r4.2xlarge,96,255697.0,18600,5,100000000,3,596.0
6,r4.2xlarge,8,377979.0,18600,5,175000000,7,739.0
8,r4.2xlarge,96,466299.0,16000,5,175000000,5,1494.0
2,r4.2xlarge,16,608538.0,18600,5,100000000,5,1197.0
2,r4.2xlarge,96,480641.0,10500,5,175000000,3,1193.0
2,r4.2xlarge,8,394247.0,18600,5,175000000,5,558.0
8,r4.2xlarge,16,400159.0,18600,5,100000000,7,194.0
2,r4.2xlarge,64,482095.0,13200,5,175000000,3,260.0
6,r4.2xlarge,32,386655.0,18600,5,100000000,7,194.0
2,r4.2xlarge,16,381317.0,18600,5,100000000,7,208.0
2,r4.2xlarge,16,188975.0,18600,5,175000000,7,274.0
2,r4.2xlarge,16,481727.0,18600,5,100000000,5,251.0
8,r4.2xlarge,32,630137.0,18600,15,100000000,7,754.0
2,r4.2xlarge,64,349637.0,16000,5,100000000,7,577.0
2,r4.2xlarge,96,550415.0,18600,5,100000000,7,300.0
