instance_count,machine_type,slots,memory,data_size_MB,line_length,lines,gross_runtime
8,m4.2xlarge,48,410639.0,9630,100,140000000,467.0
10,c4.2xlarge,48,477804.0,15408,100,160000000,462.0
8,m4.2xlarge,48,465962.0,9630,100,160000000,659.0
8,r4.2xlarge,32,495388.0,11556,100,160000000,777.0
4,c4.2xlarge,48,469146.0,9530,100,100000000,79.0
8,r4.2xlarge,32,289913.0,11556,100,100000000,848.0
4,m4.2xlarge,48,513811.0,9630,100,100000000,208.0
12,c4.2xlarge,16,40646.0,15408,100,100000000,229.0
12,c4.2xlarge,16,292429.0,15408,100,160000000,198.0
4,r4.2xlarge,32,471677.0,19260,100,160000000,754.0
10,m4.2xlarge,32,61875.0,9630,1000,160000000,654.0
8,c4.2xlarge,32,468915.0,9630,100,180000000,158.0
8,m4.2xlarge,16,285593.0,17334,100,180000000,195.0
12,m4.2xlarge,16,407529.0,15408,100,180000000,92.0
4,c4.2xlarge,16,332505.0,15408,100,140000000,659.0
4,m4.2xlarge,32,38793.0,15408,100,180000000,175.0
2,m4.2xlarge,48,412932.0,9630,100,160000000,142.0
12,c4.2xlarge,48,626096.0,15408,100,140000000,599.0
10,m4.2xlarge,48,479639.0,15408,100,180000000,163.0
12,r4.2xlarge,80,307366.0,9630,1000,10000000,446.0
12,c4.2xlarge,16,602486.0,15408,100,160000000,191.0
12,m4.2xlarge,16,406617.0,17334,100,160000000,656.0
8,r4.2xlarge,32,482749.0,15408,100,100000000,864.0
10,r4.2xlarge,48,475208.0,15408,100,180000000,173.0
4,r4.2xlarge,80,608172.0,15408,100,140000000,769.0
8,r4.2xlarge,32,595135.0,9630,100,140000000,469.0
4,m4.2xlarge,32,290939.0,19260,100,160000000,119.0
12,c4.2xlarge,16,51442.0,13482,100,160000000,460.0
8,r4.2xlarge,48,483247.0,9630,100,160000000,461.0
4,c4.2xlarge,32,625528.0,15408,100,160000000,780.0
4,m4.2xlarge,48,397743.0,15408,100,140000000,221.0
10,c4.2xlarge,80,481572.0,11556,100,140000000,634.0
8,r4.2xlarge,16,39143.0,9630,100,160000000,178.0
8,r4.2xlarge,16,303956.0,9630,100,140000000,228.0
2,r4.2xlarge,48,294959.0,9630,100,140000000,452.0
8,m4.2xlarge,48,451693.0,15408,100,160000000,166.0
8,c4.2xlarge,48,300962.0,15408,100,160000000,189.0
8,c4.2xlarge,48,43999.0,9630,100,180000000,174.0
12,c4.2xlarge,80,304652.0,9530,100,160000000,644.0
8,m4.2xlarge,32,474652.0,9530,100,160000000,851.0
4,c4.2xlarge,48,451240.0,15408,100,160000000,183.0
4,m4.2xlarge,16,363225.0,9630,100,140000000,438.0
8,r4.2xlarge,32,516753.0,9630,100,160000000,152.0
4,r4.2xlarge,48,284261.0,9530,100,180000000,133.0
8,c4.2xlarge,32,287115.0,9630,100,140000000,149.0
8,m4.2xlarge,80,481754.0,15408,1000,100000000,258.0
4,r4.2xlarge,48,387706.0,9630,100,160000000,256.0
4,r4.2xlarge,32,400920.0,17334,100,160000000,613.0
4,m4.2xlarge,48,284075.0,9630,100,100000000,211.0
4,r4.2xlarge,16,414961.0,9630,100,100000000,180.0
8,c4.2xlarge,80,303892.0,15408,100,140000000,122.0
4,c4.2xlarge,16,396724.0,13482,100,180000000,465.0
12,m4.2xlarge,80,454024.0,9630,100,160000000,162.0
4,c4.2xlarge,32,602834.0,15408,100,140000000,229.0
4,r4.2xlarge,48,469029.0,9530,100,160000000,109.0
4,c4.2xlarge,16,413742.0,15408,100,160000000,154.0
8,m4.2xlarge,32,455028.0,15408,100,160000000,606.0
4,r4.2xlarge,48,470549.0,9630,100,160000000,181.0
8,r4.2xlarge,48,405800.0,15408,1000,10000000,606.0
4,m4.2xlarge,16,365115.0,17334,100,120000000,767.0
4,r4.2xlarge,32,269188.0,15408,100,180000000,779.0
4,m4.2xlarge,32,470164.0,15408,100,160000000,179.0
8,c4.2xlarge,48,520131.0,15408,1000,100000000,467.0
