	instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	p_occurrence	gross_runtime
0	4	c4.2xlarge	87	103165	15568	100	150146603	0.5	51
1	12	r4.2xlarge	72	268696	14949	100	100000000	0.47	51
2	6	r4.2xlarge	86	283473	15915	100	152788489	0.76	109
3	10	c4.2xlarge	55	145770	17660	100	151778775	0.55	57
4	10	c4.2xlarge	96	134999	15460	100	150519677	0.84	278
5	4	r4.2xlarge	16	400802	14967	100	151245226	0.51	256
6	2	r4.2xlarge	17	86068	12759	100	152130705	0.47	160
7	8	m4.2xlarge	85	160601	15113	100	101401892	0.54	133
8	2	m4.2xlarge	16	435669	15679	100	126904105	0.51	65
9	6	m4.2xlarge	85	68049	15407	100	130883363	0.7	94
10	12	m4.2xlarge	71	118417	17550	100	105811582	0.5	232
11	3	m4.2xlarge	80	48995	15835	100	100000000	0.53	40
12	9	c4.2xlarge	69	100691	15177	100	147821876	0.51	99
13	8	c4.2xlarge	25	274928	15203	100	102794267	0.2	154
14	4	c4.2xlarge	66	91984	15548	100	101883695	0.46	112
15	5	c4.2xlarge	64	220353	15101	100	199624119	0.51	51
16	12	c4.2xlarge	96	75777	15797	100	145589997	0.55	48
17	5	c4.2xlarge	67	722900	15044	100	120649279	0.51	104
18	2	m4.2xlarge	37	279108	15153	100	155382306	0.08	82
19	2	r4.2xlarge	38	226996	11606	100	151127349	0.49	76
20	10	m4.2xlarge	96	272175	10500	100	149328815	0.52	113
21	6	c4.2xlarge	50	88360	18172	100	150377316	0.51	55
22	3	c4.2xlarge	70	350350	15356	100	122740925	0.5	169
23	12	r4.2xlarge	17	98464	15686	100	145086129	0.48	195
24	10	r4.2xlarge	89	337211	15447	100	175614453	0.0	66
25	11	m4.2xlarge	67	410918	14881	100	143981817	0.91	221
26	8	c4.2xlarge	70	340325	15538	100	154833366	0.2	66
27	8	m4.2xlarge	96	283226	15129	100	150022717	0.11	40
28	8	c4.2xlarge	18	138601	15522	100	115935356	0.0	154
29	8	c4.2xlarge	86	268722	15385	100	143106040	0.82	127
30	12	m4.2xlarge	83	216526	10488	100	143957448	0.5	247
31	5	m4.2xlarge	20	356195	20200	100	146031888	0.0	40
32	9	m4.2xlarge	96	92507	10100	100	147145649	0.69	67
33	2	r4.2xlarge	71	445959	15521	100	151467861	0.49	146
34	2	m4.2xlarge	96	65189	14809	100	144953742	0.13	40
35	6	c4.2xlarge	65	149648	15253	100	151383285	0.75	168
36	3	m4.2xlarge	49	358975	13154	100	146948698	0.57	242
37	2	m4.2xlarge	66	132225	13312	100	149684639	0.52	90
38	2	m4.2xlarge	20	732000	15520	100	148087067	0.48	179
39	10	m4.2xlarge	16	732000	15881	100	146386079	0.47	103
40	3	r4.2xlarge	67	397817	15610	100	148350096	0.53	217
41	2	c4.2xlarge	49	400013	14619	100	170808768	0.0	148
