	instance_count	machine_type	slots	memory	data_size_MB	features	observations	k	gross_runtime
0	5	r4.2xlarge	81	250160	22216	10	142035535	3	118
1	12	r4.xlarge	44	198581	15258	5	101342375	3	140
2	6	r4.xlarge	84	223074	21613	5	193881599	3	3877
3	9	r4.2xlarge	91	392170	16575	5	142812549	3	410
4	11	r4.xlarge	82	732000	8000	5	147230571	3	198
5	10	m4.2xlarge	18	732000	16826	10	144842336	7	376
6	10	m4.2xlarge	53	230501	11327	5	150078401	3	94
7	8	r4.xlarge	72	390719	16947	5	147588374	3	263
8	3	m4.2xlarge	51	208487	15481	9	148813618	3	253
9	5	r4.2xlarge	76	706766	17247	9	132082489	3	1129
10	12	r4.2xlarge	48	96217	16530	14	151710162	7	94
11	5	r4.2xlarge	75	147770	16574	5	149041527	3	280
12	10	r4.2xlarge	47	173230	17235	5	144922546	3	153
13	8	r4.2xlarge	8	67693	16456	5	149634351	3	183
14	4	r4.xlarge	47	370228	16803	5	122556562	3	3505
15	7	m4.2xlarge	42	100898	20740	5	157311564	3	118
16	12	m4.2xlarge	65	291003	8000	5	103897405	3	94
17	6	m4.2xlarge	51	215349	15211	5	151402547	7	94
18	10	r4.xlarge	31	81172	15068	5	150450153	3	129
19	11	m4.2xlarge	36	61000	11330	5	178184294	3	358
20	9	r4.2xlarge	90	131294	19166	10	142944842	3	341
21	6	r4.xlarge	86	131033	15897	5	154990994	3	94
22	8	r4.2xlarge	96	61000	15700	5	145775028	3	1061
23	12	m4.2xlarge	32	127156	10469	5	196454469	3	94
24	11	m4.2xlarge	28	661473	30124	5	150424887	3	133
25	10	m4.2xlarge	10	234451	16167	5	102695310	3	94
26	10	m4.2xlarge	48	119634	15117	9	179487573	3	111
27	11	r4.xlarge	59	192233	15643	5	143058348	3	143
28	9	r4.2xlarge	66	556602	16525	10	143129773	3	155
29	7	m4.2xlarge	85	343773	17903	5	185538842	3	237
30	8	r4.2xlarge	73	354644	16320	5	106396172	3	94
31	4	r4.2xlarge	74	268278	16769	5	150854547	3	122
32	10	m4.2xlarge	54	131620	16778	5	150952672	3	259
33	12	r4.xlarge	42	118735	16583	9	156379013	7	246
34	3	r4.2xlarge	58	171573	19896	5	100000000	8	118
35	10	r4.2xlarge	87	330976	17057	5	147858425	5	349
36	10	r4.2xlarge	96	61000	17228	5	149366300	5	348
37	4	m4.2xlarge	49	95547	18517	9	150863413	3	207
38	2	r4.2xlarge	19	168630	18059	9	195665787	3	654
39	10	m4.2xlarge	33	466602	22914	5	196914442	3	331
40	4	r4.2xlarge	45	65959	14127	15	103439028	3	197
41	3	r4.2xlarge	96	643469	17089	5	100000000	4	299
42	10	r4.2xlarge	34	597928	15220	14	143156817	3	322
43	2	r4.2xlarge	29	223647	14575	5	148931977	3	353
44	5	r4.xlarge	73	531774	19510	5	147747412	4	323
45	12	m4.2xlarge	89	164149	20448	5	155787628	3	94
46	8	r4.2xlarge	25	227872	18957	5	155946911	3	94
47	4	r4.xlarge	25	292139	14503	10	200000000	3	349
48	11	r4.2xlarge	78	203502	17489	5	145778846	3	200
49	3	m4.2xlarge	63	130238	12566	11	100000000	3	422
50	4	r4.2xlarge	89	602058	19850	5	150221223	3	393
51	11	m4.2xlarge	52	732000	15888	10	152939279	3	260
52	11	r4.2xlarge	96	107359	20080	10	152889451	4	725
53	4	m4.2xlarge	89	137551	15566	5	151800486	3	1389
54	5	r4.2xlarge	45	118365	17010	5	100000000	7	404
55	7	m4.2xlarge	27	542008	16425	5	149514937	3	289
56	8	r4.xlarge	96	227062	14425	5	100000000	9	794
57	9	r4.2xlarge	96	168915	19475	10	150335111	3	194
58	11	r4.2xlarge	8	248939	8000	14	155518869	3	109
59	12	r4.xlarge	52	163721	11216	5	149804417	3	295
60	6	r4.2xlarge	8	115892	16961	10	146152069	3	320
61	4	r4.xlarge	21	398613	13636	5	148419023	3	198
62	6	r4.2xlarge	22	429875	16995	5	144886184	3	265
63	7	m4.2xlarge	87	402404	8588	5	200000000	7	369
64	10	r4.2xlarge	96	118252	16579	5	100000000	8	308
65	4	m4.2xlarge	52	189991	11604	5	147769127	3	300
66	9	r4.2xlarge	93	694035	14794	5	100000000	3	352
67	11	m4.2xlarge	62	517987	17079	13	182702863	3	300
68	4	r4.2xlarge	31	101021	12775	5	157338831	3	215
69	2	m4.2xlarge	36	317015	20229	5	145979126	3	1097
70	8	m4.2xlarge	8	117981	15056	5	107298384	9	308
71	2	r4.2xlarge	45	732000	12460	5	150911682	3	2343
