	instance_count	machine_type	slots	memory	data_size_MB	features	observations	k	gross_runtime
0	4	r4.2xlarge	31	68716	14526	6	196039978	3	241
1	12	r4.xlarge	22	174728	14723	15	154291934	3	221
2	10	m4.2xlarge	65	178685	11403	6	147542400	3	241
3	10	r4.2xlarge	65	82437	19657	6	153878733	4	354
4	3	m4.2xlarge	58	74862	14010	6	125000000	7	220
5	9	r4.xlarge	80	101223	15398	6	139550708	9	206
6	12	r4.xlarge	56	367542	13597	6	200000000	4	161
7	11	m4.2xlarge	91	122024	16636	6	200000000	3	129
8	9	r4.2xlarge	91	295583	16308	6	133824989	3	1903
9	4	r4.2xlarge	13	63775	18549	6	125000000	3	183
10	6	r4.2xlarge	75	71588	20206	6	136210205	9	480
11	12	r4.2xlarge	63	470425	11183	6	125000000	3	163
12	3	r4.2xlarge	15	264373	15121	6	200000000	9	166
13	10	r4.2xlarge	61	94437	16495	6	138354396	3	224
14	11	m4.2xlarge	31	79287	16290	6	184962972	8	709
15	8	r4.2xlarge	68	529489	21608	6	125000000	5	428
16	2	r4.2xlarge	96	79795	18005	6	192021030	3	1827
17	11	r4.2xlarge	77	186177	18634	6	142955543	4	417
18	12	m4.2xlarge	87	732000	15646	6	125000000	6	192
19	11	r4.2xlarge	45	443285	23242	6	125000000	4	177
20	12	r4.2xlarge	65	548337	11702	6	200000000	3	240
21	5	m4.2xlarge	93	732000	29531	6	138895722	3	134
22	12	r4.2xlarge	20	111455	11745	6	125000000	9	496
23	12	r4.2xlarge	49	63775	14711	6	180697100	7	248
24	8	r4.xlarge	54	498716	14859	6	199104394	3	783
25	5	r4.2xlarge	11	70978	17272	6	178919011	3	4556
26	2	r4.xlarge	39	93663	11703	6	125000000	3	129
27	3	m4.2xlarge	37	603622	17490	6	179612401	6	239
28	11	r4.2xlarge	14	230869	11161	6	163057859	3	249
29	9	r4.xlarge	92	676008	11325	6	151519147	7	184
30	12	r4.2xlarge	92	70733	13826	6	144260598	3	171
31	8	r4.2xlarge	29	168488	16112	6	125000000	6	182
32	10	r4.xlarge	66	70060	14646	15	129000876	9	178
33	4	m4.2xlarge	88	72290	15258	6	129178102	3	191
34	7	r4.2xlarge	73	288954	20996	6	175926861	8	3622
35	9	r4.2xlarge	45	214870	12649	6	125000000	3	478
36	12	r4.2xlarge	66	116543	20299	6	169786630	6	179
37	11	r4.2xlarge	68	187680	16901	6	189174016	6	977
38	11	r4.2xlarge	48	132322	11099	13	139803815	3	4556
39	9	r4.xlarge	10	731998	16347	6	179794589	4	323
40	5	r4.2xlarge	18	75003	22481	6	187536643	3	3608
41	4	r4.2xlarge	51	98403	28872	6	142776272	4	156
42	9	r4.2xlarge	50	63775	28273	6	125000000	9	473
43	8	r4.2xlarge	19	136644	22650	6	149798336	3	559
44	12	m4.2xlarge	90	732000	24532	6	125000000	3	214
45	11	r4.2xlarge	82	97086	11700	6	195668351	5	443
46	12	r4.2xlarge	82	84728	13968	15	169587697	6	736
47	8	m4.2xlarge	26	440563	17190	6	194440482	3	126
48	5	r4.2xlarge	19	138344	18455	15	189009929	7	268
49	4	r4.2xlarge	27	731999	16544	6	125000000	3	4501
50	11	r4.2xlarge	18	84396	15117	6	176202089	8	462
51	2	r4.xlarge	21	731993	11651	6	125000000	3	116
52	6	r4.2xlarge	44	161419	18531	6	154676745	9	868
53	12	r4.2xlarge	74	82874	10500	6	155199946	3	261
54	3	r4.2xlarge	53	731997	25188	6	125000000	3	3138
55	12	r4.2xlarge	50	86418	10500	6	125000000	3	294
56	3	r4.2xlarge	96	76324	11248	6	136034826	4	2359
57	2	r4.2xlarge	28	68163	19536	6	179244373	3	347
58	10	r4.2xlarge	87	70682	13478	6	125000000	9	604
59	9	m4.2xlarge	69	117035	11769	15	131944628	3	107
60	3	r4.2xlarge	16	84510	16544	6	125000000	3	179
61	4	m4.2xlarge	85	80258	22567	6	131596144	9	308
62	4	r4.2xlarge	52	145616	15004	6	125000000	3	608
63	2	r4.xlarge	96	93375	19288	6	167340393	7	171
64	6	r4.2xlarge	77	732000	15498	6	198684863	4	306
65	5	r4.xlarge	55	239929	15135	6	153653761	3	336
66	4	r4.2xlarge	42	400012	19367	6	125000000	9	303
67	8	r4.2xlarge	68	97332	14260	6	200000000	9	156
68	8	r4.2xlarge	14	71121	21044	6	125000000	3	628
69	10	r4.xlarge	9	100859	14652	6	159637994	9	149
70	8	r4.xlarge	74	392030	11674	6	169030864	3	129
71	7	r4.2xlarge	20	212449	17503	6	125000000	3	1784
72	12	r4.xlarge	30	87567	20854	6	140944202	3	124
73	2	r4.2xlarge	49	183566	18429	6	200000000	4	332
74	10	m4.2xlarge	74	74906	14111	6	147132186	3	377
75	7	r4.2xlarge	91	210796	16337	6	150098760	3	180
76	9	r4.2xlarge	46	190415	15995	6	165483550	8	279
77	8	r4.2xlarge	30	63775	18779	6	174817281	4	308
78	5	r4.2xlarge	65	109562	13110	6	125000000	3	3116
79	4	r4.2xlarge	93	80177	14479	15	200000000	4	204
80	5	r4.2xlarge	86	447766	13966	7	200000000	6	217
81	6	r4.2xlarge	34	63775	13926	6	175033085	9	157
82	5	r4.2xlarge	86	100353	15016	6	125000000	9	238
83	9	m4.2xlarge	69	271720	14950	6	196925939	5	435
84	11	r4.2xlarge	64	732000	14189	6	125000000	9	125
85	10	r4.2xlarge	19	731988	15904	6	200000000	3	1205
86	3	r4.2xlarge	23	168510	10500	6	145749843	3	411
87	8	r4.xlarge	61	116840	13955	6	200000000	3	120
88	6	r4.2xlarge	70	103583	14825	6	181066225	3	301
89	11	r4.2xlarge	49	125225	16195	15	200000000	6	669
90	4	r4.2xlarge	92	140330	19717	6	200000000	5	207
91	9	r4.xlarge	23	73288	11957	6	181133589	3	111
92	6	r4.2xlarge	71	66394	16701	6	180926685	5	638
93	12	r4.xlarge	57	63776	17452	6	125000000	3	455
94	7	r4.2xlarge	88	213163	14736	6	198743874	3	557
95	10	m4.2xlarge	86	63775	14875	6	125000000	4	160
96	12	r4.2xlarge	15	732000	21897	6	196224754	5	225
97	10	r4.2xlarge	20	490735	19793	6	129322532	3	745
98	10	r4.2xlarge	44	76404	14217	6	125000000	9	397
99	10	r4.2xlarge	49	183239	11961	6	176995576	4	159
100	11	r4.2xlarge	69	325440	18526	6	187661024	6	337
101	6	r4.xlarge	51	105801	15750	6	125000000	8	410
102	10	r4.2xlarge	57	105636	16030	6	167880985	6	366
103	5	r4.2xlarge	75	201417	21532	6	156524688	3	219
104	4	r4.2xlarge	34	346768	21702	6	159827887	6	501
105	10	r4.2xlarge	66	77929	24188	6	161115860	5	531
106	5	r4.2xlarge	32	102710	15267	6	137077145	3	281
107	5	m4.2xlarge	71	732000	30500	6	140557644	3	145
108	2	r4.2xlarge	96	732000	25345	6	125000000	8	1776
109	7	r4.2xlarge	54	88643	18944	6	150194313	3	148
110	4	r4.2xlarge	79	84849	10500	6	153139900	3	274
111	3	r4.xlarge	85	196805	10941	6	134151016	3	143
112	3	r4.2xlarge	34	189542	16587	6	184525647	4	278
113	9	r4.2xlarge	29	613075	12042	6	193878505	3	205
114	12	m4.2xlarge	57	89364	16950	6	143957462	9	718
115	11	r4.2xlarge	55	444044	16102	6	161488828	4	228
116	11	m4.2xlarge	93	140278	14466	6	140053818	3	1026
117	5	r4.2xlarge	26	731991	15637	6	154024046	8	347
118	9	r4.xlarge	93	78913	14390	6	144405780	5	185
119	9	r4.2xlarge	82	458347	11286	6	125000000	3	323
120	8	r4.2xlarge	64	81169	12465	6	195671949	3	4556
121	5	r4.2xlarge	39	731997	17273	6	200000000	3	3940
122	7	r4.2xlarge	38	731999	14670	6	125000000	4	159
123	2	m4.2xlarge	90	63775	15392	6	188714057	7	207
124	8	r4.xlarge	20	583025	12192	6	181808318	9	221
125	9	m4.2xlarge	93	370347	16033	6	160979140	9	457
126	12	r4.2xlarge	21	108827	18074	6	185206931	3	363
127	5	m4.2xlarge	28	71672	18775	6	198104984	6	132
128	5	r4.2xlarge	96	119943	25082	6	125000000	6	116
129	7	r4.xlarge	24	90852	14690	6	125000000	3	452
130	2	m4.2xlarge	71	444843	28661	6	125000000	3	177
131	7	r4.2xlarge	29	96851	11875	6	174457219	3	3751
132	9	m4.2xlarge	93	63807	11529	6	162336391	3	219
133	9	m4.2xlarge	29	63805	14510	6	128140487	3	1213
134	6	r4.2xlarge	96	402684	11562	6	125000000	7	1741
135	4	r4.2xlarge	37	84317	16274	6	170472643	3	260
136	10	r4.xlarge	12	731999	15383	12	187882023	9	227
137	12	r4.2xlarge	28	216182	16228	6	168448417	3	168
138	7	r4.2xlarge	42	67181	20617	6	161626239	3	143
139	11	r4.2xlarge	92	372685	14887	11	127201446	3	296
140	8	r4.xlarge	23	286172	11044	6	139263927	4	204
141	5	r4.xlarge	74	65458	11566	6	132399974	3	432
142	9	r4.2xlarge	61	189219	10500	6	190448923	3	294
143	4	r4.2xlarge	50	85838	30500	6	149219401	4	202
144	9	r4.xlarge	57	151065	13747	6	133063022	3	176
145	2	r4.2xlarge	73	731998	16358	6	125000000	8	210
146	10	r4.2xlarge	42	394684	20083	6	153249308	3	248
147	10	r4.2xlarge	20	272555	18628	6	161406560	4	346
148	9	r4.2xlarge	11	284378	20333	6	171266878	8	493
149	12	m4.2xlarge	74	133866	13866	6	125000000	3	245
150	12	r4.2xlarge	15	63775	10500	6	154302797	3	4556
151	2	r4.2xlarge	84	124300	14853	6	200000000	9	594
152	8	m4.2xlarge	88	464560	11310	6	137800957	3	208
153	2	r4.2xlarge	21	484592	11986	6	150313730	3	4556
154	8	r4.2xlarge	73	497385	12066	6	125000000	3	127
155	11	m4.2xlarge	76	226043	11429	6	199266645	3	906
156	12	r4.2xlarge	21	85269	18254	6	125000000	8	301
157	7	r4.2xlarge	12	244185	17047	6	182979302	3	161
158	11	r4.2xlarge	29	63775	10500	6	184581684	3	229
159	12	m4.2xlarge	96	732000	14655	6	133754712	4	153
160	5	r4.xlarge	75	84193	11674	6	154917171	3	142
161	3	r4.2xlarge	85	63777	16354	6	200000000	4	1170
162	4	r4.2xlarge	75	63775	15095	6	143108539	9	308
163	10	r4.2xlarge	71	319874	13168	6	125000000	9	242
164	6	m4.2xlarge	10	429830	15990	6	133328762	3	291
165	4	r4.2xlarge	18	74860	12532	6	200000000	7	222
166	7	r4.2xlarge	33	732000	22617	6	133062649	3	291
167	7	m4.2xlarge	60	98784	16092	6	200000000	9	153
168	11	r4.2xlarge	29	71785	19744	6	125000000	3	785
169	12	m4.2xlarge	48	80463	12400	6	129355218	6	559
170	8	m4.2xlarge	85	327803	23515	6	141934878	3	300
171	12	r4.2xlarge	32	76437	25894	6	193089206	4	160
172	4	r4.xlarge	89	256108	13997	6	190994996	5	197
173	9	r4.2xlarge	8	333167	18610	6	125000000	3	221
174	12	r4.2xlarge	39	73636	22219	6	158565578	3	1364
175	5	r4.xlarge	64	148285	14139	6	165107775	3	165
176	12	r4.2xlarge	66	517817	14074	6	160394964	5	248
177	10	r4.2xlarge	61	93866	15929	6	125000000	3	161
178	10	r4.2xlarge	70	731997	19906	6	200000000	4	290
179	4	r4.2xlarge	44	145625	10500	6	125000000	7	198
180	9	m4.2xlarge	31	99104	21538	6	187192220	3	1072
181	7	r4.2xlarge	81	99946	11370	6	164069221	5	351
182	9	m4.2xlarge	20	109415	12521	6	180593655	3	130
183	9	r4.xlarge	21	316924	15757	6	176821391	7	293
184	7	r4.2xlarge	41	250405	10500	15	125000000	5	298
185	4	m4.2xlarge	25	732000	14659	6	128914834	3	213
186	8	r4.xlarge	13	731999	14232	6	159662093	3	133
187	8	r4.xlarge	56	175510	14181	6	137195567	3	442
188	9	r4.xlarge	58	115947	27476	6	183145611	4	222
189	12	r4.2xlarge	81	732000	14128	6	200000000	4	263
190	4	r4.2xlarge	11	156757	10500	6	139289672	3	1221
191	10	r4.xlarge	29	100257	13720	6	149147296	7	143
192	3	r4.xlarge	49	731996	15012	6	125000000	9	169
193	3	m4.2xlarge	62	92655	11837	6	198480039	9	648
194	6	r4.2xlarge	43	110989	10500	6	141996520	3	738
195	12	r4.xlarge	65	109468	15260	6	185417493	3	319
196	12	r4.xlarge	11	260192	17239	6	200000000	3	788
197	10	m4.2xlarge	45	74344	15743	6	130251841	3	1157
198	4	r4.2xlarge	38	75073	16787	6	125000000	9	1330
199	10	r4.2xlarge	52	446144	16250	6	190664506	5	4556
