	instance_count	machine_type	slots	memory	data_size_MB	features	observations	k	gross_runtime
0	4	r4.2xlarge	32	246911	21036	5	100136501	7	241
1	2	r4.2xlarge	16	132882	16195	5	150006224	3	464
2	4	r4.2xlarge	32	245535	13006	5	125077219	3	157
3	4	r4.2xlarge	32	245419	15993	5	150028014	3	242
4	6	r4.2xlarge	16	129477	15985	5	150054762	3	247
5	4	r4.2xlarge	32	248626	10230	5	125045298	3	178
6	8	r4.2xlarge	64	363930	10976	5	100253586	9	234
7	10	r4.2xlarge	80	608593	20738	5	100075533	3	210
8	2	r4.2xlarge	16	124220	10030	5	100000000	3	921
9	10	r4.2xlarge	80	613697	21078	5	199455290	7	200
10	6	r4.2xlarge	48	368894	12873	5	100000000	3	206
11	6	r4.2xlarge	48	364068	20837	5	100021344	5	266
12	4	r4.2xlarge	33	248636	30123	10	100158363	9	120
13	4	r4.2xlarge	32	245239	11044	5	100096315	9	318
14	8	r4.2xlarge	64	487856	13270	5	125093029	5	192
15	2	r4.2xlarge	32	116608	15824	5	150070372	3	324
16	10	r4.2xlarge	80	609218	30500	15	100000000	5	139
17	12	r4.2xlarge	96	731566	15967	5	174880067	5	124
18	4	r4.2xlarge	32	243753	15846	5	150247692	3	412
19	8	r4.2xlarge	64	484805	16004	5	149971011	3	299
20	4	r4.2xlarge	32	244873	18728	5	199527484	7	550
21	12	r4.2xlarge	96	726448	15564	5	150005465	3	232
22	4	r4.2xlarge	32	246312	16146	5	150001377	3	453
23	2	r4.2xlarge	16	123329	13526	5	125059250	9	1140
24	10	r4.2xlarge	80	607028	16155	5	149998008	7	206
25	12	r4.2xlarge	96	732000	9836	5	100000000	7	161
26	4	r4.2xlarge	33	241106	11217	5	100317165	3	261
27	4	r4.2xlarge	32	248992	16177	5	150162516	9	697
28	4	r4.2xlarge	32	244589	15535	5	149964166	3	438
29	12	r4.2xlarge	96	720417	10860	5	100089879	9	149
30	6	r4.2xlarge	48	373428	15819	5	150116638	3	282
31	8	r4.2xlarge	32	244277	15873	5	149990581	3	341
32	2	r4.2xlarge	16	107398	15682	5	150025664	3	1113
33	10	r4.2xlarge	32	247628	16173	5	150086229	3	245
34	4	r4.2xlarge	32	243028	21523	5	200000000	9	494
35	2	r4.2xlarge	16	118249	30500	15	100074016	7	259
36	8	r4.2xlarge	64	485295	20840	10	100106919	9	178
37	10	r4.2xlarge	80	606905	15973	5	150111307	3	94
38	6	r4.2xlarge	48	363479	10328	5	100000000	7	153
39	2	r4.2xlarge	16	118668	10615	5	100066978	3	1104
40	12	r4.2xlarge	96	732000	10431	5	100089464	3	100
41	2	r4.2xlarge	16	119849	20748	10	100060687	9	379
42	12	r4.2xlarge	96	732000	10886	5	124945761	3	178
43	2	r4.2xlarge	16	123847	20873	5	100044171	7	253
44	6	r4.2xlarge	48	365878	20817	10	100175491	5	237
45	6	r4.2xlarge	48	359271	13010	5	124867817	9	316
46	12	r4.2xlarge	96	732000	10313	5	100097235	3	94
47	10	r4.2xlarge	80	608480	16167	5	149971789	3	155
48	8	r4.2xlarge	64	484751	10371	5	100009751	3	224
49	8	r4.2xlarge	64	486804	21001	5	100000000	9	267
50	4	r4.2xlarge	16	247481	30309	15	100221753	7	403
51	8	r4.2xlarge	64	486659	20719	5	100000000	7	177
52	6	r4.2xlarge	48	367803	20923	5	174628097	7	241
53	6	r4.2xlarge	48	243742	15874	5	149825858	3	169
54	6	r4.2xlarge	16	129976	15753	5	149955099	3	196
55	10	r4.2xlarge	80	612366	20642	5	100068055	7	224
56	8	r4.2xlarge	64	487874	16350	5	150053747	3	141
57	10	r4.2xlarge	80	606794	20641	5	100046228	9	138
58	4	r4.2xlarge	32	243202	29890	15	100148893	5	497
