	instance_count	machine_type	slots	memory	data_size_MB	pages	links	convergence_criterion	gross_runtime
0	9	r4.xlarge	37	171253	307	1944734	20990668	0.0016	373
1	2	m4.2xlarge	48	157388	135	1883756	20477521	0.0019	861
2	6	r4.xlarge	34	138924	258	1936139	21197215	0.0033	329
3	4	m4.2xlarge	68	365050	264	1995553	20352604	0.0026	396
4	4	m4.2xlarge	67	175787	259	1945607	19927785	0.0001	324
5	4	r4.2xlarge	16	732000	134	1001808	20314648	0.01	215
6	8	r4.xlarge	20	138814	260	1941908	20467773	0.0027	713
7	6	r4.2xlarge	38	374676	292	2994912	29346686	0.0033	185
8	10	r4.2xlarge	23	268753	142	1000000	19893669	0.0036	302
9	10	r4.2xlarge	29	730515	136	1962386	30000000	0.002	118
10	2	r4.2xlarge	30	732000	407	1000000	21018807	0.01	168
11	10	r4.2xlarge	37	294897	277	2001887	28952055	0.002	223
12	3	r4.2xlarge	52	131111	131	2864864	20271848	0.0001	184
13	12	m4.2xlarge	25	202521	275	1888377	20222591	0.0021	456
14	9	r4.xlarge	50	410264	258	1993163	11117491	0.0022	279
15	6	r4.2xlarge	50	402819	131	1000000	10534932	0.0099	302
16	2	r4.2xlarge	93	617548	281	2937519	21211729	0.0063	156
17	6	r4.2xlarge	52	171609	426	1954323	10750707	0.0022	363
18	8	r4.xlarge	83	153964	275	1918650	20767749	0.0016	858
19	3	m4.2xlarge	82	154967	279	1960305	20162345	0.0024	425
20	4	r4.2xlarge	68	116694	131	3000000	20619722	0.0008	230
21	6	r4.xlarge	68	388941	262	1958113	19664560	0.0035	239
22	11	m4.2xlarge	64	236263	274	1968099	20811360	0.0024	472
23	6	m4.2xlarge	17	259680	276	2016614	21119256	0.0001	153
24	3	r4.2xlarge	96	247321	436	3000000	10000000	0.0032	143
25	4	r4.xlarge	32	273720	269	1000000	20598771	0.0038	720
26	12	m4.2xlarge	16	118841	255	2014641	20938336	0.0016	870
27	4	m4.2xlarge	96	126552	268	2065528	20937977	0.0001	395
28	6	m4.2xlarge	31	265637	271	1943382	20451825	0.0025	469
29	12	r4.xlarge	38	378644	246	1961391	19460896	0.002	870
30	2	r4.2xlarge	33	383663	131	1953804	21057268	0.0063	400
31	10	r4.2xlarge	34	732000	142	2018329	11058296	0.0059	442
32	9	m4.2xlarge	96	132632	131	1939295	21009824	0.0039	494
33	2	r4.2xlarge	53	260552	388	1033497	30000000	0.01	288
34	8	m4.2xlarge	96	93662	265	1017442	20649612	0.0054	600
35	10	r4.2xlarge	16	280064	382	2053010	30000000	0.0075	118
36	10	m4.2xlarge	37	383467	259	1947367	20404569	0.0012	254
37	10	r4.2xlarge	33	524856	132	2944956	30000000	0.0004	233
38	8	r4.2xlarge	21	510405	131	1001361	29735690	0.0001	349
39	4	r4.2xlarge	25	518966	131	2855323	11791531	0.0053	302
40	10	r4.2xlarge	53	515302	360	2890085	20600888	0.0041	118
41	8	r4.xlarge	66	248795	271	1912587	20822064	0.0022	457
42	7	r4.2xlarge	36	264723	413	2941363	19933635	0.0007	118
43	8	r4.2xlarge	26	278968	381	2028203	10691094	0.0026	176
44	10	r4.2xlarge	31	282591	363	1950389	21098072	0.0001	118
45	2	m4.2xlarge	16	289876	139	1987960	19735934	0.0034	592
46	6	m4.2xlarge	83	118345	255	1918417	20991307	0.0031	417
47	9	m4.2xlarge	85	249584	263	1910106	19950197	0.0001	491
48	5	r4.2xlarge	33	265923	300	1000000	30000000	0.0001	349
49	10	r4.2xlarge	96	283993	396	2013831	30000000	0.0065	118
50	10	r4.2xlarge	27	301234	404	1015921	11543592	0.0009	268
51	4	m4.2xlarge	40	398052	285	1990568	30000000	0.0041	294
52	5	r4.2xlarge	64	191368	131	1000000	19971265	0.0001	456
53	10	r4.2xlarge	39	732000	145	2843990	30000000	0.0001	141
54	9	m4.2xlarge	37	273198	243	1924075	20169280	0.0064	475
55	12	r4.xlarge	85	484880	262	2019044	20377165	0.0002	150
56	9	r4.xlarge	39	148807	266	1915446	11274941	0.0048	298
57	3	r4.2xlarge	61	732000	131	1000000	30000000	0.0056	118
58	6	m4.2xlarge	17	361799	270	1917970	20860570	0.0034	835
59	2	r4.2xlarge	24	413291	269	2973447	10648773	0.0055	118
60	6	r4.2xlarge	17	343395	276	3000000	30000000	0.003	204
61	10	m4.2xlarge	82	232903	302	1960102	20692583	0.0034	205
62	6	m4.2xlarge	80	469113	299	1978356	20863686	0.0011	422
63	6	m4.2xlarge	23	270938	251	1993164	20443131	0.0028	574
64	3	m4.2xlarge	68	271955	306	1895458	19752087	0.0035	250
65	9	m4.2xlarge	50	224210	296	1920129	20714577	0.0021	296
66	9	r4.2xlarge	68	730868	137	1933779	20714412	0.0008	138
67	8	r4.2xlarge	96	283855	135	1964224	20736086	0.0032	274
68	10	r4.xlarge	83	243553	281	1967409	20669692	0.01	503
69	5	r4.2xlarge	35	411115	384	2962834	20341700	0.0043	118
70	11	r4.2xlarge	22	270188	148	1000000	19400429	0.0002	143
71	8	m4.2xlarge	49	261709	287	1907949	20575170	0.0021	538
72	7	r4.xlarge	22	103566	131	1000000	20377515	0.0036	435
73	6	r4.2xlarge	51	172873	396	1945104	10425623	0.0022	236
74	5	r4.2xlarge	37	370569	434	2820185	10379159	0.0014	237
75	3	m4.2xlarge	23	138990	274	1999541	20480422	0.0034	820
76	4	r4.xlarge	33	79296	272	2021621	20979150	0.0036	646
77	2	m4.2xlarge	16	396476	289	1900779	20153158	0.0033	448
78	9	m4.2xlarge	80	220760	273	2010531	20822148	0.0084	460
79	10	r4.2xlarge	96	205875	131	2972308	11269509	0.0024	118
80	3	m4.2xlarge	41	237059	284	1983227	19836281	0.0025	334
81	4	m4.2xlarge	47	148078	274	1961255	20777172	0.0034	374
82	8	r4.2xlarge	33	732000	281	2000401	20511848	0.003	227
83	8	m4.2xlarge	39	201899	250	1916535	10052182	0.003	371
84	6	m4.2xlarge	28	633974	257	1983410	20585202	0.0025	605
85	10	r4.2xlarge	83	247760	272	3000000	30000000	0.0071	542
86	12	m4.2xlarge	38	233897	262	1914765	20776054	0.0012	245
87	9	r4.2xlarge	35	663093	428	3000000	10414781	0.0001	122
88	11	r4.xlarge	85	617112	276	1000000	20037739	0.0009	209
89	4	r4.xlarge	23	307923	135	1895583	20684431	0.0001	525
90	10	r4.2xlarge	37	281505	131	3000000	10169512	0.005	349
91	10	r4.xlarge	38	386512	263	1964107	20723278	0.0016	280
92	11	r4.xlarge	84	181075	268	1945033	21008939	0.0032	376
93	9	r4.xlarge	38	732000	281	1992179	20954977	0.0031	225
94	2	m4.2xlarge	15	527998	245	1877699	19352159	0.001	550
95	8	r4.xlarge	21	315366	402	1873223	20290126	0.0028	528
96	12	r4.xlarge	65	136456	256	1002095	10000000	0.0029	420
97	10	m4.2xlarge	37	273081	249	1894279	20107188	0.0001	643
98	10	m4.2xlarge	31	118777	265	1960897	20785896	0.0022	231
99	4	r4.2xlarge	16	732000	355	1107351	20440965	0.001	266
100	4	m4.2xlarge	86	265248	250	2015980	19268462	0.002	314
101	10	r4.2xlarge	84	732000	276	1913553	10682778	0.0013	152
102	6	m4.2xlarge	81	330246	302	2002391	20729917	0.0026	355
103	2	r4.xlarge	24	363748	258	1964692	20777701	0.0033	179
104	2	r4.2xlarge	20	349481	131	3000000	10371548	0.01	194
105	2	m4.2xlarge	33	176299	307	1928167	11479511	0.0024	570
106	6	r4.2xlarge	87	403218	409	3000000	30000000	0.0082	128
107	10	r4.2xlarge	96	376355	131	1000000	30000000	0.0057	290
108	10	r4.2xlarge	85	489325	271	1918718	11292020	0.0001	364
109	5	m4.2xlarge	37	137487	260	1936044	19801546	0.0071	234
110	11	r4.2xlarge	96	391269	267	1922102	20567484	0.0032	418
111	5	m4.2xlarge	24	378220	253	1918821	20653835	0.002	420
112	10	r4.xlarge	13	359576	260	2027040	20498296	0.0031	423
113	9	m4.2xlarge	64	238806	271	2010429	20015018	0.0023	563
114	4	r4.2xlarge	18	732000	133	1000000	10764209	0.0013	134
115	12	r4.2xlarge	96	265239	253	2984929	10857485	0.01	118
116	4	r4.2xlarge	87	616794	133	1002876	11557925	0.0012	124
117	10	m4.2xlarge	31	246475	284	2048922	20768931	0.0023	199
118	2	r4.2xlarge	96	398267	131	1000000	10000000	0.0013	422
119	8	r4.2xlarge	23	255834	131	1909157	10220171	0.0034	415
120	6	m4.2xlarge	22	348830	282	1981223	20944137	0.003	458
121	8	r4.2xlarge	24	477707	300	3000000	19541809	0.0058	278
122	6	r4.2xlarge	17	287914	267	1998659	20385767	0.0003	496
123	5	m4.2xlarge	96	273344	282	2023023	20307590	0.0037	451
124	5	m4.2xlarge	66	292585	270	1946830	20160055	0.0027	451
125	6	r4.2xlarge	85	206129	134	2959199	11346723	0.01	296
126	4	m4.2xlarge	26	512271	264	1977698	20783769	0.0019	196
127	10	m4.2xlarge	54	272850	257	1940018	20213672	0.0015	297
128	6	r4.2xlarge	53	175099	353	2018494	10702487	0.0009	232
