	instance_count	machine_type	slots	memory	data_size_MB	pages	links	convergence_criterion	gross_runtime
0	10	r4.2xlarge	73	545839	146	1117263	30000000	0.0027	153
1	2	m4.2xlarge	85	136997	299	1828644	11171379	0.0005	179
2	7	r4.2xlarge	61	111931	147	1117263	30000000	0.01	146
3	10	r4.2xlarge	77	200919	154	1117263	30000000	0.0001	193
4	8	m4.2xlarge	54	214904	277	1841617	30000000	0.0018	190
5	2	r4.xlarge	75	117167	342	2318873	19796149	0.0026	199
6	2	r4.2xlarge	29	61903	283	1117263	21520792	0.0009	248
7	11	r4.xlarge	31	290116	338	1872301	23090935	0.0001	207
8	11	r4.2xlarge	82	262436	225	1117263	30000000	0.0032	134
9	5	r4.2xlarge	40	731999	142	3000000	30000000	0.0021	141
10	2	m4.2xlarge	69	84618	308	2473323	20651821	0.0019	227
11	2	r4.2xlarge	59	732000	350	1632468	30000000	0.01	118
12	9	m4.2xlarge	69	143651	328	2460100	21375829	0.0001	328
13	2	r4.2xlarge	72	337273	412	3000000	11171379	0.01	133
14	10	r4.2xlarge	75	732000	143	2134678	17561199	0.01	131
15	11	r4.2xlarge	77	480649	279	2123383	30000000	0.01	123
16	12	r4.2xlarge	96	230065	263	1746558	30000000	0.0007	118
17	11	r4.2xlarge	81	591323	305	3000000	11171379	0.0014	148
18	2	r4.2xlarge	51	615272	436	2264832	30000000	0.01	375
19	8	m4.2xlarge	80	175031	312	2140618	24987015	0.0031	331
20	2	r4.2xlarge	52	256017	427	1117263	30000000	0.01	142
21	8	r4.2xlarge	54	731998	435	1117263	30000000	0.0014	458
22	2	r4.2xlarge	59	267888	146	1117263	19415797	0.0082	182
23	2	m4.2xlarge	77	142359	318	2165422	30000000	0.0033	342
24	11	r4.2xlarge	74	154457	310	1117263	30000000	0.0001	228
25	2	r4.2xlarge	47	229716	253	1117263	18678989	0.01	141
26	12	m4.2xlarge	63	61726	294	2049792	19492542	0.0009	144
27	11	r4.2xlarge	90	303930	299	1117263	11171379	0.01	122
28	4	m4.2xlarge	30	98941	309	2511271	22117026	0.002	289
29	10	r4.2xlarge	54	567860	435	3000000	21908635	0.0069	188
30	11	r4.xlarge	82	95398	351	2552658	11171379	0.0039	189
31	3	m4.2xlarge	41	93034	231	2442545	18284311	0.0016	161
32	8	m4.2xlarge	52	61800	317	2233667	20684985	0.0009	223
33	11	m4.2xlarge	58	222049	242	1754978	22829308	0.0013	172
34	2	m4.2xlarge	86	256905	317	2296485	11171379	0.0014	169
35	5	r4.xlarge	77	284557	327	2390826	21987147	0.0004	354
36	2	m4.2xlarge	75	139605	309	2172531	21820800	0.0032	244
37	7	r4.xlarge	71	122027	326	1838211	22314000	0.003	368
38	2	m4.2xlarge	76	141582	282	2321826	23983019	0.002	141
39	5	r4.2xlarge	27	652226	436	1117263	30000000	0.01	145
40	9	r4.2xlarge	81	149067	142	2154250	11171379	0.0001	200
41	9	r4.2xlarge	23	511412	423	3000000	22117344	0.0017	235
42	6	m4.2xlarge	26	61725	261	1795304	20079485	0.0015	178
43	12	r4.2xlarge	78	212272	436	1117263	30000000	0.0031	334
44	10	r4.2xlarge	42	488316	418	3000000	30000000	0.01	185
45	7	m4.2xlarge	82	279338	436	2353362	20846515	0.0012	575
46	7	r4.2xlarge	42	114185	364	1117263	11171379	0.01	289
47	10	m4.2xlarge	41	191948	313	2412266	18040569	0.0017	130
48	10	r4.2xlarge	87	296373	434	1117263	30000000	0.0013	125
49	11	r4.xlarge	16	367403	324	1815586	22002112	0.002	291
50	7	r4.xlarge	70	153000	332	2001658	22178763	0.0011	335
51	12	r4.2xlarge	40	268181	436	1117263	11171379	0.01	121
52	10	r4.xlarge	31	97998	319	1117263	21231390	0.003	267
53	2	r4.2xlarge	39	732000	308	1117263	11171379	0.01	326
54	2	m4.2xlarge	76	119598	310	2604908	22747693	0.01	186
55	2	r4.2xlarge	87	443427	301	1117263	17049710	0.0006	285
56	10	r4.2xlarge	96	107454	142	3000000	20238024	0.0015	270
57	12	r4.2xlarge	76	303500	296	1117263	19323292	0.0011	240
58	4	m4.2xlarge	82	61725	317	2240127	23465642	0.0025	219
59	11	r4.2xlarge	63	120335	334	1117263	19274510	0.0085	118
60	10	r4.2xlarge	85	527832	436	2497024	30000000	0.0001	222
61	11	r4.2xlarge	21	201506	436	2423540	30000000	0.0001	207
62	11	m4.2xlarge	67	61726	253	1990530	23315364	0.0003	223
63	12	m4.2xlarge	96	159417	435	1894960	22350346	0.0016	225
64	6	m4.2xlarge	86	88852	304	2466763	21179517	0.003	182
65	10	r4.2xlarge	70	624908	256	1849107	30000000	0.01	208
66	11	r4.xlarge	65	147813	334	2138791	24405995	0.0023	385
67	2	r4.xlarge	45	114416	311	2159312	23892675	0.0022	307
68	8	r4.2xlarge	83	656016	142	3000000	25634082	0.0001	121
69	8	r4.xlarge	15	210261	345	2483680	22240299	0.0014	247
70	11	r4.xlarge	31	183306	296	1843793	24925104	0.001	196
71	2	m4.2xlarge	89	615355	276	1986399	24486425	0.003	154
