	instance_count	machine_type	slots	memory	data_size_MB	pages	links	convergence_criterion	gross_runtime
0	11	r4.2xlarge	75	575100	212	1236392	17314188	0.0034	169
1	7	r4.2xlarge	46	322531	200	2968237	13630744	0.0001	480
2	9	r4.2xlarge	69	582492	382	2971975	16640965	0.001	314
3	4	r4.2xlarge	33	315663	380	1438605	29096850	0.0022	262
4	4	r4.2xlarge	45	342164	415	2096147	29015418	0.0071	440
5	9	r4.2xlarge	70	533788	386	2181927	28175381	0.0002	375
6	5	r4.2xlarge	15	118931	268	2933589	12576688	0.0013	376
7	11	r4.2xlarge	89	662118	157	1148441	12490582	0.007	138
8	3	m4.2xlarge	25	136233	209	2473483	13620116	0.0001	428
9	6	r4.2xlarge	45	343888	435	1710550	29953908	0.0005	381
10	8	r4.2xlarge	27	218663	219	1800304	15734508	0.0002	208
11	6	r4.2xlarge	31	249012	144	1142626	12885862	0.0001	215
12	7	r4.2xlarge	50	402244	142	1277480	11188105	0.0001	258
13	2	m4.2xlarge	9	70237	221	1184475	18493351	0.0092	196
14	10	r4.2xlarge	69	553232	383	1120349	29835201	0.0001	391
15	2	r4.2xlarge	20	137318	209	2865579	12720693	0.0003	324
16	6	r4.2xlarge	62	438866	371	1164171	28689465	0.009	169
17	3	r4.2xlarge	10	68733	164	1719664	14171367	0.0001	253
18	5	r4.2xlarge	22	164382	400	1161662	28573558	0.0002	283
19	12	r4.2xlarge	95	722612	243	1122454	21786271	0.0001	218
20	12	r4.2xlarge	96	729043	221	1412275	18010397	0.0097	144
21	8	r4.2xlarge	61	414362	425	1142668	29816292	0.0007	268
22	2	r4.2xlarge	13	98706	436	1384860	29989093	0.0098	304
23	11	r4.xlarge	73	627819	190	1136529	15145413	0.0017	141
24	7	r4.2xlarge	75	562106	198	2787100	12687732	0.0006	286
25	3	r4.2xlarge	24	223861	148	1216960	12789836	0.0065	148
26	4	r4.2xlarge	40	357388	436	2971733	29993206	0.0003	846
27	10	m4.2xlarge	70	500293	266	1869882	26776896	0.0001	551
28	10	r4.2xlarge	78	587125	290	1424854	17997798	0.0007	255
