	instance_count	machine_type	slots	memory	data_size_MB	features	observations	iterations	gross_runtime
0	2	r4.2xlarge	16	115041	19440	5	200060429	25	123
1	10	r4.2xlarge	80	623589	19412	5	100338251	25	124
2	10	r4.2xlarge	80	610864	9776	5	100175090	1	56
3	6	r4.2xlarge	48	367160	24275	5	249912613	50	81
4	8	r4.2xlarge	64	485416	19450	10	100144495	1	102
5	10	r4.2xlarge	80	613575	19485	10	100158583	25	63
6	4	r4.2xlarge	32	243369	19365	5	200616660	25	207
7	6	r4.2xlarge	48	366283	19394	5	200076264	25	181
8	6	r4.2xlarge	48	364223	14471	5	150082020	25	98
9	4	r4.2xlarge	16	129806	19386	5	199640623	25	103
10	4	r4.2xlarge	32	129020	19365	5	199796619	25	567
11	6	r4.2xlarge	48	234205	19348	5	200048834	25	196
12	4	r4.2xlarge	32	243447	24200	5	200287343	25	59
13	4	r4.2xlarge	32	249036	19574	10	100241809	50	77
14	10	r4.2xlarge	80	610244	29455	15	100184171	1	80
15	10	r4.2xlarge	80	599656	9768	5	199938050	25	56
16	6	r4.2xlarge	48	368949	19517	10	100000000	1	57
17	6	r4.2xlarge	48	364857	19473	10	100194279	100	90
18	10	r4.2xlarge	80	616318	19366	5	200381024	25	74
19	6	r4.2xlarge	48	359105	29394	5	100249916	100	237
20	10	r4.2xlarge	80	611314	29507	10	100000000	100	158
21	12	r4.2xlarge	96	723585	19356	5	249715228	100	156
22	4	r4.2xlarge	32	250312	19420	5	199912040	25	156
23	12	r4.2xlarge	96	732000	19420	5	199849415	1	85
24	4	r4.2xlarge	32	240123	29559	15	100194448	100	188
25	2	r4.2xlarge	16	113530	19298	5	199887778	25	518
26	8	r4.2xlarge	48	361923	19577	10	100620103	1	141
27	8	r4.2xlarge	64	368094	24302	5	100567632	25	202
28	2	r4.2xlarge	16	117136	19336	5	200139443	25	532
29	6	r4.2xlarge	48	358225	29472	15	100099672	50	116
30	10	r4.2xlarge	80	613782	19503	10	100260648	1	153
31	12	r4.2xlarge	80	723422	14521	5	150387712	1	63
