	instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	gross_runtime
0	2	r4.2xlarge	83	308173	14722	1000	191634703	137
1	5	c4.2xlarge	65	45949	10442	111	143732077	72
2	6	r4.2xlarge	86	209792	17839	100	146429084	235
3	11	c4.2xlarge	66	145078	16191	100	159438439	200
4	10	c4.2xlarge	48	213555	19260	100	200000000	243
5	11	m4.2xlarge	96	307426	16787	102	150394313	215
6	12	m4.2xlarge	78	30000	9530	100	47818899	287
7	11	m4.2xlarge	89	68643	13458	921	157019819	94
8	3	m4.2xlarge	88	137873	19260	108	160169746	170
9	11	m4.2xlarge	87	30000	9530	100	131807758	866
10	4	r4.2xlarge	73	242117	17009	105	37222881	182
11	2	r4.2xlarge	77	133588	16901	100	200000000	196
12	11	r4.2xlarge	67	152946	9530	875	103214410	400
13	8	c4.2xlarge	88	30000	9530	1000	200000000	136
14	3	m4.2xlarge	66	109522	13782	103	106664469	125
15	8	c4.2xlarge	72	164867	17819	114	52071126	206
16	4	m4.2xlarge	39	469123	13357	100	186019695	203
17	6	r4.2xlarge	68	30000	15312	130	152657110	309
18	12	c4.2xlarge	26	34991	9530	100	34542807	241
19	11	m4.2xlarge	29	30000	17601	100	177087927	141
20	11	m4.2xlarge	46	230418	9832	100	200000000	242
21	6	r4.2xlarge	49	115158	19260	100	178966406	120
22	11	m4.2xlarge	56	166844	15744	100	195999791	261
23	5	m4.2xlarge	96	378279	9530	100	121519289	292
24	11	m4.2xlarge	42	437672	15577	100	111916905	242
25	11	c4.2xlarge	96	30000	9760	106	121313576	324
26	10	m4.2xlarge	96	185823	11186	839	166080583	354
27	11	r4.2xlarge	38	135509	16853	1000	200000000	211
28	11	c4.2xlarge	96	121929	16612	110	181998302	198
29	9	m4.2xlarge	90	169863	17863	847	126314973	159
30	5	m4.2xlarge	92	35688	16645	936	146149017	181
31	12	m4.2xlarge	84	144274	10739	100	151579847	543
32	11	r4.2xlarge	39	88136	9602	102	110059200	353
33	4	c4.2xlarge	70	30000	9668	107	182848710	142
34	12	m4.2xlarge	28	100400	16965	100	86650862	179
35	9	c4.2xlarge	69	30000	17643	100	26908040	330
36	11	c4.2xlarge	54	487179	9530	882	188791985	157
37	2	c4.2xlarge	88	30885	9530	127	200000000	281
38	12	r4.2xlarge	96	200437	14929	952	194868245	419
39	10	m4.2xlarge	54	30000	13325	100	35992230	206
40	4	c4.2xlarge	72	67513	16915	114	115890734	217
41	12	r4.2xlarge	50	95630	10801	124	120058048	72
42	11	m4.2xlarge	83	419524	17998	101	195577427	76
43	12	m4.2xlarge	33	56691	9530	100	167829904	509
44	2	m4.2xlarge	83	448860	9530	822	159288003	800
45	4	m4.2xlarge	53	30000	10218	100	10000000	427
46	7	m4.2xlarge	31	498077	13315	100	200000000	315
47	3	m4.2xlarge	24	82277	14350	824	200000000	188
48	10	c4.2xlarge	83	30000	16808	1000	199060890	340
49	3	c4.2xlarge	43	60358	13882	116	172209094	95
50	4	m4.2xlarge	92	39269	14423	103	13142076	120
51	11	c4.2xlarge	67	30000	10060	100	192106209	322
52	10	c4.2xlarge	54	296925	9530	117	165945342	158
53	3	r4.2xlarge	77	95226	9530	128	195631848	166
54	3	m4.2xlarge	69	90575	9530	765	126952806	246
55	12	m4.2xlarge	69	96715	10369	100	200000000	453
56	12	r4.2xlarge	73	80640	10436	861	160692600	116
57	11	m4.2xlarge	96	30000	9983	100	138920820	72
58	11	m4.2xlarge	96	577346	9530	727	200000000	476
59	5	m4.2xlarge	96	112735	14392	104	133962084	175
60	12	m4.2xlarge	96	194903	17750	100	131403922	229
61	3	c4.2xlarge	32	343614	11953	1000	183706393	126
62	12	m4.2xlarge	88	706484	17984	100	98457603	123
63	7	c4.2xlarge	96	450833	9530	830	121006116	862
64	12	m4.2xlarge	54	93885	16811	100	70398783	121
65	2	m4.2xlarge	65	30000	9834	100	129005148	866
66	10	m4.2xlarge	55	531208	13591	815	129066804	818
67	11	m4.2xlarge	36	601530	9563	100	200000000	375
68	2	m4.2xlarge	28	76123	17385	100	170095016	309
69	12	m4.2xlarge	90	67080	10651	100	200000000	215
70	8	m4.2xlarge	96	30000	14747	117	161152960	348
71	12	m4.2xlarge	67	98765	9530	1000	200000000	322
72	12	m4.2xlarge	96	30000	13580	100	200000000	72
73	9	m4.2xlarge	75	30000	9595	131	130723379	515
74	7	c4.2xlarge	88	117880	17797	105	50533515	366
75	11	r4.2xlarge	96	676459	16257	121	200000000	339
76	11	m4.2xlarge	89	57990	13979	100	178205601	482
77	5	c4.2xlarge	96	30000	12686	1000	193558551	222
78	3	m4.2xlarge	21	107303	14474	100	149529918	298
79	10	r4.2xlarge	40	111091	9530	100	200000000	392
80	2	r4.2xlarge	71	122725	9530	1000	165004852	199
81	12	m4.2xlarge	69	41220	11500	131	199235807	813
82	12	c4.2xlarge	86	60973	9613	103	196716698	831
83	12	m4.2xlarge	84	102951	19260	1000	176725130	332
84	10	r4.2xlarge	88	105634	10632	109	200000000	215
85	2	c4.2xlarge	29	158594	16360	100	200000000	214
86	8	m4.2xlarge	78	36408	13862	100	157584152	172
87	3	m4.2xlarge	88	68741	18672	100	120926958	155
88	8	m4.2xlarge	24	118092	18287	100	200000000	378
89	10	m4.2xlarge	51	505001	10919	880	181461185	282
90	2	c4.2xlarge	91	92809	9530	129	10000000	416
91	2	m4.2xlarge	82	48313	13467	100	199156767	866
92	9	c4.2xlarge	25	30000	11478	100	200000000	866
93	4	c4.2xlarge	87	689176	14930	1000	126174762	281
94	12	c4.2xlarge	96	339887	9530	133	200000000	155
95	12	m4.2xlarge	92	382204	9530	100	31704644	155
96	12	m4.2xlarge	43	587332	17912	100	200000000	287
97	3	c4.2xlarge	92	30000	16452	100	129835414	448
98	3	m4.2xlarge	90	117188	13550	100	200000000	412
99	10	c4.2xlarge	96	419629	9530	105	182761219	866
100	9	m4.2xlarge	26	265706	11874	100	144260763	815
101	3	r4.2xlarge	30	186725	16931	136	178048861	301
102	12	r4.2xlarge	96	30000	9819	130	144332157	255
103	4	m4.2xlarge	38	42281	13583	106	117348395	131
104	10	m4.2xlarge	96	99069	9530	853	192178910	866
105	4	m4.2xlarge	80	103881	10649	106	156896233	160
106	11	r4.2xlarge	16	408484	10871	119	161107017	134
107	12	m4.2xlarge	40	239981	9787	141	186055015	347
108	4	m4.2xlarge	29	30000	9530	1000	133599643	72
109	11	m4.2xlarge	86	58186	11144	822	200000000	842
110	8	c4.2xlarge	32	30000	11168	1000	200000000	193
111	5	c4.2xlarge	96	81485	10814	111	200000000	302
112	2	m4.2xlarge	30	30000	9779	100	124652838	866
113	3	r4.2xlarge	51	378293	9530	118	188837142	247
114	10	m4.2xlarge	96	101219	9530	119	156733131	281
115	10	m4.2xlarge	88	157551	10497	768	200000000	354
116	10	m4.2xlarge	96	30000	10757	115	200000000	177
117	3	r4.2xlarge	68	100492	17901	120	142570161	135
118	5	r4.2xlarge	63	30000	18042	100	112322132	493
119	12	c4.2xlarge	84	64351	11340	117	148813760	866
120	4	r4.2xlarge	96	54080	9530	118	195840066	97
121	11	r4.2xlarge	16	208693	10357	982	200000000	277
122	2	r4.2xlarge	96	135714	16873	937	61939964	191
123	12	c4.2xlarge	44	178720	10947	100	81342104	241
124	2	c4.2xlarge	47	30000	9530	150	200000000	520
125	12	c4.2xlarge	19	267918	9530	1000	194550918	488
126	10	m4.2xlarge	87	325554	10996	100	97986629	182
127	2	c4.2xlarge	47	30000	11810	105	200000000	866
128	2	c4.2xlarge	61	42337	9530	100	30267758	471
129	4	r4.2xlarge	30	30000	9530	113	200000000	227
130	4	r4.2xlarge	96	30000	13297	943	28648050	537
131	12	m4.2xlarge	96	78677	11980	111	147636567	289
132	4	r4.2xlarge	96	123305	18728	892	149390887	181
133	11	c4.2xlarge	73	122800	13217	135	13439231	600
134	8	m4.2xlarge	96	71762	9530	100	99251276	565
135	4	c4.2xlarge	26	97742	14433	101	167516457	173
136	11	c4.2xlarge	96	45077	14896	117	186845360	145
137	5	m4.2xlarge	61	178289	10047	100	106043942	242
138	2	m4.2xlarge	96	30000	14689	107	200000000	218
139	9	m4.2xlarge	85	30000	11668	100	200000000	255
140	11	m4.2xlarge	96	45371	9530	100	172438973	144
141	6	r4.2xlarge	58	145650	11607	1000	173052321	546
142	10	m4.2xlarge	70	710452	19260	100	117511845	237
143	7	m4.2xlarge	90	499859	9530	100	200000000	287
144	10	m4.2xlarge	78	182542	16553	108	159055480	436
145	12	m4.2xlarge	41	193777	12567	794	184609003	155
146	8	m4.2xlarge	31	93355	14942	102	200000000	104
147	11	c4.2xlarge	51	30000	11620	132	124410920	89
148	6	r4.2xlarge	71	358820	9686	123	177027268	552
149	12	c4.2xlarge	18	30000	11733	116	134661346	225
150	8	c4.2xlarge	26	30000	12011	128	200000000	183
151	4	m4.2xlarge	22	282074	19260	942	19174254	702
