	instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	gross_runtime
0	12	m4.2xlarge	93	355882	15197	188	149116871	78
1	5	m4.2xlarge	40	77200	13409	100	174598002	166
2	9	m4.2xlarge	71	334439	11922	487	85580922	209
3	12	r4.2xlarge	93	719844	9963	337	80006915	72
4	10	c4.2xlarge	78	251331	9530	401	53735476	118
5	4	m4.2xlarge	35	142600	9530	406	31666792	128
6	6	m4.2xlarge	46	154743	15188	259	141963670	279
7	2	r4.2xlarge	17	75620	10954	100	124381557	278
8	2	m4.2xlarge	16	46713	14078	286	127779518	428
9	2	r4.2xlarge	16	218548	19260	309	185085435	319
10	12	m4.2xlarge	96	494536	13807	368	116871840	212
11	7	m4.2xlarge	58	325586	9870	309	81919005	117
12	5	r4.2xlarge	42	282062	11259	217	105331433	329
13	9	m4.2xlarge	72	211996	17808	100	200000000	268
14	12	m4.2xlarge	96	396466	11188	145	111683581	101
15	8	r4.2xlarge	63	165568	9530	326	50460049	207
16	12	m4.2xlarge	96	471131	19260	100	200000000	288
17	7	c4.2xlarge	54	162895	18188	100	200000000	241
18	10	c4.2xlarge	83	139331	13106	100	142117950	171
19	11	r4.2xlarge	87	678932	14113	100	181893958	73
20	9	r4.2xlarge	72	400171	9530	702	38690771	72
21	9	m4.2xlarge	73	369401	18410	435	158064771	312
22	4	m4.2xlarge	30	127425	15336	242	145212151	90
23	5	c4.2xlarge	37	40661	14474	263	134101428	243
24	2	c4.2xlarge	16	36922	14503	328	128079726	469
25	12	r4.2xlarge	96	695979	13778	633	90399543	72
26	2	r4.2xlarge	16	247832	11867	138	119505489	411
27	8	r4.2xlarge	61	481903	14679	320	130744103	231
28	6	r4.2xlarge	47	513767	14682	224	140176187	225
29	9	r4.2xlarge	72	564865	19200	544	155407198	273
30	6	r4.2xlarge	46	243129	16426	167	163882310	224
31	10	m4.2xlarge	77	341909	19260	100	200000000	224
32	6	c4.2xlarge	47	158438	13154	100	158374191	193
33	10	m4.2xlarge	83	355943	12951	282	116462696	72
34	10	c4.2xlarge	79	153216	10734	341	87661926	106
35	2	c4.2xlarge	16	30000	9702	408	70310192	242
36	11	c4.2xlarge	92	336833	14039	174	138474034	72
37	4	m4.2xlarge	30	221257	14761	417	121923170	257
38	11	m4.2xlarge	85	458817	18434	100	200000000	202
39	6	c4.2xlarge	49	248268	13415	505	99291830	314
40	6	c4.2xlarge	51	226388	15794	204	153726150	490
41	3	c4.2xlarge	25	30000	17386	100	200000000	477
42	6	m4.2xlarge	44	146530	17630	100	200000000	287
43	8	m4.2xlarge	62	182721	16192	197	158458534	416
44	4	c4.2xlarge	36	86232	14317	100	165267662	519
45	7	c4.2xlarge	54	78319	17936	100	200000000	313
46	7	c4.2xlarge	53	196591	14229	100	149315510	343
47	2	c4.2xlarge	16	30000	9956	771	37085440	540
48	9	m4.2xlarge	68	278217	14092	384	118263087	162
49	5	m4.2xlarge	42	131778	12016	835	52142645	143
50	11	r4.2xlarge	87	435740	19260	100	200000000	205
51	9	r4.2xlarge	71	508851	18422	100	197699357	320
52	5	m4.2xlarge	39	303630	15106	622	105289467	383
53	12	c4.2xlarge	96	475309	12879	110	132761416	85
54	12	m4.2xlarge	96	538206	12457	890	51286007	72
55	2	m4.2xlarge	16	150428	13974	183	136874978	455
56	12	r4.2xlarge	96	596755	9919	527	60843270	72
57	8	c4.2xlarge	65	341032	9530	342	66814281	380
58	12	r4.2xlarge	96	732000	9530	876	10000000	72
59	12	m4.2xlarge	96	487407	12543	100	138434554	76
60	2	r4.2xlarge	16	138161	13413	340	115580609	340
61	4	c4.2xlarge	36	30000	15547	302	141414935	345
62	10	m4.2xlarge	79	340166	13304	502	98383151	76
63	5	c4.2xlarge	39	30000	17893	100	200000000	548
64	10	r4.2xlarge	77	497785	9530	731	31545610	72
65	6	r4.2xlarge	44	382234	14850	100	176913808	288
66	2	m4.2xlarge	16	51924	10962	732	51367796	195
67	5	m4.2xlarge	42	262261	11831	483	85005818	94
68	12	r4.2xlarge	96	529618	11044	402	84814226	72
69	9	c4.2xlarge	71	233385	14594	100	162557618	200
70	12	m4.2xlarge	96	619257	11953	100	136725977	72
71	3	m4.2xlarge	23	30000	9933	335	79910201	158
72	4	r4.2xlarge	30	259968	16410	100	173720735	338
73	6	r4.2xlarge	49	388189	17912	181	177979455	473
74	12	m4.2xlarge	95	413789	17277	336	156111150	180
75	4	c4.2xlarge	30	68038	19260	100	200000000	393
76	11	m4.2xlarge	90	278737	13737	237	129136032	178
77	2	c4.2xlarge	19	30000	14826	239	140221382	443
78	2	r4.2xlarge	16	68212	10145	499	65865289	170
79	9	r4.2xlarge	74	732000	14225	100	173685908	142
80	7	r4.2xlarge	57	466798	14803	100	155953081	231
81	8	r4.2xlarge	62	432796	17150	100	200000000	252
82	2	c4.2xlarge	16	30000	14089	100	152080838	563
83	11	c4.2xlarge	88	227404	17221	100	198101575	192
84	7	r4.2xlarge	58	399717	15108	128	154123835	133
85	7	m4.2xlarge	57	171146	16798	100	200000000	309
86	9	m4.2xlarge	69	252003	17477	354	156437603	198
87	11	m4.2xlarge	86	372094	11502	100	149799077	72
88	8	r4.2xlarge	65	318786	11635	881	43643066	140
89	8	c4.2xlarge	63	82065	14482	465	114300825	476
90	9	m4.2xlarge	70	311469	13971	112	143903426	380
91	7	c4.2xlarge	57	45440	14248	531	105306182	372
92	9	c4.2xlarge	68	48025	10825	100	125450039	311
