	instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	p_occurrence	gross_runtime
0	5	c4.2xlarge	72	109640	14858	100	100000000	0.45	40
1	12	c4.2xlarge	58	218809	15420	100	100000000	0.55	97
2	7	r4.2xlarge	76	106013	10706	100	200000000	1.0	55
3	4	c4.2xlarge	83	97282	17527	100	196772007	1.0	40
4	11	c4.2xlarge	40	108082	12220	100	119569676	0.66	107
5	2	r4.2xlarge	17	346742	19113	100	101656967	0.96	75
6	3	r4.2xlarge	65	208405	12514	100	114446695	0.88	69
7	5	m4.2xlarge	70	109910	16942	100	100000000	0.48	40
8	4	m4.2xlarge	76	333837	18023	100	127784498	0.18	40
9	6	m4.2xlarge	72	110199	14585	100	119328511	0.2	180
10	12	r4.2xlarge	80	33751	17286	100	100000000	0.51	136
11	5	m4.2xlarge	73	390781	16817	100	100000000	0.43	98
12	10	c4.2xlarge	63	30000	14415	100	145858253	0.49	296
13	9	c4.2xlarge	16	253093	16459	100	108161272	0.15	121
14	5	c4.2xlarge	56	75019	10100	100	100000000	0.89	40
15	7	c4.2xlarge	59	327465	14521	100	100000000	0.9	63
16	12	c4.2xlarge	93	125958	20014	100	148328120	0.48	173
17	6	c4.2xlarge	65	347317	17828	100	113267803	0.5	151
18	2	m4.2xlarge	32	181999	12922	100	144182099	0.0	73
19	12	r4.2xlarge	29	148527	19422	100	151885710	0.32	181
20	10	m4.2xlarge	91	240735	10175	100	145405293	0.51	50
21	7	c4.2xlarge	46	215008	17650	100	173626385	0.43	146
22	12	c4.2xlarge	72	328125	11801	100	123669657	0.52	40
23	12	r4.2xlarge	16	99746	14846	100	145752185	0.06	125
24	10	r4.2xlarge	85	320432	19687	100	169043558	0.0	158
25	11	m4.2xlarge	58	334730	14463	100	119617987	0.87	146
26	10	c4.2xlarge	16	726001	11801	100	145672656	0.17	100
27	9	m4.2xlarge	96	338010	14378	100	142051201	0.93	90
28	8	c4.2xlarge	80	142699	14409	100	118606081	0.11	180
29	3	c4.2xlarge	74	266204	17912	100	100000000	0.82	60
30	12	m4.2xlarge	72	80654	10741	100	123837921	0.0	220
31	4	m4.2xlarge	16	402829	18886	100	145816773	0.01	40
32	10	m4.2xlarge	88	486937	11054	100	192661807	0.2	41
33	12	r4.2xlarge	68	365752	14964	100	100000000	0.0	40
34	2	m4.2xlarge	95	30000	19511	100	184663581	0.07	90
35	5	c4.2xlarge	81	129779	14418	100	148088738	0.63	43
36	4	m4.2xlarge	76	124117	12201	100	122828995	0.53	151
37	4	m4.2xlarge	75	127347	12329	100	100000000	0.49	76
38	3	m4.2xlarge	19	604179	20200	100	150249271	0.26	227
39	11	m4.2xlarge	16	650736	15119	100	169913858	0.57	156
40	4	r4.2xlarge	60	333934	14473	100	150317950	1.0	107
41	2	c4.2xlarge	47	369183	15303	100	170878444	0.03	175
42	2	m4.2xlarge	70	366920	11859	100	100000000	0.51	40
43	2	r4.2xlarge	19	94264	15118	100	100000000	0.7	99
44	5	m4.2xlarge	83	412940	15005	100	174422988	0.54	58
45	12	r4.2xlarge	16	153670	10100	100	100000000	0.84	276
46	7	m4.2xlarge	30	291893	15100	100	192485098	0.48	73
47	4	r4.2xlarge	37	183459	11717	100	142570541	0.96	176
48	2	c4.2xlarge	74	342630	11902	100	183208571	0.66	75
49	5	m4.2xlarge	96	732000	14514	100	153703854	0.86	40
50	5	r4.2xlarge	86	223497	14797	100	113593165	0.35	40
51	10	c4.2xlarge	61	237743	10100	100	179375446	0.99	90
52	2	m4.2xlarge	47	175630	15478	100	143049961	0.53	93
53	3	m4.2xlarge	74	205036	14498	100	189195234	0.8	79
54	3	c4.2xlarge	61	165731	13492	100	185790077	0.65	58
55	3	m4.2xlarge	59	126313	14859	100	128794028	0.45	61
56	2	r4.2xlarge	74	320929	15341	100	147209686	0.68	111
57	12	m4.2xlarge	17	287235	15524	100	200000000	0.86	66
58	10	c4.2xlarge	21	405024	15535	100	141961329	0.52	232
59	12	m4.2xlarge	16	171008	10247	100	152543219	0.44	77
60	5	m4.2xlarge	16	117817	10222	100	100000000	0.7	40
61	5	r4.2xlarge	83	30000	15785	100	169572585	0.84	195
62	4	c4.2xlarge	73	154277	19694	100	145367233	0.29	40
63	3	m4.2xlarge	22	121919	13437	100	180596848	0.29	54
64	2	c4.2xlarge	42	55567	15059	100	143055974	0.17	108
65	4	m4.2xlarge	63	464539	12828	100	147185517	0.28	46
66	10	m4.2xlarge	42	575431	15094	100	145450141	0.69	138
67	3	c4.2xlarge	85	230594	15089	100	144777745	0.45	40
68	5	m4.2xlarge	21	103547	16897	100	169384793	0.96	203
69	3	m4.2xlarge	79	351640	11959	100	150863680	0.66	73
70	8	m4.2xlarge	16	193546	17634	100	169051264	0.23	136
71	3	m4.2xlarge	61	598939	12431	100	100000000	0.45	134
72	2	m4.2xlarge	16	105276	14972	100	100000000	0.98	40
73	3	m4.2xlarge	73	155164	14600	100	150521289	0.49	158
74	6	m4.2xlarge	80	468327	20200	100	100000000	0.76	113
75	11	r4.2xlarge	16	400653	10100	100	167821612	0.0	73
76	9	m4.2xlarge	70	323033	20200	100	144243771	0.27	48
77	11	r4.2xlarge	75	115405	17357	100	147098588	0.05	277
78	4	m4.2xlarge	36	213087	17977	100	185518811	0.21	138
79	12	m4.2xlarge	91	370158	14871	100	144706686	0.17	49
80	4	m4.2xlarge	81	329521	17400	100	100000000	0.92	94
81	4	m4.2xlarge	60	373933	17483	100	181424556	0.48	40
82	3	m4.2xlarge	74	49443	15809	100	121193178	0.45	192
83	10	m4.2xlarge	73	163170	12444	100	195682150	0.3	106
84	4	c4.2xlarge	69	97915	10100	100	171249987	0.47	40
85	5	c4.2xlarge	62	732000	10100	100	200000000	0.0	123
86	3	m4.2xlarge	77	322014	17353	100	195306784	0.91	49
87	5	m4.2xlarge	73	304659	10210	100	146029498	0.0	40
88	8	m4.2xlarge	22	177623	14697	100	118675569	0.84	244
89	9	r4.2xlarge	17	170552	14363	100	118475647	0.01	80
90	5	c4.2xlarge	84	84237	15483	100	100000000	0.67	100
91	8	m4.2xlarge	47	360409	12081	100	148050896	0.0	155
92	8	c4.2xlarge	24	188326	15282	100	147274814	0.44	81
93	5	m4.2xlarge	16	202949	12102	100	145184297	0.95	58
94	11	c4.2xlarge	16	142254	14572	100	145275361	0.53	195
95	2	c4.2xlarge	16	37928	14834	100	144786161	0.46	154
96	8	m4.2xlarge	46	107266	10833	100	148322996	0.02	118
97	4	m4.2xlarge	77	129159	14909	100	128062794	0.09	196
98	4	m4.2xlarge	75	264396	15482	100	154570050	0.72	40
99	11	c4.2xlarge	16	732000	10100	100	148745890	0.99	110
100	11	c4.2xlarge	29	104966	14591	100	124743358	0.44	121
101	4	c4.2xlarge	31	110891	12634	100	198383869	0.22	40
102	2	m4.2xlarge	26	185484	14878	100	101581650	0.0	108
103	11	r4.2xlarge	16	100495	14828	100	127762848	0.82	40
104	9	m4.2xlarge	16	361474	16827	100	144781041	0.71	40
105	11	c4.2xlarge	75	30000	14969	100	149073026	0.67	40
106	10	m4.2xlarge	23	381674	10100	100	100000000	0.43	134
