	instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	p_occurrence	gross_runtime
0	6	m4.2xlarge	48	128951	15165	100	150068113	1.0	241
1	8	m4.2xlarge	64	265626	12653	100	125074824	0.0	70
2	8	m4.2xlarge	64	255532	15144	100	149945178	0.5	54
3	8	m4.2xlarge	64	256726	17681	100	175005169	0.5	58
4	2	m4.2xlarge	16	60076	10100	100	100047194	1.0	197
5	6	m4.2xlarge	48	194399	15147	100	149987494	0.5	158
6	10	m4.2xlarge	80	380310	15161	100	150139445	0.5	128
7	6	m4.2xlarge	48	191970	12628	100	125045688	0.75	239
8	6	m4.2xlarge	48	190979	12620	100	124906125	0.5	62
9	4	m4.2xlarge	32	133824	12641	100	124875793	0.5	161
10	2	m4.2xlarge	16	68409	15140	100	149802940	0.5	184
11	8	m4.2xlarge	64	251974	17670	100	174837552	0.5	211
12	2	m4.2xlarge	16	67619	15159	100	150176254	1.0	153
13	6	m4.2xlarge	48	130863	15169	100	149974332	1.0	137
14	8	m4.2xlarge	64	256118	15155	100	149984129	0.5	177
15	6	m4.2xlarge	48	189864	15147	100	150026568	0.5	56
16	8	m4.2xlarge	64	256609	10140	100	100000000	0.5	52
17	6	m4.2xlarge	48	189902	15143	100	149959591	0.5	128
18	6	m4.2xlarge	48	192886	10100	100	100388563	0.5	53
19	6	m4.2xlarge	48	185231	15146	100	149940863	0.0	112
20	10	m4.2xlarge	80	321327	10114	100	124818378	0.5	80
21	8	m4.2xlarge	64	250743	15126	100	150018731	0.5	95
22	6	m4.2xlarge	48	193966	15157	100	149956960	0.5	161
23	8	m4.2xlarge	64	257898	15161	100	149943205	1.0	195
24	6	m4.2xlarge	48	188145	15154	100	149960125	0.5	79
25	6	m4.2xlarge	48	193844	17649	100	174840697	0.5	76
26	12	m4.2xlarge	80	314538	15166	100	150126697	0.5	85
27	4	m4.2xlarge	32	130193	17685	100	175098316	0.5	263
28	10	m4.2xlarge	80	321112	10100	100	100221472	0.5	73
29	12	m4.2xlarge	96	369256	15152	100	125109820	0.5	62
30	8	m4.2xlarge	64	258551	15146	100	150101878	0.5	163
31	8	m4.2xlarge	64	253440	17666	100	175039702	0.25	63
32	8	m4.2xlarge	64	247127	12625	100	125209904	0.5	135
33	4	m4.2xlarge	32	127506	17693	100	175089301	0.5	223
34	8	m4.2xlarge	64	251460	17700	100	175084806	0.5	205
35	2	m4.2xlarge	16	57215	12639	100	125058528	1.0	231
36	6	m4.2xlarge	48	186508	17683	100	150098529	0.75	160
37	8	m4.2xlarge	64	255857	20186	100	175054828	0.0	40
38	4	m4.2xlarge	32	124117	17665	100	174838417	0.5	115
39	8	m4.2xlarge	64	255553	20200	100	199978238	0.75	220
40	6	m4.2xlarge	48	134388	12621	100	124940139	1.0	140
41	10	m4.2xlarge	80	317420	17677	100	150051189	1.0	172
42	6	m4.2xlarge	48	132175	15153	100	124932488	0.5	186
43	2	m4.2xlarge	16	62274	15150	100	149886325	0.5	213
44	8	m4.2xlarge	64	257701	12635	100	125130541	0.25	66
45	8	m4.2xlarge	64	247833	15144	100	149815767	0.99	223
46	12	m4.2xlarge	96	387358	15147	100	150026551	0.5	40
47	6	m4.2xlarge	48	188929	12644	100	125032407	0.5	58
48	4	m4.2xlarge	48	120310	15145	100	149898280	0.0	86
49	6	m4.2xlarge	48	191358	12649	100	124916361	1.0	227
50	6	m4.2xlarge	48	129258	20200	100	200000000	1.0	223
51	6	m4.2xlarge	48	190633	12637	100	124893100	1.0	181
52	10	m4.2xlarge	80	322870	17672	100	149936501	0.0	69
53	6	m4.2xlarge	48	189777	12629	100	124868011	0.5	61
54	4	m4.2xlarge	48	130316	15133	100	149926967	0.5	166
55	4	m4.2xlarge	32	134340	17664	100	174938291	1.0	243
56	10	m4.2xlarge	80	318996	15177	100	150096329	0.5	53
57	4	m4.2xlarge	32	124435	12626	100	149852616	0.5	49
58	6	m4.2xlarge	48	189936	15146	100	150055158	0.25	83
59	6	m4.2xlarge	48	127454	12630	100	125274181	0.5	153
60	6	m4.2xlarge	48	201377	15169	100	149820030	1.0	208
61	4	m4.2xlarge	32	122787	15142	100	150171958	0.5	239
62	6	m4.2xlarge	48	198491	15145	100	149815112	0.5	97
63	2	m4.2xlarge	16	67407	17656	100	174851855	0.5	132
64	6	m4.2xlarge	48	180240	15148	100	149968922	0.5	93
65	6	m4.2xlarge	48	187811	20200	100	199806378	0.5	246
66	4	m4.2xlarge	32	126470	15135	100	150013454	0.5	73
67	12	m4.2xlarge	96	382839	15152	100	150027434	0.5	63
68	2	m4.2xlarge	16	68427	12631	100	125217036	0.5	216
69	8	m4.2xlarge	64	254069	15164	100	150013149	0.75	206
70	6	m4.2xlarge	48	190822	15146	100	150013609	0.0	63
71	8	m4.2xlarge	64	257032	17660	100	174701001	0.25	116
72	6	m4.2xlarge	48	122471	15145	100	150022151	0.5	71
73	6	m4.2xlarge	48	194110	10130	100	125100176	0.5	104
74	6	m4.2xlarge	48	190893	15160	100	149999639	0.5	195
75	6	m4.2xlarge	48	193745	15152	100	150059650	0.5	158
76	6	m4.2xlarge	48	193849	17674	100	175033330	0.0	90
77	4	m4.2xlarge	32	130595	15138	100	150123054	0.0	77
78	8	m4.2xlarge	64	253299	15160	100	150085623	0.0	67
79	10	m4.2xlarge	80	325551	15156	100	150017314	0.5	98
80	4	m4.2xlarge	32	131322	15154	100	149900235	0.5	150
81	6	m4.2xlarge	48	189118	12652	100	124931468	0.5	180
82	12	m4.2xlarge	96	390121	15149	100	150073355	0.5	167
83	2	m4.2xlarge	16	62303	17682	100	174853674	0.5	124
84	8	m4.2xlarge	64	254901	15148	100	149902777	1.0	125
85	6	m4.2xlarge	48	192458	15153	100	150065277	0.0	44
86	2	m4.2xlarge	16	57095	12615	100	125079444	0.75	149
87	8	m4.2xlarge	64	252271	12630	100	125322604	0.0	96
88	8	m4.2xlarge	64	195371	12631	100	124869261	0.5	59
89	6	m4.2xlarge	48	190136	12635	100	124921270	0.5	62
90	6	m4.2xlarge	32	124164	10105	100	100603083	0.75	206
91	10	m4.2xlarge	80	318562	15138	100	149924045	0.75	157
92	6	m4.2xlarge	48	189248	15141	100	150064567	0.75	146
93	8	m4.2xlarge	64	253909	15159	100	150141936	0.5	100
94	6	m4.2xlarge	48	195291	15171	100	149973561	0.5	74
95	6	m4.2xlarge	48	186724	17698	100	175137791	0.0	109
96	6	m4.2xlarge	48	188906	15150	100	150239472	0.5	48
97	8	m4.2xlarge	48	190982	15164	100	150041352	0.5	267
98	10	m4.2xlarge	80	318095	15143	100	149921787	1.0	166
99	10	m4.2xlarge	80	318349	15173	100	150039212	0.5	145
100	8	m4.2xlarge	64	252065	15140	100	150117524	0.5	142
101	6	m4.2xlarge	48	188935	12623	100	125169642	0.5	79
102	4	m4.2xlarge	32	124864	15153	100	149753776	0.5	224
103	2	m4.2xlarge	16	60814	15161	100	150094275	0.5	235
104	12	m4.2xlarge	96	393061	15148	100	150125961	0.5	161
105	8	m4.2xlarge	64	258083	10100	100	100287497	0.75	115
106	8	m4.2xlarge	64	251213	15156	100	149952189	0.5	304
107	2	m4.2xlarge	16	65167	17647	100	174891394	1.0	236
108	4	m4.2xlarge	32	131903	12621	100	124884264	0.0	62
109	8	m4.2xlarge	64	256969	17691	100	175034367	0.5	249
110	6	m4.2xlarge	48	196391	15152	100	150063063	0.5	101
111	6	m4.2xlarge	48	194796	15136	100	150102373	0.5	77
112	6	m4.2xlarge	48	186423	15153	100	149982069	0.0	85
113	8	m4.2xlarge	64	252123	15141	100	149804254	0.5	129
114	8	m4.2xlarge	64	256575	15138	100	149937964	1.0	173
115	6	m4.2xlarge	48	126244	15135	100	149888453	0.0	75
116	6	m4.2xlarge	48	191940	15170	100	150060174	1.0	258
117	8	m4.2xlarge	64	254701	12631	100	124944906	1.0	146
118	6	m4.2xlarge	48	187600	15143	100	149928000	0.5	233
119	6	m4.2xlarge	48	194080	15145	100	149945022	0.0	77
120	8	m4.2xlarge	64	256396	12630	100	124980742	0.75	125
121	4	m4.2xlarge	32	130742	15157	100	150050609	0.5	160
122	8	m4.2xlarge	64	258367	15141	100	149938439	0.5	116
123	6	m4.2xlarge	48	193244	15140	100	149825995	0.5	49
124	8	m4.2xlarge	64	194317	15174	100	150107094	0.5	107
125	8	m4.2xlarge	64	253437	15152	100	150145659	0.5	156
126	6	m4.2xlarge	48	191625	15151	100	149960328	0.5	176
127	4	m4.2xlarge	32	127877	15171	100	150170502	0.5	155
128	6	m4.2xlarge	48	193309	12636	100	124838044	0.5	83
