	instance_count	machine_type	slots	memory	data_size_MB	pages	links	convergence_criterion	gross_runtime
0	10	r4.xlarge	26	646827	295	2016991	19700422	0.0001	237
1	2	m4.2xlarge	44	551640	136	2035981	19574776	0.001	332
2	6	r4.xlarge	34	648679	309	1924012	19609882	0.0007	302
3	12	m4.2xlarge	32	345117	282	2041263	19728362	0.0097	392
4	4	m4.2xlarge	96	732000	258	2018042	19306158	0.0004	236
5	2	r4.2xlarge	12	732000	132	1969899	19223615	0.0075	118
6	3	r4.xlarge	14	267166	269	2079320	19801007	0.0001	188
7	12	r4.2xlarge	29	732000	274	3000000	30000000	0.0001	344
8	10	r4.2xlarge	50	198745	133	1000000	29564728	0.0001	364
9	12	r4.2xlarge	35	699765	145	3000000	30000000	0.0001	118
10	2	r4.2xlarge	47	732000	251	3000000	19606514	0.01	128
11	9	r4.2xlarge	31	289714	266	1936143	30000000	0.0001	276
12	4	r4.2xlarge	44	148470	134	2939945	20211527	0.0001	177
13	11	m4.2xlarge	45	384861	279	1997103	19621486	0.0005	416
14	10	r4.xlarge	25	378745	305	2046642	10000000	0.0012	169
15	5	r4.2xlarge	44	378925	131	1969614	10000000	0.0001	366
16	2	r4.2xlarge	96	580218	264	2906579	20739283	0.0035	349
17	6	r4.2xlarge	46	150063	406	1000000	10318201	0.0008	301
18	8	r4.xlarge	84	358463	255	2036430	19315541	0.0001	341
19	6	m4.2xlarge	75	333815	278	2041013	10706924	0.0014	399
20	2	r4.2xlarge	68	187592	251	3000000	30000000	0.0005	428
21	6	r4.xlarge	62	334408	274	2089945	19676201	0.0005	118
22	12	m4.2xlarge	48	195565	290	2017628	19366551	0.0023	500
23	2	m4.2xlarge	17	261044	268	2026845	19124272	0.0001	118
24	4	r4.2xlarge	8	219391	413	3000000	30000000	0.008	273
25	5	r4.xlarge	10	259417	309	1035281	19734152	0.0083	118
26	12	m4.2xlarge	12	336960	269	2065466	29075450	0.002	670
27	11	m4.2xlarge	93	379592	259	2098149	19474364	0.0035	401
28	12	m4.2xlarge	14	251820	281	2049715	19712045	0.0027	303
29	12	r4.xlarge	34	399148	311	2050356	19857405	0.0022	118
30	2	r4.2xlarge	29	377907	287	1084715	10000000	0.0051	462
31	9	r4.2xlarge	33	460991	133	1999392	10000000	0.0057	175
32	10	m4.2xlarge	96	155401	286	2027491	19938471	0.0024	613
33	2	r4.2xlarge	49	126856	368	1123971	28375096	0.01	177
34	8	m4.2xlarge	90	706884	293	3000000	19545363	0.0053	298
35	10	r4.2xlarge	34	387977	289	2048279	30000000	0.0035	195
36	4	m4.2xlarge	31	395766	247	2060486	19786742	0.0001	187
37	9	r4.2xlarge	31	732000	348	3000000	30000000	0.0056	281
38	9	r4.2xlarge	12	494274	131	1017268	29135128	0.0001	278
39	4	r4.2xlarge	8	502937	131	3000000	10000000	0.0002	394
40	10	r4.2xlarge	49	88232	131	3000000	19617108	0.0044	118
41	2	r4.xlarge	59	197661	256	2042627	19334554	0.0011	482
42	8	r4.2xlarge	35	226178	410	3000000	19633195	0.0004	131
43	8	r4.2xlarge	80	285386	379	2015566	29995180	0.0001	166
44	9	r4.2xlarge	39	499259	372	2023758	11455138	0.0002	295
45	2	m4.2xlarge	13	207008	410	2028139	19405759	0.0001	268
46	6	m4.2xlarge	82	560832	267	1988871	19069341	0.0009	118
47	10	m4.2xlarge	79	587013	309	2022339	20000122	0.0016	231
48	12	r4.2xlarge	23	272264	297	1068224	28495804	0.0022	252
49	10	r4.2xlarge	93	258822	271	2017862	29777580	0.0035	152
50	10	r4.2xlarge	33	196696	409	1000000	10000000	0.0001	134
51	4	m4.2xlarge	10	357575	289	2061359	19640159	0.0018	304
52	6	r4.2xlarge	58	638241	141	1060530	19332077	0.0001	199
53	10	r4.2xlarge	29	732000	240	3000000	30000000	0.0053	331
54	10	m4.2xlarge	44	61000	297	1987655	19055018	0.0066	397
55	12	r4.xlarge	8	494101	272	2023507	19040206	0.0001	178
56	12	r4.xlarge	32	142260	131	2015256	10000000	0.0045	125
57	4	r4.2xlarge	13	61000	277	1000000	29255563	0.0001	204
58	6	m4.2xlarge	19	360019	268	2028604	19450510	0.0007	548
59	12	r4.2xlarge	32	308396	259	3000000	28742558	0.0043	465
60	6	r4.2xlarge	20	171936	265	3000000	29110011	0.0001	126
61	12	m4.2xlarge	84	328450	278	1956378	18902299	0.0001	226
62	6	m4.2xlarge	26	456836	256	2026063	19215098	0.0026	252
63	6	m4.2xlarge	89	380568	268	2071040	10000000	0.0014	628
64	8	m4.2xlarge	59	242498	266	2044714	19667580	0.0004	235
65	10	m4.2xlarge	50	386198	264	1961497	19206819	0.0047	229
66	2	r4.2xlarge	62	355828	133	1944422	20957557	0.0001	182
67	8	r4.2xlarge	93	240875	424	3000000	20064707	0.0001	167
68	10	r4.xlarge	8	224907	273	2017250	19578596	0.009	359
69	8	r4.2xlarge	30	613054	257	2937135	19073371	0.0001	118
70	12	r4.2xlarge	8	200559	399	1133721	20406624	0.0001	308
71	8	m4.2xlarge	47	380611	257	1943642	19900829	0.0002	289
72	9	r4.xlarge	8	63551	263	1025510	19285143	0.0001	155
73	2	r4.2xlarge	27	92779	370	2828780	11360272	0.0001	286
74	6	r4.2xlarge	96	402548	395	3000000	10000000	0.0001	267
75	4	m4.2xlarge	18	130486	281	2006559	20498342	0.002	224
76	6	r4.xlarge	32	138153	286	2079044	20092479	0.0068	118
77	2	m4.2xlarge	8	344289	266	3000000	19360574	0.0001	344
78	7	m4.2xlarge	84	620045	271	2056550	19124224	0.007	455
79	2	r4.2xlarge	96	665502	131	2973383	10000000	0.0001	252
80	12	m4.2xlarge	36	277494	254	3000000	19279769	0.0001	366
81	4	m4.2xlarge	51	415934	280	2002681	20149792	0.0078	279
82	8	r4.2xlarge	32	708987	255	1984037	20764195	0.0001	251
83	8	m4.2xlarge	26	61000	253	2065024	10723227	0.0001	479
84	6	m4.2xlarge	32	638387	304	1999951	19250479	0.0001	118
85	10	r4.2xlarge	15	263054	264	3000000	29047515	0.0031	132
86	12	m4.2xlarge	27	207185	281	2038317	19119323	0.0001	161
87	9	r4.2xlarge	32	392434	400	2964482	20938942	0.0018	118
88	12	r4.xlarge	76	624710	283	2002980	19859529	0.0004	165
89	3	r4.xlarge	14	220449	131	2088874	19936237	0.01	281
90	11	r4.2xlarge	31	310695	131	3000000	19364791	0.0055	158
91	12	r4.xlarge	36	388528	269	2037125	19660551	0.0025	611
92	12	r4.xlarge	74	396881	295	1986987	19725095	0.0008	161
93	10	r4.xlarge	13	732000	271	2049521	20467609	0.0016	248
94	2	m4.2xlarge	16	474151	304	2025011	19717465	0.0023	200
95	8	r4.xlarge	14	232716	434	2096400	20022229	0.01	292
96	12	r4.xlarge	60	130216	270	1000000	19976881	0.0001	555
97	9	m4.2xlarge	24	340337	308	2069949	20476466	0.0004	126
98	11	m4.2xlarge	31	76394	274	2073147	19474244	0.0006	364
99	2	r4.2xlarge	19	381568	401	1111926	10781230	0.0004	123
100	3	m4.2xlarge	12	732000	275	2037418	20479289	0.001	148
101	10	r4.2xlarge	76	559992	275	2913468	20420602	0.0006	294
102	6	m4.2xlarge	84	656209	264	2039726	19291100	0.0032	424
103	2	r4.xlarge	14	361050	287	1985120	20204558	0.0001	130
104	2	r4.2xlarge	22	351186	357	3000000	10000000	0.0073	168
105	2	m4.2xlarge	32	138505	269	2064595	10000000	0.0001	337
106	6	r4.2xlarge	77	259946	427	2965872	20187170	0.0082	155
107	10	r4.2xlarge	96	371967	251	1105890	29048677	0.0043	118
