	instance_count	machine_type	slots	memory	data_size_MB	pages	links	convergence_criterion	gross_runtime
0	12	r4.2xlarge	95	731875	144	2001843	10025135	0.01	274
1	8	r4.2xlarge	64	492691	290	3000000	19999643	0.01	435
2	12	r4.2xlarge	80	609848	135	1000700	10020821	0.0004	151
3	6	r4.2xlarge	48	366233	286	3000000	20002008	0.0001	265
4	8	r4.2xlarge	64	364724	131	1003772	10016297	0.0003	196
5	8	r4.2xlarge	64	489640	425	1997216	30000000	0.01	331
6	4	r4.2xlarge	32	243600	267	1004469	20021851	0.0096	164
7	10	r4.2xlarge	80	610915	140	2001229	10003619	0.01	197
8	4	r4.2xlarge	32	244019	403	2001124	29965058	0.0001	281
9	8	r4.2xlarge	48	366764	142	1999413	10000000	0.0007	198
10	8	r4.2xlarge	64	489357	286	2995712	19979437	0.0011	536
11	8	r4.2xlarge	64	488060	283	2000327	19995318	0.0005	353
12	4	r4.2xlarge	32	123609	427	1999963	30000000	0.0008	375
13	12	r4.2xlarge	96	732000	145	2996154	10019209	0.0096	207
14	4	r4.2xlarge	32	245171	264	1000281	20001162	0.0003	188
15	8	r4.2xlarge	64	487786	406	1998326	30000000	0.0003	269
16	10	r4.2xlarge	80	612121	428	1997874	29960789	0.0008	252
17	8	r4.2xlarge	64	487520	434	2998426	30000000	0.0007	421
18	12	r4.2xlarge	96	732000	137	1997989	10046432	0.0014	138
19	10	r4.2xlarge	80	606452	285	1999959	19993644	0.005	367
20	6	r4.2xlarge	48	366195	431	2999543	29973267	0.0002	664
21	4	r4.2xlarge	32	240787	421	2002272	29989630	0.0011	373
22	8	r4.2xlarge	64	488503	289	2998545	19997860	0.0055	453
23	2	r4.2xlarge	16	124611	289	3000000	19993964	0.01	433
24	8	r4.2xlarge	48	363738	289	2995278	20004678	0.0009	560
25	8	r4.2xlarge	64	487875	143	3000000	10000000	0.0007	288
26	8	r4.2xlarge	64	485191	143	2001383	10041999	0.0001	200
27	12	r4.2xlarge	96	732000	288	2997227	20010637	0.0002	403
28	12	r4.2xlarge	96	732000	285	3000000	20011254	0.005	286
29	12	r4.2xlarge	96	725411	140	1999049	10013587	0.0006	175
30	2	r4.2xlarge	16	123489	286	3000000	20007446	0.001	724
31	8	r4.2xlarge	64	487205	263	1001527	20013157	0.0009	183
32	4	r4.2xlarge	32	237424	286	2001504	20010263	0.0099	432
33	6	r4.2xlarge	48	368402	289	3000000	20006121	0.0002	315
34	6	r4.2xlarge	48	365491	284	1998734	20009118	0.0004	311
35	6	r4.2xlarge	48	363118	265	1000000	19989188	0.0004	200
36	2	r4.2xlarge	16	242160	285	2000686	20006165	0.0099	243
37	4	r4.2xlarge	32	245502	282	1997850	20002134	0.01	188
38	12	r4.2xlarge	96	728981	141	1999765	10000000	0.01	141
39	6	r4.2xlarge	64	365508	137	2001759	10000000	0.0095	161
40	8	r4.2xlarge	64	490435	286	1999883	19995315	0.0005	243
41	8	r4.2xlarge	64	488670	144	1999123	10007431	0.0097	212
42	4	r4.2xlarge	32	247083	134	1001437	10000000	0.0001	182
43	6	r4.2xlarge	48	365293	146	3000000	10000000	0.0004	363
44	6	r4.2xlarge	48	367018	402	1000562	30000000	0.0009	298
45	4	r4.2xlarge	32	239818	428	2000714	29948812	0.0001	728
46	10	r4.2xlarge	80	611730	137	1999044	10010353	0.0004	118
47	8	r4.2xlarge	64	486271	267	1000000	20002900	0.0011	160
48	10	r4.2xlarge	80	604941	269	1004656	19993172	0.0045	280
49	2	r4.2xlarge	16	121685	284	1999072	19980844	0.0002	322
50	6	r4.2xlarge	48	364274	267	1004811	20024102	0.0005	173
51	12	r4.2xlarge	96	732000	143	2001597	10000000	0.0099	225
52	12	r4.2xlarge	96	732000	287	3000000	19981144	0.01	498
53	8	r4.2xlarge	64	486980	131	1004186	10000000	0.0009	152
