file,model,score
grep,SingleTablePreset,0.8808132431107709
grep,CopulaGANSynthesizer,0.7709873769405082
grep,CTGANSynthesizer,0.7422470003464074
grep,GaussianCopulaSynthesizer,0.8352734107004136
grep,TVAESynthesizer,0.8730603070836291
kmeans,SingleTablePreset,0.8353069284984183
kmeans,CopulaGANSynthesizer,0.7096217013738466
kmeans,CTGANSynthesizer,0.7506903904350968
kmeans,GaussianCopulaSynthesizer,0.7778025332006152
kmeans,TVAESynthesizer,0.8639904246173731
pagerank,SingleTablePreset,0.8441989520917247
pagerank,CopulaGANSynthesizer,0.7318761016089439
pagerank,CTGANSynthesizer,0.7117041291955428
pagerank,GaussianCopulaSynthesizer,0.82461959586516
pagerank,TVAESynthesizer,0.8766703375739795
sgd,SingleTablePreset,0.833353733408356
sgd,CopulaGANSynthesizer,0.6906242926319119
sgd,CTGANSynthesizer,0.7176809185676041
sgd,GaussianCopulaSynthesizer,0.7655407110533532
sgd,TVAESynthesizer,0.880018856515201
sort,SingleTablePreset,0.84443517761671
sort,CopulaGANSynthesizer,0.7412369650611844
sort,CTGANSynthesizer,0.7908751729158574
sort,GaussianCopulaSynthesizer,0.8255417792524564
sort,TVAESynthesizer,0.8132804290092525
grep,SingleTablePreset,0.8808132431107709
grep,CopulaGANSynthesizer,0.7517048429782057
grep,CTGANSynthesizer,0.7439103083423131
grep,GaussianCopulaSynthesizer,0.8352734107004136
grep,TVAESynthesizer,0.8617971453689973
kmeans,SingleTablePreset,0.8353069284984183
kmeans,CopulaGANSynthesizer,0.7003063038435532
kmeans,CTGANSynthesizer,0.736119685379631
kmeans,GaussianCopulaSynthesizer,0.7778025332006152
kmeans,TVAESynthesizer,0.8782828739196222
pagerank,SingleTablePreset,0.8441989520917247
pagerank,CopulaGANSynthesizer,0.7376958007548747
pagerank,CTGANSynthesizer,0.7492847639278407
pagerank,GaussianCopulaSynthesizer,0.82461959586516
pagerank,TVAESynthesizer,0.8830435495186226
sgd,SingleTablePreset,0.833353733408356
sgd,CopulaGANSynthesizer,0.7005469603475413
sgd,CTGANSynthesizer,0.735842863261742
sgd,GaussianCopulaSynthesizer,0.7655407110533532
sgd,TVAESynthesizer,0.8678012600972229
sort,SingleTablePreset,0.84443517761671
sort,CopulaGANSynthesizer,0.6957533535592437
sort,CTGANSynthesizer,0.7435355771712593
sort,GaussianCopulaSynthesizer,0.8255417792524564
sort,TVAESynthesizer,0.8158716704624148
